Ghalib Road	id=g:7043390
Guru Māngat	id=g:7043391
Sir Syed Road	id=g:7043392
Allāma Iqbāl Open University	id=g:7043393
Mughal Hotel	id=g:7043394
Gulberg Market	id=g:7043395
Sir Maratab Ali Road	id=g:7043396
Zahūr Elahi Road	id=g:7043397
Forman Christian College	id=g:7043398
Kinniard College for Women	id=g:7043399
Shāh Kamāl Colony	id=g:7043400
Āb Pāra Market	id=g:7043401
Ziārat Bāba Shāh Jamāl	id=g:7043402
Paris Market	id=g:7043403
New Samanābād	id=g:7043404
Ziārat Bāba	id=g:7043405
Shadmān Colony	id=g:7043406
Syed Ashāq Hussain Road	id=g:7043407
Nawān Mozang	id=g:7043408
Bahāwalpur House	id=g:7043409
Ghausul Azam Road	id=g:7043410
Bahawalpur Road	id=g:7043411
Temple Road	id=g:7043412
Ghāzi Ilam Din Road	id=g:7043413
Fātima Jinnāh Women Medical College	id=g:7043414
Shār-e Fatma Jinnāh	id=g:7043415
Ganga Rām Hospital	id=g:7043416
Bāgh-i Jinnāh	id=g:7043417
Iqbāl Memorial College	id=g:7043418
Lahore Hilton Hotel	id=g:7043419
Park Luxury Hotel	id=g:7043420
Falettis Hotel	id=g:7043421
Masjid-e-Shohada	id=g:7043422
Bedan Road	id=g:7043423
Chamba House	id=g:7043424
Shahrah-i Quaid-i-Azam	id=g:7043425
International Hotel	id=g:7043426
Pearl-Continental Hotel	id=g:7043427
Zamān Park	id=g:7043428
Chief’s College	id=g:7043429
Sundār Dās Road	id=g:7043430
Ambassador Hotel	id=g:7043431
Durand Road	id=g:7043432
Railway Stadium	id=g:7043433
Mughalpura Road	id=g:7043434
Empress Road	id=g:7043435
Shālamar Road	id=g:7043436
Allāma Iqbāl Museum	id=g:7043437
Shobra Hotel	id=g:7043438
Parkway Hotel	id=g:7043439
Lahore City Railway Station	id=g:7043440
Sultanpura Road	id=g:7043441
Mahmūd Ghaznawi Road	id=g:7043442
Koper Road	id=g:7043443
Orient Hotel	id=g:7043444
King Edward Medical College	id=g:7043445
Nisbet Road	id=g:7043446
McLeod Road	id=g:7043447
Zam Zama	id=g:7043448
University Hall	id=g:7043449
Lady Aitchison Hospital	id=g:7043450
Urdu Bāzār	id=g:7043451
Bhāti Gate	id=g:7043452
Mori Gate	id=g:7043453
Lohāri Mandi	id=g:7043454
Lohāri Gate	id=g:7043455
Shāh Ālam Market	id=g:7043456
Mazār Qutab-ud Din Aibak	id=g:7043457
Railway Road	id=g:7043458
Mochi Gate	id=g:7043459
Akbari Gate	id=g:7043460
Rang Mehal	id=g:7043461
Gumti Bāzār	id=g:7043462
Delhi Gate	id=g:7043463
Sheranwāla Gate	id=g:7043464
Chūna Mandi	id=g:7043465
Moti Bāzār	id=g:7043466
Mazār Allāma Iqbāl	id=g:7043467
Shāhi Qila	id=g:7043468
Mastī Gate	id=g:7043469
Circular Road	id=g:7043470
Mīnār-i-Pākistān	id=g:7043471
Dāta Nagar	id=g:7043472
Fārūq Ganj	id=g:7043473
Ellāhi Park	id=g:7043474
Misri Shāh	id=g:7043475
Manzūrābād	id=g:7043476
Usmān Ganj	id=g:7043477
Habīb Ganj	id=g:7043478
Tājpūra	id=g:7043479
Islāmpura	id=g:7043480
Nizamābād	id=g:7043481
Shaikhābād	id=g:7043482
Abu Bakar Park	id=g:7043483
Hussain Park	id=g:7043484
Mandi Siddīqpura	id=g:7043485
Hanif Park	id=g:7043486
Ahmad Park	id=g:7043487
Shāhbāz Colony	id=g:7043488
Badar Colony	id=g:7043489
Qaddāfi Colony	id=g:7043490
Karam Nagar	id=g:7043491
Siddīqia Colony	id=g:7043492
Khan Park	id=g:7043493
Azīz Park	id=g:7043494
Wasanpura	id=g:7043495
Fazal Park	id=g:7043496
Aziz Road	id=g:7043497
Chāh Mīrān	id=g:7043498
Makhanpura	id=g:7043499
Maholla Mūhammadi	id=g:7043500
Pura Road	id=g:7043501
Hamid Park	id=g:7043502
Wasanpura Scheme Number Two	id=g:7043503
Manzūr Park	id=g:7043504
Fazalpura	id=g:7043505
Afzal Park	id=g:7043506
Rehman Colony	id=g:7043507
Shamasābād	id=g:7043508
Gujarpura	id=g:7043509
Jahāngīr Nagar	id=g:7043510
Kashmir Road	id=g:7043511
Yasrab	id=g:7043512
Karīm Park	id=g:7043513
Haider Town	id=g:7043514
Al-Badr Colony	id=g:7043515
Al-Fatāh Colony	id=g:7043516
Āzim Park	id=g:7043517
Amir Road	id=g:7043518
Charāgh Park	id=g:7043519
Fazal Park	id=g:7043520
Shāh Dīn Park	id=g:7043521
Halāl Park	id=g:7043522
Ghāzi Park	id=g:7043523
Afzal Town	id=g:7043524
Nasrullāh Park	id=g:7043525
Lālazār	id=g:7043526
Muhammadi Colony	id=g:7043527
Jhuggiān Road	id=g:7043528
Band Link Bhogiwāl Road	id=g:7043529
Islāmābād	id=g:7043530
Iqbāl Colony	id=g:7043531
Ziārat Pīr Gauhar Shāh	id=g:7043532
Usmānpura	id=g:7043533
Sirājpura	id=g:7043534
Muslimābād	id=g:7043535
Sultān Mahmūd Road	id=g:7043536
Nishāt Town	id=g:7043537
Shālāmār Escape	id=g:7043538
Shaikh Asghar Shahīd Colony	id=g:7043539
Ziārat Miān Mīr	id=g:7043540
