Stor-Fårön	id=g:602701
Stora Bygdeträsket	id=g:602702
Stora Bredträsket	id=g:602703
Storbrändön	id=g:602704
Stora Bodträsket	id=g:602705
Stora Blåbergsliden	id=g:602706
Stora Björkvattnet	id=g:602707
Stora Bergviken	id=g:602708
Stora Arbastjaure	id=g:602709
Stora Antnästräsk	id=g:602710
Stora Alkusberget	id=g:602711
Stora Abborrträsk	id=g:602712
Stöcksjön	id=g:602713
Stöcksjö	id=g:602714
Stockfors	id=g:602715
Stöckeby	id=g:602716
Stöcke	id=g:602717
Stockberget	id=g:602718
Stockbäcken	id=g:602719
Stockarsmyran	id=g:602720
Stjikuträsket	id=g:602721
Stenträsket	id=g:602722
Stenskäret	id=g:602723
Stensjön	id=g:602724
Steningsträsket	id=g:602725
Stenfors	id=g:602726
Stenbrånet	id=g:602727
Stenberget	id=g:602728
Stenbacka	id=g:602729
Stellsvedjan	id=g:602730
Stavvattnet	id=g:602731
Stavträsk	id=g:602732
Stavsjön	id=g:602733
Stavlund	id=g:602734
Staviksudden	id=g:602735
Stavbäck	id=g:602736
Stavaträsk	id=g:602737
Stavaträsk	id=g:602738
Stavaträsk	id=g:602739
Statsrådstoppen	id=g:602740
Staträsket	id=g:602741
Staträsket	id=g:602742
Staträsket	id=g:602743
Staträskberget	id=g:602744
Staträsk	id=g:602745
Stämningsgården	id=g:602746
Ståkkeåive	id=g:602747
Staggojokk	id=g:602748
Stadsviken	id=g:602749
Stockforsälven	id=g:602750
Spisen	id=g:602751
Spikberg	id=g:602752
Spikån	id=g:602753
Spadnovare	id=g:602754
Spadnojokk	id=g:602755
Sovasjärvi	id=g:602756
Sovasjärvi	id=g:602757
Soutuvarra	id=g:602758
Soulajärvi	id=g:602759
Soukolojärvi	id=g:602760
Sotbergsliden	id=g:602761
Sotaure	id=g:602762
Sörviksudden	id=g:602763
Sorvanen	id=g:602764
Sorttijärvi	id=g:602765
Sörträsket	id=g:602766
Sortiväylänsaari	id=g:602767
Sör-Teuger	id=g:602768
Sör-Svartlidberget	id=g:602769
Sorskäret	id=g:602770
Sörmyran	id=g:602771
Sörmjöleån	id=g:602772
Sörmjöle	id=g:602773
Sörmaran	id=g:602774
Sorkivaara	id=g:602775
Sorkivaara	id=g:602776
Sorkijärvi	id=g:602777
Sörkalven	id=g:602778
Sör-Kaipa	id=g:602779
Sör Jörnsberget	id=g:602780
Söriviken	id=g:602781
Sörgadden	id=g:602782
Sörfors	id=g:602783
Sörfors	id=g:602784
Sörfors	id=g:602785
Sörfjärden	id=g:602786
Sören	id=g:602787
Sörbyn	id=g:602788
Sörbyn	id=g:602789
Sörbrändöfjärden	id=g:602790
Sörböle	id=g:602791
Sörböle	id=g:602792
Sörberget	id=g:602793
Sörbäcken	id=g:602794
