Ganahlskopf	id=g:6939080
Weissschroffen Spitze	id=g:6939081
Lisun Spitze	id=g:6939082
Bacher	id=g:6939083
Grüblspitze	id=g:6939084
Moserkopf	id=g:6939087
Flexenspitze	id=g:6939089
Lohnspitz	id=g:6939090
Schwarzkopf	id=g:6939091
Fallersteiss Spitze	id=g:6939094
Verborgenes Kar	id=g:6939096
Untere Grätlisgratspitze	id=g:6939097
Liechtensteinberg	id=g:6939098
Westlicher Katzenkopf	id=g:6939099
Feuerkopf	id=g:6939100
Kempen	id=g:6939103
Spullers Bühel	id=g:6939104
Roggspitze	id=g:6939105
Rauchkogel	id=g:6939106
Stierkopf	id=g:6939107
Roggalspitze	id=g:6939109
Vordere Hasenfluh	id=g:6939110
Hintere Hasenfluh	id=g:6939111
Sechszeiger = Leiner Kögele	id=g:6939112
Geierkopf	id=g:6939113
Vorderer Geißkopf	id=g:6939116
Sonntagsköpfl	id=g:6939117
Westlicher Pitschikopf	id=g:6939118
Hirschpleisskopf	id=g:6939119
Gampberg	id=g:6939120
Hinterer Geißkopf	id=g:6939121
Gaisköpfe	id=g:6939122
Formaletsch	id=g:6939123
Obere Grätlisgratspitze - HG	id=g:6939124
Obere Grätligrat Spitze	id=g:6939126
Erlispitze	id=g:6939128
Gampelkopf	id=g:6939129
Weisses Rössle	id=g:6939131
Lapernig Spitze	id=g:6939132
Pitschiköpfe	id=g:6939133
Hochreichkopf	id=g:6939134
Malatschkopf	id=g:6939135
Schindlekopf	id=g:6939136
Griesmuttekopf	id=g:6939138
Glogger Spitz	id=g:6939139
Elsspitz	id=g:6939140
Frauenkogel	id=g:6939142
Aperries Spitze	id=g:6939143
Hohe Warte	id=g:6939146
Pöngertlekopf	id=g:6939147
Hanflender	id=g:6939148
Grieskopf	id=g:6939149
Goppaschrofen	id=g:6939150
Schwarzlochkopf	id=g:6939152
Stierkopf	id=g:6939153
Novakopf	id=g:6939154
Erster Karkopf	id=g:6939155
Tennkogel	id=g:6939158
Madloch Spitze	id=g:6939159
Spitztälespitz	id=g:6939160
