Kongsgårde	id=g:2618457
Kongsengene	id=g:2618458
Kongsdal	id=g:2618459
Kongsbjerg	id=g:2618460
Kongsbjerg	id=g:2618461
Køng Firgårde	id=g:2618462
Kongeskov	id=g:2618463
Kongerslev	id=g:2618464
Kongens Tisted	id=g:2618465
Kongens Mose	id=g:2618466
Kongensmark	id=g:2618467
Kongens Lyngby	id=g:2618468
Kongenshus Mindepark	id=g:2618469
Kongenshus	id=g:2618470
Kongenshøj	id=g:2618471
Kongenshøj	id=g:2618472
Kongelundsdal	id=g:2618473
Kongelunden	id=g:2618474
Kongedyb	id=g:2618475
Kongebro Lystbådehavn	id=g:2618476
Kongeå	id=g:2618477
Kong Asgers Høj	id=g:2618478
Kondrup	id=g:2618480
Kompedal Plantage	id=g:2618482
Komdrup	id=g:2618483
Kolt	id=g:2618489
Kolstrup Gårde	id=g:2618490
Kolstrupgård	id=g:2618491
Kolstrup	id=g:2618492
Kolstrup	id=g:2618493
Kolsnap	id=g:2618494
Kolskærgrund	id=g:2618495
Kolshave	id=g:2618496
Kolsbæk	id=g:2618497
Kolpengård	id=g:2618498
Kollund	id=g:2618500
Kollerup Plantage	id=g:2618503
Kollerup	id=g:2618504
Kollerup	id=g:2618505
Kollerup	id=g:2618506
Kollerød	id=g:2618507
Kollekolle	id=g:2618508
Kollekolle	id=g:2618509
Kolle	id=g:2618510
Kolindsund	id=g:2618514
Kolind	id=g:2618515
Kolen	id=g:2618517
Koldmose	id=g:2618518
Koldmose	id=g:2618519
Koldkur	id=g:2618520
Koldkærgård	id=g:2618521
Koldkær	id=g:2618522
Koldkåd	id=g:2618523
Kolding Skov	id=g:2618524
Kolding Kommune	id=g:2618525
Kolding Fjord	id=g:2618526
Kolding Å	id=g:2618527
Kolding	id=g:2618528
Koldby	id=g:2618529
Koldby	id=g:2618530
Koldbro	id=g:2618531
Koldbæk	id=g:2618532
Koldbakke	id=g:2618533
Kolby Kås	id=g:2618534
Kolby	id=g:2618535
Kolby	id=g:2618536
Kolaas	id=g:2618540
Kokspang	id=g:2618541
Kokseby	id=g:2618542
Kokær	id=g:2618543
Kokkehaverne	id=g:2618544
Kokkedal	id=g:2618545
Kokkedal	id=g:2618546
Kokkedal	id=g:2618547
Kokholm	id=g:2618548
Kohaven	id=g:2618549
Kohave	id=g:2618550
Kohave	id=g:2618551
Kogtved	id=g:2618552
Kogsbøl Mose	id=g:2618553
Kogsbølle	id=g:2618554
Kogsbøl Ladegård	id=g:2618555
Kogrund	id=g:2618556
Køge Kommune	id=g:2618557
Koelbjerg	id=g:2618558
Koed	id=g:2618559
Kodallund	id=g:2618560
Kobæk Strand	id=g:2618561
Kobberup	id=g:2618562
Kobbersholt	id=g:2618563
Kobberø Løb	id=g:2618564
Kobberø	id=g:2618565
Kobberhage	id=g:2618566
Kobbergrund	id=g:2618567
Kobberdyb	id=g:2618568
Kobberbakke	id=g:2618569
Kobbelskov	id=g:2618570
Kobbelhuse	id=g:2618571
Kobbelgård	id=g:2618572
Kobbegård	id=g:2618573
Kobbeå	id=g:2618574
Kobanke	id=g:2618577
Knuthenlund	id=g:2618579
Knuthenborg Avlsgård	id=g:2618580
Knuthenborg	id=g:2618581
Knudstrup	id=g:2618597
Knudstrup	id=g:2618598
Knudstrup	id=g:2618599
Knudstrup	id=g:2618600
Knudsskovgård	id=g:2618601
Knudsskov	id=g:2618602
Knudsskov	id=g:2618603
Knudsrødgård	id=g:2618604
Knudsø	id=g:2618605
Knudslund	id=g:2618606
Knudsker	id=g:2618607
Knudshoved Odde	id=g:2618608
Knudshoved	id=g:2618609
Knudshoved	id=g:2618610
Knudshoved	id=g:2618611
Knudshoved	id=g:2618612
Knudshoved	id=g:2618613
Knudsgård	id=g:2618614
Knudseje	id=g:2618615
Knudsby	id=g:2618616
Knudsbølle	id=g:2618617
Knudsbøl	id=g:2618618
Knudsbjerg	id=g:2618619
Knudmose	id=g:2618620
Knudedyb	id=g:2618621
Knudedyb	id=g:2618622
Knudå	id=g:2618623
Knud	id=g:2618624
Knud	id=g:2618625
Knud	id=g:2618626
Knubbeløkke	id=g:2618627
Knæsted	id=g:2618629
Knopper	id=g:2618631
Knop	id=g:2618632
