Susa-gol	id=g:6803019
Yŏŭich’ŏn	id=g:6803020
Ŏkpawi	id=g:6803021
Wŏnp’arhyŏn	id=g:6803022
Onam-ni	id=g:6803023
Changjae-mal	id=g:6803024
Ŏnami	id=g:6803025
Kaegaen-mal	id=g:6803026
Tŏng-mal	id=g:6803027
Chungang-gidowŏn	id=g:6803028
Hwahyŏn	id=g:6803029
Chaen-bong	id=g:6803030
Susal-li	id=g:6803031
Chunggan-mal	id=g:6803032
Un-mal	id=g:6803033
Sŏnghwangdang-gogae	id=g:6803034
Ch’ŏngnyong-mal	id=g:6803035
Wŏn’gwang-sanŏp	id=g:6803036
Sangjŏnja-dong	id=g:6803037
Anbang-gol	id=g:6803038
Naebang-ni	id=g:6803039
Chŏlgol-gyo	id=g:6803040
Nŭnggok-kyo	id=g:6803041
Sangch’on-gyo	id=g:6803042
Kail-gyo	id=g:6803043
Songch’on-gyo	id=g:6803044
Mogwangi-gyo	id=g:6803045
Chesamp’altang-gyo	id=g:6803046
P’altangjesa-gyo	id=g:6803047
Yangsu-daegyo	id=g:6803048
Choanch’ŏn-gyo	id=g:6803049
Nŭngsinch’ŏn-gyo	id=g:6803050
Sinch’on-gyo	id=g:6803051
Hŭngsan-gyo	id=g:6803052
Saemaŭl-gyo	id=g:6803053
Nae-dong	id=g:6803054
Tŭnggyŏng-gol	id=g:6803055
Makpaji	id=g:6803056
Tohyŏn	id=g:6803057
Soraebi-gogae	id=g:6803058
Wittalgye	id=g:6803059
Araettalgye	id=g:6803060
Sansŏng	id=g:6803061
Ch’anghyŏn	id=g:6803062
Chihyŏn	id=g:6803063
Sewŏlsan	id=g:6803064
Chumakkŏ-ri	id=g:6803065
Wŏlsal-li	id=g:6803066
Takpak-kol	id=g:6803067
Talgil-li	id=g:6803068
Moran’gongwŏn-myoji	id=g:6803069
Ch’anghyŏl-li	id=g:6803070
Tongan	id=g:6803071
Tu-ch’on	id=g:6803072
Kono-gol	id=g:6803073
Paegwŏl-li	id=g:6803074
Tangmuppu-ri	id=g:6803075
Kŏnji-san	id=g:6803076
Nojŏk-pong	id=g:6803077
Kŏnjimi	id=g:6803078
Sanyŏk-kol	id=g:6803079
Kwaemi	id=g:6803080
Wŏnsu-gol	id=g:6803081
Hyangmok	id=g:6803082
Kajŏng	id=g:6803083
Koryongjin	id=g:6803084
Sangsŏkchang	id=g:6803085
Pukhan’gang-ch’ŏlgyo	id=g:6803086
Chung-ni	id=g:6803087
Chinjung-ni	id=g:6803088
Majin	id=g:6803089
Mattŭl	id=g:6803090
Tongsŏkchang	id=g:6803091
P’aram	id=g:6803092
Yongdam-ni	id=g:6803093
Sŏngguk-sa	id=g:6803094
Almi	id=g:6803095
Yangji-mal	id=g:6803096
Chagŭnsŏngji-gol	id=g:6803097
Tumulmŏri-naru	id=g:6803098
Tumulmŏri	id=g:6803099
Chokcha-sŏm	id=g:6803100
Chech’ŏng-mal	id=g:6803101
Myŏngsŏng-am	id=g:6803102
Koenae	id=g:6803103
Yo-gol	id=g:6803104
Kusil	id=g:6803105
Kwiyŏ-ri	id=g:6803106
Chŏngam-san	id=g:6803107
Such’ŏng-ni	id=g:6803108
Chagŭnch’ŏngt’an	id=g:6803109
Imul-li	id=g:6803110
Kŏmdan	id=g:6803111
Kŏmch’ŏl-li	id=g:6803112
Horiwŏn	id=g:6803113
Sŭngni-gidowŏn	id=g:6803114
Saem-gol	id=g:6803115
Sinwŏl-li	id=g:6803116
Yagok	id=g:6803117
Myogok	id=g:6803118
Punjŏm	id=g:6803119
Ansim-sa	id=g:6803120
Yangsuri-suyanggwan	id=g:6803121
Pyŏngmugwan	id=g:6803122
Tongmak	id=g:6803123
Mogwang	id=g:6803124
Sa-ch’on	id=g:6803125
Puyong-ni	id=g:6803126
Kyo-dong	id=g:6803127
Pulgwangjŏng-sa	id=g:6803128
Suho	id=g:6803129
Yŏndŭng-sa	id=g:6803130
Surŭng-ni	id=g:6803131
Changhyŏn	id=g:6803132
Noru-gogae	id=g:6803133
Ch’angsŏng-gidowŏn	id=g:6803134
Nak-ch’on	id=g:6803135
Chagŭn’gogae	id=g:6803136
Yŏngam	id=g:6803137
Karho	id=g:6803138
Yulp’yŏng	id=g:6803139
Naemunho	id=g:6803140
Sangmunho	id=g:6803141
Kalmael	id=g:6803142
Kilgok	id=g:6803143
P’yejip’yottae-bong	id=g:6803144
Chamsil	id=g:6803145
Mugunghwagongwŏn-myoji	id=g:6803146
K’ŭn-gol	id=g:6803147
Pach’iul	id=g:6803148
Kkottaeul	id=g:6803149
Sindangjae	id=g:6803150
Kŭmsin	id=g:6803151
Kŭmnam-ni	id=g:6803152
Talgye-san	id=g:6803153
Kŏmt’ŏ	id=g:6803154
Suim-ni	id=g:6803155
Naesuip	id=g:6803156
Uam-sa	id=g:6803157
Yamigi-gul	id=g:6803158
Yamigi-gogae	id=g:6803159
Kaembŏl	id=g:6803160
Sinp’o	id=g:6803161
Tap-tong	id=g:6803162
Tamnae-ri	id=g:6803163
Chin’gwang-sa	id=g:6803164
Chŏnŭi-gol	id=g:6803165
Siilo	id=g:6803166
Pakkakkuun	id=g:6803167
Araett’oeju	id=g:6803168
An’guun	id=g:6803169
Sae-mal	id=g:6803170
Sin-ch’on	id=g:6803171
Hosin-am	id=g:6803172
Chŏmdunji	id=g:6803173
Sinbal-li	id=g:6803174
Ori-dong	id=g:6803175
Namit’ŏ	id=g:6803176
Kwant’ŏ	id=g:6803177
Wŏndaesŏng	id=g:6803178
Taesŏng-gogae	id=g:6803179
Sŭngni-gidowŏn	id=g:6803180
Mŏnae	id=g:6803181
Andaesŏng	id=g:6803182
P’au-gogae	id=g:6803183
Ŭndumok-san	id=g:6803184
Haenghyŏl-li	id=g:6803185
Paktal-gol	id=g:6803186
Sagimak	id=g:6803187
Imch’o-ri	id=g:6803188
Paman-gol	id=g:6803189
Tŏkhyŏl-li	id=g:6803190
Kittae-bong	id=g:6803191
Chagŭn’garul	id=g:6803192
