Saint-Cyr-de-Salerne	id=g:6430572
Saint-Cyr-la-Campagne	id=g:6430573
Saint-Denis-d'Augerons	id=g:6430574
Saint-Denis-des-Monts	id=g:6430575
Saint-Denis-du-Béhélan	id=g:6430576
Saint-Denis-le-Ferment	id=g:6430577
Saint-Didier-des-Bois	id=g:6430578
Saint-Élier	id=g:6430579
Saint-Éloi-de-Fourques	id=g:6430580
Saint-Étienne-du-Vauvray	id=g:6430581
Saint-Étienne-l'Allier	id=g:6430582
Saint-Étienne-sous-Bailleul	id=g:6430583
Saint-Georges-du-Mesnil	id=g:6430585
Saint-Georges-du-Vièvre	id=g:6430586
Saint-Georges-Motel	id=g:6430587
Saint-Germain-de-Pasquier	id=g:6430588
Saint-Germain-des-Angles	id=g:6430589
Saint-Germain-sur-Avre	id=g:6430591
Saint-Germain-Village	id=g:6430592
Saint-Grégoire-du-Vièvre	id=g:6430593
Saint-Jean-de-la-Léqueraye	id=g:6430594
Saint-Julien-de-la-Liègue	id=g:6430596
Saint-Laurent-des-Bois	id=g:6430597
Saint-Léger-du-Gennetey	id=g:6430599
Saint-Marcel	id=g:6430601
Saint-Mards-de-Blacarville	id=g:6430602
Sainte-Marguerite-de-l'Autel	id=g:6430604
Sainte-Marguerite-en-Ouche	id=g:6430605
Sainte-Marie-de-Vatimesnil	id=g:6430606
Sainte-Marthe	id=g:6430607
Saint-Martin-du-Tilleul	id=g:6430608
Saint-Martin-la-Campagne	id=g:6430609
Saint-Martin-Saint-Firmin	id=g:6430610
Saint-Meslin-du-Bosc	id=g:6430611
Saint-Nicolas-d'Attez	id=g:6430612
Sainte-Opportune-du-Bosc	id=g:6430613
Sainte-Opportune-la-Mare	id=g:6430614
Saint-Ouen-d'Attez	id=g:6430615
Saint-Ouen-de-Pontcheuil	id=g:6430616
Saint-Ouen-de-Thouberville	id=g:6430617
Saint-Ouen-des-Champs	id=g:6430618
Saint-Ouen-du-Tilleul	id=g:6430619
Saint-Paul-de-Fourques	id=g:6430620
Saint-Philbert-sur-Risle	id=g:6430621
Saint-Pierre-d'Autils	id=g:6430622
Saint-Pierre-de-Bailleul	id=g:6430623
Saint-Pierre-de-Cernières	id=g:6430624
Saint-Pierre-de-Salerne	id=g:6430626
Saint-Pierre-des-Fleurs	id=g:6430627
Saint-Pierre-des-Ifs	id=g:6430628
Saint-Pierre-du-Bosguérard	id=g:6430629
Saint-Pierre-du-Mesnil	id=g:6430630
Saint-Pierre-du-Val	id=g:6430631
Saint-Pierre-du-Vauvray	id=g:6430632
Saint-Pierre-la-Garenne	id=g:6430633
Saint-Quentin-des-Isles	id=g:6430634
Saint-Samson-de-la-Roque	id=g:6430635
Saint-Sébastien-de-Morsent	id=g:6430636
Saint-Symphorien	id=g:6430638
Saint-Thurien	id=g:6430639
Saint-Victor-de-Chrétienville	id=g:6430640
Saint-Victor-d'Épine	id=g:6430641
Saint-Victor-sur-Avre	id=g:6430642
Saint-Vincent-des-Bois	id=g:6430643
Saint-Vincent-du-Boulay	id=g:6430644
Sancourt	id=g:6430645
Sassey	id=g:6430646
Saussay-la-Campagne	id=g:6430647
Sébécourt	id=g:6430648
Selles	id=g:6430649
Serquigny	id=g:6430650
Surtauville	id=g:6430651
Surville	id=g:6430652
Suzay	id=g:6430653
Theillement	id=g:6430654
Thevray	id=g:6430655
Thibouville	id=g:6430657
Thierville	id=g:6430658
Thomer-la-Sôgne	id=g:6430659
Thuit-Hébert	id=g:6430660
Tilleul-Dame-Agnès	id=g:6430661
Tillières-sur-Avre	id=g:6430662
Tilly	id=g:6430663
Tosny	id=g:6430664
Tostes	id=g:6430665
Tournedos-Bois-Hubert	id=g:6430666
Tournedos-sur-Seine	id=g:6430667
Tourny	id=g:6430668
Tourville-la-Campagne	id=g:6430669
Tourville-sur-Pont-Audemer	id=g:6430670
Toutainville	id=g:6430671
Triqueville	id=g:6430672
Trouville-la-Haule	id=g:6430673
Valailles	id=g:6430674
Valletot	id=g:6430675
Vandrimare	id=g:6430676
Vannecrocq	id=g:6430677
Vaux-sur-Eure	id=g:6430678
Venon	id=g:6430679
Verneuil-sur-Avre	id=g:6430680
Vesly	id=g:6430682
Vézillon	id=g:6430683
Vieux-Villez	id=g:6430685
Villalet	id=g:6430686
Villegats	id=g:6430687
Villers-en-Vexin	id=g:6430688
Villers-sur-le-Roule	id=g:6430689
Villettes	id=g:6430690
Villez-sous-Bailleul	id=g:6430691
Villez-sur-le-Neubourg	id=g:6430692
Vironvay	id=g:6430693
Voiscreville	id=g:6430694
Vraiville	id=g:6430695
Cintray	id=g:6430696
Clévilliers	id=g:6430697
Cloyes-sur-le-Loir	id=g:6430698
Coltainville	id=g:6430699
Combres	id=g:6430700
Conie-Molitard	id=g:6430701
Corancez	id=g:6430702
Cormainville	id=g:6430703
Coudray-au-Perche	id=g:6430704
Coudreceau	id=g:6430705
Coulombs	id=g:6430706
Courbehaye	id=g:6430707
Courtalain	id=g:6430708
Courville-sur-Eure	id=g:6430709
Crécy-Couvé	id=g:6430710
Croisilles	id=g:6430711
Dambron	id=g:6430712
Dampierre-sous-Brou	id=g:6430713
Dampierre-sur-Avre	id=g:6430714
Dancy	id=g:6430715
Dangeau	id=g:6430716
Dangers	id=g:6430717
Denonville	id=g:6430718
Digny	id=g:6430719
Donnemain-Saint-Mamès	id=g:6430720
Douy	id=g:6430721
Dreux	id=g:6430722
Écluzelles	id=g:6430724
Écrosnes	id=g:6430725
Épeautrolles	id=g:6430726
Ermenonville-la-Grande	id=g:6430728
Ermenonville-la-Petite	id=g:6430729
Escorpain	id=g:6430730
Fains-la-Folie	id=g:6430731
Favières	id=g:6430732
Flacey	id=g:6430733
Fontaine-la-Guyon	id=g:6430734
Fontaine-les-Ribouts	id=g:6430735
Fontaine-Simon	id=g:6430736
Fontenay-sur-Conie	id=g:6430737
Fontenay-sur-Eure	id=g:6430738
Francourville	id=g:6430739
Frazé	id=g:6430740
Fresnay-le-Comte	id=g:6430741
Fresnay-le-Gilmert	id=g:6430742
Fresnay-l'Évêque	id=g:6430743
Frétigny	id=g:6430744
Friaize	id=g:6430745
Fruncé	id=g:6430746
Garancières-en-Beauce	id=g:6430747
Garancières-en-Drouais	id=g:6430748
Garnay	id=g:6430749
Gas	id=g:6430750
Gellainville	id=g:6430751
Germainville	id=g:6430752
Germignonville	id=g:6430753
Gohory	id=g:6430754
Gommerville	id=g:6430755
Gouillons	id=g:6430756
Goussainville	id=g:6430757
Guainville	id=g:6430758
Guilleville	id=g:6430759
Hanches	id=g:6430760
Happonvilliers	id=g:6430761
Havelu	id=g:6430762
Houville-la-Branche	id=g:6430763
Intréville	id=g:6430764
Jallans	id=g:6430765
Janville	id=g:6430766
Jaudrais	id=g:6430767
Lamblore	id=g:6430768
Landelles	id=g:6430769
Langey	id=g:6430770
Lanneray	id=g:6430771
Laons	id=g:6430772
Léthuin	id=g:6430773
Levainville	id=g:6430774
Lèves	id=g:6430775
Levesville-la-Chenard	id=g:6430776
Logron	id=g:6430777
Loigny-la-Bataille	id=g:6430778
Lormaye	id=g:6430779
Louville-la-Chenard	id=g:6430780
Louvilliers-en-Drouais	id=g:6430781
Louvilliers-lès-Perche	id=g:6430782
Luigny	id=g:6430783
Luisant	id=g:6430784
Lumeau	id=g:6430785
Luplanté	id=g:6430786
Luray	id=g:6430787
Lutz-en-Dunois	id=g:6430788
Maillebois	id=g:6430789
Maintenon	id=g:6430790
Manou	id=g:6430791
Marboué	id=g:6430792
Marchéville	id=g:6430793
Marchezais	id=g:6430794
