Garfield School	id=g:4858079
Garfield School	id=g:4858080
Garfield School	id=g:4858081
Garfield Township Cemetery	id=g:4858082
Garfield Township Cemetery	id=g:4858083
Garfield Township Cemetery	id=g:4858084
Township of Garfield	id=g:4858085
Township of Garfield	id=g:4858086
Township of Garfield	id=g:4858087
Township of Garfield	id=g:4858088
Township of Garfield	id=g:4858089
Township of Garfield	id=g:4858090
Township of Garfield	id=g:4858091
Township of Garfield	id=g:4858092
Township of Garfield	id=g:4858093
Township of Garfield	id=g:4858094
Township of Garfield	id=g:4858095
Garibaldi Cemetery	id=g:4858096
Garland	id=g:4858097
Garland Cemetery	id=g:4858098
Garlock Post Office (historical)	id=g:4858099
Garlock Slough	id=g:4858100
Garlock Slough Wildlife Management Area	id=g:4858101
Garnant Park	id=g:4858102
Garnavillo	id=g:4858103
Garnavillo Cemetery	id=g:4858104
Garnavillo City Hall	id=g:4858105
Garnavillo City Park	id=g:4858106
Garnavillo Community School	id=g:4858107
Garnavillo Elementary School	id=g:4858108
Garnavillo Gospel Hall	id=g:4858109
Garnavillo Historical Museum	id=g:4858110
Garnavillo Police Department	id=g:4858111
Garnavillo Post Office	id=g:4858112
Garnavillo Public Library	id=g:4858113
Garnavillo Township Culbert	id=g:4858114
Township of Garnavillo	id=g:4858115
Garnell Community Middle School	id=g:4858116
Garner	id=g:4858117
Garner	id=g:4858118
Garner Cemetery	id=g:4858119
Garner Cemetery	id=g:4858120
Garner Elementary School	id=g:4858121
Garner Family Practice	id=g:4858122
Garner Golf and Country Club	id=g:4858123
Garner Island	id=g:4858124
Garner Medical Clinic	id=g:4858125
Garner Municipal Airport	id=g:4858126
Garner Police Department	id=g:4858127
Garner Post Office	id=g:4858128
Garner Public Library	id=g:4858129
Garner School	id=g:4858130
Township of Garner	id=g:4858131
Garner-Hayfield High School	id=g:4858132
Garretson Ditch	id=g:4858133
Garretson Outlet Ditch	id=g:4858134
Garrett Cemetery	id=g:4858135
Garrett Memorial Library	id=g:4858136
Garretts Branch	id=g:4858137
Garden City	id=g:4858138
Garrison	id=g:4858139
