Simpangsiabu	id=g:6723400
Bukit Telaga	id=g:6723516
Pematang Talang	id=g:6723517
Bukit Agung	id=g:6723518
Sopang	id=g:6723519
Bukit Batubarcoreng	id=g:6723520
Bukit Rimbobalai	id=g:6723521
Bukit Basar	id=g:6723522
PM Parit	id=g:6723523
Bukit Bakar	id=g:6723524
Sungai Duku	id=g:6723525
Sungai Tambang	id=g:6723526
Sungai Ambatung	id=g:6723527
Muaro	id=g:6723528
Batang Manggilang	id=g:6723529
Sungai Dangkal	id=g:6723530
Sungai Baling	id=g:6723531
Sungai Sopan	id=g:6723532
Sungai Jarnih	id=g:6723533
Bukit Tunggang	id=g:6723534
Sungai Durian	id=g:6723535
Bukit Gadang	id=g:6723536
Bukit Batang	id=g:6723537
Batang Ketua	id=g:6723538
Air Lipu	id=g:6723539
Bukit Runcing	id=g:6723540
Sungai Ujungduo	id=g:6723541
Sungai Ujungdua Kecil	id=g:6723542
Sungai Bangkuang	id=g:6723543
Bukit Pandangus	id=g:6723544
Bukit Kayuarang	id=g:6723545
Bukit Kadorang	id=g:6723546
Pegunungan Samar	id=g:6723547
Sungai Ketua	id=g:6723548
Pegunungan Kodok	id=g:6723549
Sungai Anjang	id=g:6723550
Sungai Nau	id=g:6723551
Bukit Kasikpantai	id=g:6723552
Balung	id=g:6723553
Sungai Angkuang	id=g:6723554
Sungai Kembung	id=g:6723555
Sungai Angki	id=g:6723556
Bukit Marang	id=g:6723557
Sungai Marang	id=g:6723558
Sungai Marangkiri	id=g:6723559
Sungai Sono	id=g:6723560
Bukit Marapi	id=g:6723561
Sungai Patut	id=g:6723562
Sungai Merapi	id=g:6723563
Sungai Suluran	id=g:6723564
Sungai Angkis Kecil	id=g:6723565
Bukit Siabu	id=g:6723566
Sungai Angkis Gadang	id=g:6723567
Sungai Patapan	id=g:6723568
Bukit Buar	id=g:6723569
Sungai Arau Gadang	id=g:6723570
Sungai Santa	id=g:6723571
Sungai Napan	id=g:6723572
Sungai Palajau	id=g:6723573
Bukit Bungkuk	id=g:6723574
Sungai Abau	id=g:6723575
Sungai Sidatang	id=g:6723576
Sungai Siasim	id=g:6723577
Air Sungaisarik	id=g:6723578
Sungai Lubuktingkah	id=g:6723579
Bukit Payungasi	id=g:6723580
Sungai Simpang	id=g:6723581
Tampang	id=g:6723582
Siasim	id=g:6723583
Setingkai Kecil	id=g:6723584
Sungaiipuh	id=g:6723585
Pulaurangkang	id=g:6723586
Bukit Batubandang	id=g:6723587
Manggilang	id=g:6723600
Ranuh	id=g:6723742
Bungo	id=g:6723743
Kotagadang	id=g:6723744
Kota Masjid	id=g:6723745
Bukit Partumpangan	id=g:6723746
Kotabaru	id=g:6723747
Batang Malungiri	id=g:6723748
Bukit Gelanggang	id=g:6723749
Sapan	id=g:6723750
Kubupanawai	id=g:6723751
Lubuknapal	id=g:6723752
Bukit Gasan	id=g:6723753
Ranahtampat	id=g:6723754
Durian	id=g:6723755
Bancah-lawas	id=g:6723756
Banjarsawak	id=g:6723757
Sungai Basar	id=g:6723758
Batang Malagiri	id=g:6723759
Pulau Batumandi	id=g:6723763
Tanjung Tetegalachau	id=g:6723764
Tanjung Soahebeuheu	id=g:6723765
Tanjung Todawa	id=g:6723766
Hiliboru	id=g:6723767
Hilibulawa	id=g:6723768
Hilibowo	id=g:6723769
Le Gom	id=g:6723770
Le Aramo	id=g:6723771
Le Eho	id=g:6723772
Tanjung Somasomo	id=g:6723773
Tanjung Taroadsjip	id=g:6723774
Tanjung Mojo	id=g:6723775
Tanjung Laburajo	id=g:6723776
Gomo	id=g:6723777
Pematang Kububatung	id=g:6723778
Muarapaiti	id=g:6723779
Sungai Pedes	id=g:6723780
Sungai Talao	id=g:6723781
Kampungdalam	id=g:6723782
Kampungbaru	id=g:6723783
Sungai Karuh	id=g:6723784
Sungai Sijernih	id=g:6723785
Pematang Bakung	id=g:6723786
Sungai Panjang	id=g:6723787
Batang Tangai	id=g:6723788
Pematang Paruhanap	id=g:6723789
Sungai Sonsang	id=g:6723790
Bukit Patai	id=g:6723791
Batang Air Patai	id=g:6723792
Sungai Monok	id=g:6723793
Sungai Karsiknambun	id=g:6723794
Bukit Karsiknambun	id=g:6723795
Bukit Sielangsekawal	id=g:6723796
Sungai Lolo	id=g:6723797
Lolo	id=g:6723798
Bukit Rangao	id=g:6723799
Bukit Sapankijang	id=g:6723800
Bukit Tadung	id=g:6723801
Bukit Pandam	id=g:6723802
Sungai Saribulan	id=g:6723803
Sungai Dionau	id=g:6723804
Batang Air Mudiktadek	id=g:6723805
Bukit Luncung	id=g:6723806
Sungai Sialangsorjan	id=g:6723807
Sungai Sirah	id=g:6723808
Batang Air Kapurnankacik	id=g:6723809
Batang Air Kapurpuoh	id=g:6723810
Sungai Sapangadang	id=g:6723811
Sungai Sapankacik	id=g:6723812
Bukit Rimboputus	id=g:6723813
Kubupadang	id=g:6723814
Kububatung	id=g:6723815
Kototengah	id=g:6723816
Padang	id=g:6723817
Sungai Somak	id=g:6723818
Kotobaru	id=g:6723819
Kotolamo	id=g:6723820
Perakbibit	id=g:6723821
Kotoateh	id=g:6723822
Bukit Alanggadang	id=g:6723823
Bukit Bakar	id=g:6723824
Kandanglawan	id=g:6723825
Bukit Runcing	id=g:6723826
Sungai Batangtoreh	id=g:6723827
Batang Paringan	id=g:6723828
Bukit Kariangan	id=g:6723829
Batang Simpang	id=g:6723830
Bukit Ngalaonanpanjang	id=g:6723831
Sungai Batuampar	id=g:6723832
Bukit Simpangampat	id=g:6723833
Bukit Labuhbanting	id=g:6723834
Sungai Naning	id=g:6723835
Bukit Bulan	id=g:6723836
Sungai Sarik	id=g:6723837
Sungai Nenanggadang	id=g:6723838
Bukit Nankacik	id=g:6723839
Sungai Anjacang	id=g:6723840
Sungai Baliung	id=g:6723841
Nenan	id=g:6723842
Bukit Kosan	id=g:6723843
Gunung Saranglayanglayang	id=g:6723844
Bukit Baranak	id=g:6723845
Sulikigunungmas	id=g:6723846
Bukit Lakung	id=g:6723847
Batang Sibahung	id=g:6723848
Bukit Putih	id=g:6723849
Bukit Kudung	id=g:6723850
Bukit Pasuk	id=g:6723851
Sungai Pelangsingan	id=g:6723852
Batang Penawan	id=g:6723853
Sopangadang	id=g:6723854
Sungai Simantung	id=g:6723855
Sopan Kacik	id=g:6723856
Batugodang	id=g:6723857
Padangtumpuk	id=g:6723858
Batang Airdingin	id=g:6723859
Mahat	id=g:6723860
Sopantanah	id=g:6723861
Bigao	id=g:6723862
Baka	id=g:6723863
Batang Payan	id=g:6723864
Tokeng	id=g:6723865
Sungai Talang	id=g:6723866
Baruhkandang	id=g:6723867
Talangkijang	id=g:6723868
Kayukolek	id=g:6723869
Bukit Paoruso	id=g:6723870
Bukit Sungaitalang	id=g:6723871
Bukit Pingai	id=g:6723872
Guguk	id=g:6723873
Bukit Panjang	id=g:6723874
Bukit Bautan	id=g:6723875
Bukit Batuitam	id=g:6723876
Bukit Akarkatidingbaruk	id=g:6723877
Air Buluhkasap	id=g:6723878
Ngarai Kambing	id=g:6723879
Bukit Sialang	id=g:6723880
Ngarai Abu	id=g:6723881
Gunung Targampo	id=g:6723882
Air Ngalautungkai	id=g:6723883
Gunung Gadang	id=g:6723884
Bukit Lawas	id=g:6723885
Bukit Sunduk	id=g:6723886
Bukit Sialangtarpanggang	id=g:6723887
Ngarai Baruk	id=g:6723888
Bukit Batusijimban	id=g:6723889
Ngarai Tarbuko	id=g:6723890
Bukit Nanduo	id=g:6723891
Bukit Barpanas	id=g:6723892
Bukit Tadung	id=g:6723893
Bukit Buang	id=g:6723894
Gunung Unak	id=g:6723895
Sungai Abunggodang	id=g:6723896
Ngarai Ropan	id=g:6723897
Bukit Tinggi	id=g:6723898
Air Bancalilawas	id=g:6723899
Bukit Lincir	id=g:6723900
Batang Malutu	id=g:6723901
Bukit Malosan	id=g:6723902
Air Ngalaubarpatai	id=g:6723903
Bukit Bukasir	id=g:6723904
Sungai Bukasir	id=g:6723905
Bukit Lancang	id=g:6723906
Sungai Timbaran	id=g:6723907
Gunung Talao	id=g:6723908
Bukit Tangu	id=g:6723909
Air Daras	id=g:6723910
Kotolamo	id=g:6723911
Bukit Kukukalang	id=g:6723912
Bancahlumpur	id=g:6723913
Balikbukit	id=g:6723914
Sungai Nenankacik	id=g:6723915
Sungai Madang	id=g:6723916
Sungai Malopo	id=g:6723917
Bukit Lawan	id=g:6723918
Bukit Rimboputus	id=g:6723919
Bukit Sialang	id=g:6723920
Sungai Simpanglawan	id=g:6723921
Sungaipimping	id=g:6723922
Bukit Titianbatu	id=g:6723923
Bukit Saranggagak	id=g:6723924
Sungai Langu	id=g:6723925
Sukakarya	id=g:6723926
Bukit Kotomari	id=g:6723927
Bukit Sago	id=g:6723928
Sungai Pimping	id=g:6723929
Sungai Ngaung	id=g:6723930
Bukit Lerengbincang	id=g:6723931
Bukit Marantigadang	id=g:6723932
Sungai Tamanggung	id=g:6723933
Sungai Tangaijernih	id=g:6723934
Bukit Muarotangai	id=g:6723935
Bukit Batuputih	id=g:6723936
Bukit Taman	id=g:6723937
Tigabelaskotokampar	id=g:6723938
Bukit Parmanisan	id=g:6723939
Air Uluasang	id=g:6723940
Bukit Batubardinding	id=g:6723941
Sungai Dincahlakio	id=g:6723942
Sungai Barumbung	id=g:6723943
Bukit Uluasang	id=g:6723944
Bukit Sialangsati	id=g:6723945
Air Katimbik	id=g:6723946
Batang Sawan	id=g:6723947
Bukit Batusampit	id=g:6723948
Sungai Pinangjadi	id=g:6723949
Bukit Bulat	id=g:6723950
Bukit Sialangterpanggang	id=g:6723951
Bukit Bartakuk	id=g:6723952
Bukit Basar	id=g:6723953
Bukit Batubarjanjang	id=g:6723954
Bukit Batubarlansing	id=g:6723955
Bukit Bakar	id=g:6723956
Bukit Putaran	id=g:6723957
Bukit Batu	id=g:6723958
Bukit Kambut	id=g:6723959
Sungai Simpanggadang	id=g:6723960
Batang Lawan	id=g:6723962
Bukit Gantinggadang	id=g:6723963
Bukit Taladih	id=g:6723964
Bukit Lintabung	id=g:6723965
Bukit Ludai	id=g:6723966
Pangkalankotabaru	id=g:6723967
Bukit Muarolawan	id=g:6723968
Bukit Batubawang	id=g:6723969
Bukit Kububalung	id=g:6723970
Taluk	id=g:6723971
Lubuknago	id=g:6723972
Sungai Tasamgadang	id=g:6723973
Sungai Tasamkecil	id=g:6723974
Bukit Ubar	id=g:6723975
Kampungbaru	id=g:6723976
Onamkoto	id=g:6723977
Paritrantang	id=g:6723978
Muarabandar	id=g:6723979
Kapaspanji	id=g:6723980
Kototengah Dua	id=g:6723981
Psarusang	id=g:6723982
Lakukgadang	id=g:6723983
Lubukameh	id=g:6723984
Sungai Kencah	id=g:6723985
Sungai Panjang	id=g:6723986
Bukit Panjang	id=g:6723987
Sungai Abu	id=g:6723988
Lubukameh	id=g:6723989
Banjaranah	id=g:6723990
Bukit Lasung	id=g:6723991
Tabat	id=g:6723992
Batang Samo	id=g:6723993
Kepalopadang	id=g:6723994
Simpangtigo Satu	id=g:6723995
Bukittapo	id=g:6723996
Sungai Panipunen	id=g:6723997
Pauhanok	id=g:6723998
Lubuktabuan	id=g:6723999
Bukit Sikumpal	id=g:6724000
Batang Cawan	id=g:6724001
Bukit Tabian	id=g:6724002
Air Sigisigian	id=g:6724003
Bukit Anau	id=g:6724004
Bukit Kapini	id=g:6724005
Batubarlampin	id=g:6724006
Bukit Tapo	id=g:6724008
Bukit Cawan	id=g:6724009
Batuular	id=g:6724010
Bukit Sibincik	id=g:6724011
Bukit Sialang	id=g:6724012
Air Lubukkuok	id=g:6724013
Bukit Lantiktaman	id=g:6724014
Bukit Sibantinggi	id=g:6724015
Bukit Gadis	id=g:6724016
Batang Lui	id=g:6724017
Kotoranah	id=g:6724018
Kototengah Dua	id=g:6724019
Aurduti	id=g:6724020
Simpangtigo	id=g:6724021
Kotoalam Dua	id=g:6724022
Bukit Apittanah	id=g:6724023
Sungai Batung	id=g:6724024
Sungai Sugak	id=g:6724025
Bukit Rasam	id=g:6724026
Sibarak	id=g:6724076
Sungai Airkantai	id=g:6724077
Sungai Telukmenkudi	id=g:6724078
Si Jawi-jawi	id=g:6724079
Sungai Uwayan	id=g:6724091
Sungai Kaulut	id=g:6724092
Sungai Uwayan	id=g:6724093
Sungai Bunut	id=g:6724094
Sungai Garingging	id=g:6724095
Sungai Timek	id=g:6724096
Sungai Tempala	id=g:6724097
Penghidupan	id=g:6724098
Sungai Penghidupan	id=g:6724099
Sungai Keong	id=g:6724100
Sungai Lipai	id=g:6724101
Sungai Kalabung	id=g:6724102
Kampungdalam	id=g:6724103
Sungai Salero	id=g:6724104
Sungai Subarak	id=g:6724105
Sungai Gadang	id=g:6724106
Sungai Panau	id=g:6724107
Sungai Puasan	id=g:6724108
Sungai Airpanas	id=g:6724109
Sungai Jantan	id=g:6724110
Kampar Kiri	id=g:6724111
Sungai Pantau	id=g:6724112
Danau Pantunan	id=g:6724113
Sungai Putaran	id=g:6724114
Sungai Pulasan	id=g:6724115
Sungai Kunanti	id=g:6724116
Sungaipagar	id=g:6724117
Sungai Simpangdua	id=g:6724118
Sungai Terusan	id=g:6724119
Sungai Petai	id=g:6724120
Sungai Pagar	id=g:6724121
Sungai Telukkasai	id=g:6724122
Sungai Ampangjisak	id=g:6724123
Sungai Delumpucuk	id=g:6724124
Sungai Koloma	id=g:6724125
Sungai Anak Kampar	id=g:6724126
Sungai Belanti	id=g:6724127
Sungai Merbau	id=g:6724128
Sungai Salera	id=g:6724129
Wonorejo	id=g:6724151
Siabu	id=g:6724152
Sungaikorek	id=g:6724153
Sungai Siabu	id=g:6724154
Sungai Lipainsonson	id=g:6724155
Sungai Punangmayung	id=g:6724156
Sungai Kalui	id=g:6724157
Sungai Durian	id=g:6724158
Bukit Keta	id=g:6724159
Bukit Bungsu	id=g:6724160
Sungai Ikangadiputih	id=g:6724161
Bukit Lantaibuluh	id=g:6724162
Sungai Antakanjadi	id=g:6724163
Sungai Ulak	id=g:6724164
Sungai Talang	id=g:6724165
Sungai Lubuktingkuk	id=g:6724166
Sungai Cikain	id=g:6724167
Sungairambai	id=g:6724168
Sungai Muaraketua	id=g:6724169
Sungai Setingkai	id=g:6724170
Banjarnining	id=g:6724171
Sungai Gelawan	id=g:6724172
Sungai Langkutbatu	id=g:6724173
Sungai Gelawan Kecil	id=g:6724174
Sungai Panulangan	id=g:6724175
Sungai Buluabu	id=g:6724176
Sungai Pelimpahan	id=g:6724177
Sungai Kawuk	id=g:6724178
Sukamenanti	id=g:6724179
Sungai Garingging	id=g:6724180
Sungai Salak	id=g:6724181
Sungai Sesepan	id=g:6724182
Sungai Rumbai	id=g:6724183
Sungai Runding	id=g:6724184
Sungai Garigih	id=g:6724185
Sungai Pantuan	id=g:6724186
Sungai Serong	id=g:6724187
Sungai Paku	id=g:6724188
Cengkih	id=g:6724189
Pancasila	id=g:6724190
Sungai Alang	id=g:6724191
Ujunglabu	id=g:6724192
Sukaramai	id=g:6724193
Sungai Genduang	id=g:6724194
Sungai Suangan	id=g:6724195
Pegunungan Embacang	id=g:6724196
Sungai Panangmaniyung	id=g:6724197
Kampar	id=g:6724202
Sungai Jaring	id=g:6724235
Kampungbatas	id=g:6724236
Sungai Biruangkecil	id=g:6724237
Sungai Karambil	id=g:6724238
Bukit Seranggak	id=g:6724239
Bukit Parhantianbumbung	id=g:6724240
Sungai Pauhtegak	id=g:6724241
Sungai Pauhrebah	id=g:6724242
Bukit Pematangsaga	id=g:6724243
Kapu	id=g:6724244
Sibiruang	id=g:6724245
Sungai Sibaling	id=g:6724246
Sungai Pauh	id=g:6724247
Sungai Semindu	id=g:6724248
Bukit Simpangampat	id=g:6724249
Bukit Katuntung	id=g:6724250
Gunungmalela	id=g:6724251
Sungai Munjuk	id=g:6724252
Sungai Pailan	id=g:6724253
Bukit Tanahtahan	id=g:6724254
Kapursembilan	id=g:6724255
Bukit Bahar	id=g:6724256
Sungai Cagai	id=g:6724257
Bukit Malim	id=g:6724258
Bukit Tanil	id=g:6724259
Bukit Kayuambun	id=g:6724260
Bukit Kandangkambing	id=g:6724261
Sungai Sasah	id=g:6724262
Sungai Batang	id=g:6724263
Sungai Muruh	id=g:6724264
Sungai Pambangan	id=g:6724265
Pulausialang	id=g:6724266
Bukit Jerawat	id=g:6724267
Sungai Pauh	id=g:6724268
Sungai Kapurnangadang	id=g:6724269
Sungai Pulautengah	id=g:6724270
Bukit Tanahbardangung	id=g:6724271
Sungai Maruap	id=g:6724272
Sungai Rambai	id=g:6724273
Bukit Tanjung	id=g:6724274
Bukit Panjang	id=g:6724275
Sawah	id=g:6724276
Sungai Melan	id=g:6724277
Sungai Kasui	id=g:6724278
Sungai Palan	id=g:6724279
Sungai Parmanisan	id=g:6724280
Sungai Merah	id=g:6724281
Beringin	id=g:6724282
Sungai Parmanisankecil	id=g:6724283
Gunungbungsu	id=g:6724284
Panjang	id=g:6724285
Sungai Siah	id=g:6724286
Baliktanjung	id=g:6724287
Sungai Pubala	id=g:6724288
Sungai Bandinagin	id=g:6724289
Sungai Kinawaikecil	id=g:6724290
Sungai Kinawaitaras	id=g:6724291
Sungai Kinawai	id=g:6724292
Sungai Kamala	id=g:6724293
Sungai Tampang	id=g:6724294
Sungai Laki	id=g:6724295
Bukit Takus	id=g:6724296
Sungai Takus	id=g:6724297
Sungai Santa	id=g:6724298
Sungai Maran	id=g:6724299
Sungai Tiupgadang	id=g:6724300
Bukit Tunggal	id=g:6724301
Bukit Percaminan	id=g:6724302
Sungai Puoh	id=g:6724303
Bukit Perhantian	id=g:6724304
Bukit Kacang	id=g:6724305
Bukit Sialangsangkak	id=g:6724306
Sungai Denggeh	id=g:6724307
Bukit Suligi	id=g:6724308
Sungai Sadang	id=g:6724309
Sungai Bawah	id=g:6724310
Sungai Tanang	id=g:6724311
Sungai Tanahdikali	id=g:6724312
Sungai Cikata	id=g:6724313
Bukit Langgai	id=g:6724314
Kotasabar	id=g:6724315
Kampunganau	id=g:6724316
Kampungbalai	id=g:6724317
Kampungbalaipasar	id=g:6724318
Kotointan	id=g:6724319
Pulaunagadang	id=g:6724320
Pungkai	id=g:6724321
Pangatasan	id=g:6724322
Sungai Jao	id=g:6724323
Jeruk	id=g:6724324
Kotatangah	id=g:6724325
Kotabinamang	id=g:6724326
Tembulun	id=g:6724327
Sungai Binawang	id=g:6724328
Bukit Katangka	id=g:6724329
Pematang Kayubarkuam	id=g:6724330
Muaratakus	id=g:6724331
Sungai Tiwik	id=g:6724332
Bukit Binamang	id=g:6724333
Bukit Baranganbarunguk	id=g:6724334
Sungai Pilancaran	id=g:6724335
Sungai Rutih	id=g:6724336
Sungai Gulano	id=g:6724337
Baruh	id=g:6724338
Sungai Asang	id=g:6724339
Tandun	id=g:6724340
Perhatianwatas	id=g:6724341
Kanaikan	id=g:6724342
Baharu	id=g:6724343
Kotalamo	id=g:6724344
Kububaru	id=g:6724345
Kuburambai	id=g:6724346
Bukit Ubar	id=g:6724347
Kotatua	id=g:6724348
Sungai Asangtangah	id=g:6724349
Sungai Sosopan	id=g:6724350
Gunung Bongsu	id=g:6724351
Banjarsiabu	id=g:6724352
Kota-dalam	id=g:6724353
Bantyah Binamang	id=g:6724354
Bukit Karaksapipir	id=g:6724355
Kampungbaru	id=g:6724356
Gunung Pinengsicanek	id=g:6724364
Wai Balea	id=g:6724365
Sukamakmur	id=g:6724366
Blangpaku	id=g:6724367
Pondokbalog	id=g:6724368
Buterdalam	id=g:6724369
Bater	id=g:6724370
Alur Katoang	id=g:6724371
Wai Lukup	id=g:6724372
Gunung Puting Beliling	id=g:6724373
Gunung Pucuk Alue Sane	id=g:6724374
Gunung Hulu Pucuk Kuta Perak	id=g:6724375
Wai Pupuk	id=g:6724376
Gunung Tamruk Pinang	id=g:6724377
Gunung Sejuk	id=g:6724378
Gunung Burni Bah	id=g:6724379
Ralawali	id=g:6724380
Blangbalig	id=g:6724381
Selug	id=g:6724382
Kulem	id=g:6724383
Blangmancung	id=g:6724384
Berenung	id=g:6724385
Kutegelineu	id=g:6724386
Bah	id=g:6724387
Srampan	id=g:6724388
Wai Sanrajeuek	id=g:6724389
Cincangduri	id=g:6724390
Simpangjuli	id=g:6724391
Wai Ketol	id=g:6724392
Aluralam	id=g:6724393
Uning	id=g:6724394
Wihnidurin	id=g:6724395
Blangguran	id=g:6724396
Gunung Buntal Pukuh	id=g:6724397
Wai Sane Ubit	id=g:6724398
Gunung Hulu Air Bale	id=g:6724399
Wai Balo	id=g:6724400
Gunung Saneubit	id=g:6724401
Arul Kumer	id=g:6724402
Gunung Sangil	id=g:6724403
Arulgele	id=g:6724404
Simpang Kemili	id=g:6724405
Angkup	id=g:6724406
Gentinggerbang	id=g:6724407
Gunung Jaring Alus	id=g:6724408
Wai Jamurbetung	id=g:6724409
Gunung Nebuk	id=g:6724410
Gunung Sala	id=g:6724411
Gunung Pantan Petukel	id=g:6724412
Gunung Berawang Relek	id=g:6724413
Gunung Arulrelem	id=g:6724414
Wai Celala	id=g:6724415
Blangkekumur	id=g:6724416
Gunung Pepuren	id=g:6724417
Rutih	id=g:6724418
Payabaka	id=g:6724419
Remesan	id=g:6724420
Burnibiug	id=g:6724421
Gunung Biug	id=g:6724422
Gunung Gantunglangit	id=g:6724423
Brawanggading	id=g:6724424
Gunung Arulbabu	id=g:6724425
Gunung Genting	id=g:6724426
Gunung Rutih	id=g:6724427
Payakolak	id=g:6724428
Gunung Betung	id=g:6724429
Wai Kuyun	id=g:6724430
Kuyun	id=g:6724431
Gunung Pematang Binjai	id=g:6724432
Gunung Atu Timang	id=g:6724433
Gunung Kulem	id=g:6724434
Gunung Pucuk Celala	id=g:6724435
Gunung Senengoh	id=g:6724436
Gunung Wertetemi	id=g:6724437
Gunung Pelang	id=g:6724438
Gunung Pelang	id=g:6724439
Gunung Jamurpisang	id=g:6724440
Gunung Jamurkape	id=g:6724441
Gunung Kruengjuk	id=g:6724442
Gunung Aluebaru	id=g:6724443
Gunung Jamurlesung	id=g:6724444
Alur Perak	id=g:6724445
Ujungjeuwali	id=g:6724446
Bahukeun	id=g:6724447
Bur Nitembun	id=g:6724448
Laut Reuloih	id=g:6724449
Bur Nitedeut	id=g:6724450
Pantanpukuh	id=g:6724451
Wainisekiran	id=g:6724452
Pelang	id=g:6724453
Bur Nikekuyang	id=g:6724454
Sungai Balai	id=g:6724464
Petalingan	id=g:6724465
Sungai Batunibayan	id=g:6724466
Sungai Sepano	id=g:6724467
Sungai Tarap	id=g:6724468
Teluklamban	id=g:6724469
Sungai Airmenguruk	id=g:6724472
Sungai Banal	id=g:6724473
Sungai Bombai	id=g:6724474
Sungai Cuka	id=g:6724475
Sungai Durian	id=g:6724476
Sungai Gelincir	id=g:6724477
Sungai Helaka	id=g:6724478
Sungai Ibul	id=g:6724479
Sungai Kampas	id=g:6724480
Sungai Karas	id=g:6724481
Sungai Kualalecah	id=g:6724482
Sungai Lioo	id=g:6724483
Sungai Mindal	id=g:6724484
Sungai Paturuk	id=g:6724485
Sungai Pebadaran	id=g:6724486
Sungai Pelumpung	id=g:6724487
Sungai Pijar	id=g:6724488
Sungai Pulut-pulut	id=g:6724489
Sam Sam	id=g:6724490
Sungai Sangsam	id=g:6724491
Sungai Sialangkalo	id=g:6724492
Sungai Takelu	id=g:6724493
Sungai Tentara	id=g:6724494
Sungai Terap	id=g:6724495
Sungai Ampanodilukahi	id=g:6724504
Sungai Bancahtabuhkota	id=g:6724505
Sungai Tanang	id=g:6724506
Telo	id=g:6724507
Tratak	id=g:6724508
Pulaukampung	id=g:6724509
Pulaukampung	id=g:6724510
Batubelah	id=g:6724511
Pulaulawas	id=g:6724512
Ulai	id=g:6724513
Binuang	id=g:6724514
Malintang	id=g:6724515
Muaraurai	id=g:6724516
Pasirsialang	id=g:6724517
Kampunggadang	id=g:6724518
Pulaulawas	id=g:6724519
Kumantan	id=g:6724520
Tanjungrambutan	id=g:6724521
Sungai Bakan	id=g:6724522
Simpangsetanum	id=g:6724523
Bukit Cadika	id=g:6724524
Sungai Tatabuh	id=g:6724525
Sungai Ridan	id=g:6724526
Sungai Lambing	id=g:6724527
Singkuang	id=g:6724528
Sungai Ketaman	id=g:6724529
Sungai Tanduk	id=g:6724530
Sungai Singkuang	id=g:6724531
Panjasawan Satu	id=g:6724532
Pasubilah	id=g:6724533
Ranah	id=g:6724534
