12576 Water Well	id=g:5452898
12576 Water Well	id=g:5452899
12577 Water Well	id=g:5452900
12577 Water Well	id=g:5452901
12578 Water Well	id=g:5452902
12578 Water Well	id=g:5452903
12578 Water Well	id=g:5452904
12579 Water Well	id=g:5452905
12579 Water Well	id=g:5452906
12580 Water Well	id=g:5452907
12580 Water Well	id=g:5452908
12581 Water Well	id=g:5452909
12581 Water Well	id=g:5452910
12582 Water Well	id=g:5452911
12582 Water Well	id=g:5452912
12583 Water Well	id=g:5452913
12583 Water Well	id=g:5452914
12584 Water Well	id=g:5452915
12584 Water Well	id=g:5452916
12585 Water Well	id=g:5452917
12585 Water Well	id=g:5452918
12585 Water Well	id=g:5452919
12586 Water Well	id=g:5452920
12586 Water Well	id=g:5452921
12586 Water Well	id=g:5452922
12587 Water Well	id=g:5452923
12587 Water Well	id=g:5452924
12588 Water Well	id=g:5452925
12588 Water Well	id=g:5452926
12589 Water Well	id=g:5452927
12589 Water Well	id=g:5452928
12590 Water Well	id=g:5452929
12590 Water Well	id=g:5452930
12591 Water Well	id=g:5452931
12591 Water Well	id=g:5452932
12592 Water Well	id=g:5452933
12592 Water Well	id=g:5452934
12593 Water Well	id=g:5452935
12594 Water Well	id=g:5452936
12595 Water Well	id=g:5452937
12595 Water Well	id=g:5452938
12596 Water Well	id=g:5452939
12596 Water Well	id=g:5452940
12597 Water Well	id=g:5452941
12597 Water Well	id=g:5452942
12598 Water Well	id=g:5452943
12598 Water Well	id=g:5452944
12599 Water Well	id=g:5452945
12599 Water Well	id=g:5452946
1260 Water Well	id=g:5452947
12600 Water Well	id=g:5452948
12600 Water Well	id=g:5452949
12601 Water Well	id=g:5452950
12601 Water Well	id=g:5452951
12602 Water Well	id=g:5452952
12602 Water Well	id=g:5452953
12603 Water Well	id=g:5452954
12603 Water Well	id=g:5452955
12604 Water Well	id=g:5452956
12604 Water Well	id=g:5452957
12605 Water Well	id=g:5452958
12605 Water Well	id=g:5452959
12606 Water Well	id=g:5452960
12606 Water Well	id=g:5452961
12607 Water Well	id=g:5452962
12607 Water Well	id=g:5452963
12608 Water Well	id=g:5452964
12608 Water Well	id=g:5452965
12609 Water Well	id=g:5452966
12609 Water Well	id=g:5452967
12610 Water Well	id=g:5452968
12610 Water Well	id=g:5452969
12611 Water Well	id=g:5452970
