Kukići	id=g:788917
Kukavica	id=g:788918
Kukavica	id=g:788919
Kukavica	id=g:788921
Kukavica	id=g:788922
Kujbul	id=g:788925
Kudrički Vrh	id=g:788927
Kudreš	id=g:788928
Opština Kučevo	id=g:788936
Kučevo	id=g:788937
Kućane	id=g:788939
Kučajna	id=g:788940
Kučajske Planine	id=g:788941
Kubršnica	id=g:788942
Kržince	id=g:788944
Krvije	id=g:788946
Krvavi Kamen	id=g:788948
Krvavica	id=g:788949
Krušje	id=g:788951
Kruševo	id=g:788957
Kruševica	id=g:788964
Kruševica	id=g:788965
Kruševica	id=g:788966
Kruševica	id=g:788967
Kruševica	id=g:788968
Kruševica	id=g:788972
Kruševa Glava	id=g:788973
Opština Kruševac	id=g:788974
Kruševac	id=g:788975
Kruščica	id=g:788981
Krušce	id=g:788984
Krušar	id=g:788985
Krupaja	id=g:788987
Krupac	id=g:788988
Krupac	id=g:788989
Krtok	id=g:788990
Krtinska	id=g:788991
Krstur	id=g:788993
Krstićevo	id=g:788996
Čardak	id=g:788998
Krstatac	id=g:788999
Krstac	id=g:789003
Krstac	id=g:789004
Krst	id=g:789007
Krška Reka	id=g:789008
Krševička Reka	id=g:789009
Krševica	id=g:789010
Krš	id=g:789011
Krš	id=g:789012
Krpejice	id=g:789014
Krnjevo	id=g:789019
Krnješevci	id=g:789021
Krnjača	id=g:789022
Krivi Vir	id=g:789029
Krivi Del	id=g:789033
Kriveljska Reka	id=g:789036
Krivelj	id=g:789037
Kriva Reka	id=g:789039
Kriva Reka	id=g:789042
Kriva Reka	id=g:789043
Krivaja	id=g:789048
Krivača	id=g:789050
Krivača	id=g:789051
Krivača	id=g:789052
Krivača	id=g:789053
Krilaš	id=g:789056
Krežbinac	id=g:789057
Krevet	id=g:789058
Krepoljin	id=g:789059
Krenta	id=g:789061
Kremićka Planina	id=g:789063
Kremiće	id=g:789064
Kremenica	id=g:789065
Kremen	id=g:789070
Krečane	id=g:789071
Krčmare	id=g:789072
Krčmara	id=g:789073
Krčeva Reka	id=g:789074
Krćevac	id=g:789075
Krčedin	id=g:789076
Krče	id=g:789077
Krčana	id=g:789078
Kraku Krčag	id=g:789079
Krbegov Vrh	id=g:789080
Kravlji Do	id=g:789082
Kravlje	id=g:789083
Kraviće	id=g:789084
Kravarska Glavica	id=g:789085
Kravarička Reka	id=g:789086
Planina Kravari	id=g:789087
Krastavče	id=g:789094
Kraljska	id=g:789104
Kraljev Sto	id=g:789105
Opština Kraljevo	id=g:789106
Kraljevo	id=g:789107
Kraljevo	id=g:789108
Maja e Krajljices	id=g:789109
Kraljeva Voda	id=g:789110
Kraku Dobriž	id=g:789112
Krak	id=g:789114
Krajkovačka Reka	id=g:789119
Krajkovac	id=g:789120
Krajište	id=g:789122
Krajišnik	id=g:789124
Krajina	id=g:789125
Grad Kragujevac	id=g:789127
Kragujevac	id=g:789128
Koznica	id=g:789133
Koznica	id=g:789134
Kožlje	id=g:789137
Kozji Kamen	id=g:789139
Kozja	id=g:789151
Kožince	id=g:789152
Kozilo	id=g:789153
Kožetin	id=g:789157
Kozelj	id=g:789158
Kozarska Reka	id=g:789160
Kozare	id=g:789162
Kovizla	id=g:789164
