Desa Karangsari	id=g:6774471
Desa Gunungsari	id=g:6774472
Desa Ambit	id=g:6774473
Desa Jatimulya	id=g:6774474
Desa Cikeusik	id=g:6774475
Desa Cikeusal	id=g:6774476
Desa Kananga	id=g:6774477
Desa Cangkuang	id=g:6774478
Desa Jatirenggang	id=g:6774479
Desa Cibogo	id=g:6774480
Desa Cikulak Kidul	id=g:6774481
Desa Mekarsari	id=g:6774482
Desa Waleddesa	id=g:6774483
Desa Waledasem	id=g:6774484
Desa Mulyajaya	id=g:6774485
Desa Cimahi	id=g:6774486
Desa Bojonggebang	id=g:6774487
Desa Pabuaran Lor	id=g:6774488
Desa Cikulak	id=g:6774489
Desa Pabuaran Kidul	id=g:6774490
Desa Sukadana	id=g:6774491
Desa Waledkota	id=g:6774492
Desa Cigobang	id=g:6774493
Desa Mekarjaya	id=g:6774494
Desa Sukajaya	id=g:6774495
Desa Sumber Kidul	id=g:6774496
Desa Hulubanteng	id=g:6774497
Desa Leuweung Gajah	id=g:6774498
Desa Tenjomaya	id=g:6774499
Desa Pabuaran Wetan	id=g:6774500
Desa Jatiseeng	id=g:6774501
Desa Pasaleman	id=g:6774502
Desa Cigobangwangi	id=g:6774503
Desa Damarguna	id=g:6774504
Desa Tonjong	id=g:6774505
Desa Jatiseeng Kidul	id=g:6774506
Desa Ciledug Kulon	id=g:6774507
Desa Ciledug Tengah	id=g:6774508
Desa Cilengkrang	id=g:6774509
Desa Cilengkrang Girang	id=g:6774510
Desa Tanjunganom	id=g:6774511
Pahing	id=g:6774512
Kebonawi	id=g:6774513
Karanganyar	id=g:6774514
Cimulya	id=g:6774515
Bobojong	id=g:6774516
Barat	id=g:6774517
Ci Lambu	id=g:6774518
Ci Kelepu	id=g:6774519
Pasir Panggoholan	id=g:6774520
Pasir Bangong	id=g:6774521
Wage	id=g:6774522
Manis	id=g:6774523
Kliwon	id=g:6774524
Pahing	id=g:6774525
Wanasaraya	id=g:6774526
Manis	id=g:6774527
Pahing	id=g:6774528
Puhun	id=g:6774529
Kadaya	id=g:6774530
Kutamanggu	id=g:6774531
Kertawana	id=g:6774532
Kowowan	id=g:6774533
Cihonje	id=g:6774534
Cipancur	id=g:6774535
Manis	id=g:6774536
Cikahuripan	id=g:6774537
Puhun	id=g:6774538
Pahing	id=g:6774539
Kliwon	id=g:6774540
Ci Babakan	id=g:6774541
Ci Biuk	id=g:6774542
Wage	id=g:6774543
Manis	id=g:6774544
Kliwon	id=g:6774545
Nanggela	id=g:6774546
Puhun	id=g:6774547
Ci Paray	id=g:6774548
Cimanglid	id=g:6774549
Cikawung	id=g:6774550
Cimulya	id=g:6774551
Wage	id=g:6774552
Cireja	id=g:6774553
Cilimus	id=g:6774554
Sukasari	id=g:6774555
Bojongnangka	id=g:6774556
Balandongan	id=g:6774557
Tarikolot	id=g:6774558
Getrak	id=g:6774559
Pahing	id=g:6774560
Cikandang Barat	id=g:6774561
Cikandang Tengah	id=g:6774562
Cikandang Timur	id=g:6774563
Wage	id=g:6774564
Manis	id=g:6774565
Pahing	id=g:6774566
Bantarsari	id=g:6774567
Sumurkondang	id=g:6774568
Timur	id=g:6774569
Kroya	id=g:6774570
Tarikolot	id=g:6774571
Wage	id=g:6774572
Pahing	id=g:6774573
Puhun	id=g:6774574
Manis	id=g:6774575
Parenca	id=g:6774576
Kliwon	id=g:6774577
Cibulan	id=g:6774578
Jagasara	id=g:6774579
Puhun	id=g:6774580
Wage	id=g:6774581
Cieurih	id=g:6774582
Pahing	id=g:6774583
Manis	id=g:6774584
Senuk	id=g:6774585
Puhun	id=g:6774586
Kliwon	id=g:6774587
Manis	id=g:6774588
Pahing	id=g:6774589
Kliwon	id=g:6774590
Wage	id=g:6774591
Puhun	id=g:6774592
Kertawinangun	id=g:6774593
Ciloa	id=g:6774594
