Yokum	id=g:4743444
Yonkey Pond	id=g:4743445
York Creek	id=g:4743446
Yonker Pin Slough	id=g:4743447
York Creek Church	id=g:4743448
York Flat	id=g:4743449
York Reservoir	id=g:4743450
Yorks Creek	id=g:4743451
York Creek Cemetery	id=g:4743452
Yorktown	id=g:4743453
Yorktown Airport	id=g:4743454
Yorktown Baptist Church	id=g:4743455
Yorktown Country Club	id=g:4743456
Yorktown Creek	id=g:4743457
Yorkshire Meadows Park	id=g:4743458
Yorktown Historical Museum	id=g:4743459
Yoseda Windmill	id=g:4743460
Yost Road Colonia	id=g:4743461
You Asked for It-You Got It Heliport	id=g:4743462
Youens	id=g:4743463
Youens Elementary School	id=g:4743464
Yougeen	id=g:4743465
Young	id=g:4743466
Young Branch Library	id=g:4743467
Young Brothers Heliport	id=g:4743468
Young Cemetery	id=g:4743469
Young Cemetery	id=g:4743470
Young Cemetery	id=g:4743471
Young Cemetery	id=g:4743472
Young Chapel African Methodist Episcopal Church	id=g:4743473
Young County	id=g:4743474
Young Creek	id=g:4743475
Yorktown Gas Field	id=g:4743476
Young Junior High School	id=g:4743477
Young Lake	id=g:4743478
Young Lake	id=g:4743479
Young Lake	id=g:4743480
Young Lake	id=g:4743481
Young Lake Dam	id=g:4743482
Young Lake Dam	id=g:4743483
Young Lake Dam	id=g:4743484
Young NAK Presbyterian Church	id=g:4743485
Young NAK Presbyterian Church	id=g:4743486
Karl Young Park	id=g:4743487
Young Scholars Academy	id=g:4743489
Young School	id=g:4743490
Youngblood Cemetery	id=g:4743491
Youngblood Church	id=g:4743492
Youngblood Creek	id=g:4743493
Young Elementary School	id=g:4743494
Youngblood Hills	id=g:4743495
Youngblood Intermediate School	id=g:4743496
Youngblood Lake	id=g:4743497
Youngblood Lake Dam	id=g:4743498
Youngblood Memorial Presbyterian Church	id=g:4743499
Youngblood Tank	id=g:4743500
Younger Cemetery	id=g:4743501
Youngs Branch	id=g:4743502
Youngblood Dam	id=g:4743503
Youngs Chapel	id=g:4743504
Youngs Chapel Cemetery	id=g:4743505
Youngs Chapel Cemetery	id=g:4743506
Youngs Creek	id=g:4743507
Youngs Chapel	id=g:4743508
Youngs Creek	id=g:4743509
Youngs Lake	id=g:4743510
Youngs School	id=g:4743511
Youngsport	id=g:4743512
Younkey Pen Lake	id=g:4743513
Youree Memorial Chapel	id=g:4743514
Youth Opportunity Unlimited School	id=g:4743515
Yow Branch	id=g:4743516
Yoward Oil Field	id=g:4743517
Yowell	id=g:4743518
Yowell Lake	id=g:4743519
Yowell Lake Dam	id=g:4743520
Yseleta Creek	id=g:4743521
Youngs Prairie Cemetery	id=g:4743522
Yturria	id=g:4743523
Yturria Oil Field	id=g:4743524
Yucca Acres Colonia	id=g:4743525
Yucca Island	id=g:4743526
Yucote Acres	id=g:4743527
Yugo Ranch	id=g:4743528
Yupon Creek	id=g:4743529
Yturri-Edmunds Historic Park	id=g:4743530
Yzaguirre Banco Number 58	id=g:4743531
Yznaga	id=g:4743532
Yznaga Number 1 Colonia	id=g:4743533
Yznaga Number 2 Colonia	id=g:4743534
Z I Hale Museum	id=g:4743535
Z Ranch Lake	id=g:4743536
Z Ranch Lake Dam	id=g:4743537
Z T 'Tip' Hawkes House	id=g:4743538
Z T Acker Elementary School	id=g:4743539
Zabcikville	id=g:4743540
Zabloudil-Hendrick House	id=g:4743541
Zacahuistle Pasture	id=g:4743542
Zacahuistle Well	id=g:4743543
Zacahuistle Windmill	id=g:4743544
Zacata Creek	id=g:4743545
Yvonne Colonia	id=g:4743546
Zacatoso Tank	id=g:4743547
Arroyo Zacatoso	id=g:4743548
Zacatal Colonia	id=g:4743549
Zach Branch	id=g:4743550
Zacaweista Ranch	id=g:4743551
Zachary Dam	id=g:4743552
Zachary Middle School	id=g:4743553
Zachary T and Sallie Lee Scott Senior House	id=g:4743554
Zachry Lake	id=g:4743555
Zachry Lake Dam	id=g:4743556
Zachry Lake Number 2	id=g:4743557
Zachry Lake Number 2 Dam	id=g:4743558
Zachry Lake Number 3	id=g:4743559
Zachry Lake Number 3 Dam	id=g:4743560
Zachry Ranch Airport	id=g:4743561
Zagst House	id=g:4743562
Zahn Cemetery	id=g:4743563
Zahn Lake	id=g:4743564
Zaino Lake	id=g:4743565
Zale Lipshy University Hospital	id=g:4743566
Zaleski Lake	id=g:4743567
Zaleski Lake Dam	id=g:4743568
Zalmanek Lake	id=g:4743569
Zalmanek Lake Dam	id=g:4743570
Zamora Acres Colonia	id=g:4743571
Zancudedo Well	id=g:4743572
Zane Lake	id=g:4743573
Zane Lake Dam	id=g:4743574
Zapata	id=g:4743575
Zapata Cemetery	id=g:4743576
Zapata County	id=g:4743577
Zapata County Airport	id=g:4743578
Zapata High School	id=g:4743579
Zapata Junior High School	id=g:4743580
Zapata Lake	id=g:4743581
Zapata Middle School	id=g:4743582
Zapata North Elementary School	id=g:4743583
Zapata Ranch	id=g:4743584
Zapata Ranch Colonia	id=g:4743585
Zapata South Elementary School	id=g:4743586
Zapeta Windmill	id=g:4743587
Zapp Building	id=g:4743588
Zarate Colonia	id=g:4743589
Zargosa Park	id=g:4743590
Zartuche Windmill	id=g:4743591
Zarzamora Creek	id=g:4743592
Zacha Junction	id=g:4743593
Zavala Cemetery	id=g:4743594
Zavala County	id=g:4743595
Zavala Elementary School	id=g:4743596
Zavala Elementary School	id=g:4743597
Zavala Elementary School	id=g:4743598
Zavala Elementary School	id=g:4743599
Zavala Elementary School	id=g:4743600
Zavala Elementary School	id=g:4743601
Lorenzo de Zavala Elementary School	id=g:4743602
Zavala School	id=g:4743603
Zavala School	id=g:4743604
Zavalla	id=g:4743605
Zavalla Forest Service Facility	id=g:4743606
Zed Creek	id=g:4743607
Zavala	id=g:4743608
Zedler Lake	id=g:4743609
Zeferino Farias Elementary School	id=g:4743610
Zeigler Park	id=g:4743611
Zeke Lake	id=g:4743612
Zella	id=g:4743613
Zelma Hutsell Elementary School	id=g:4743614
Zephyr	id=g:4743615
Zephyr Cemetery	id=g:4743616
Zephyr Elementary School	id=g:4743617
Zephyr Encampment	id=g:4743618
Zephyr High School	id=g:4743619
Zesch Lake	id=g:4743620
Zesch Lake Dam	id=g:4743621
Zettel Cemetery	id=g:4743622
Zigzag Creek	id=g:4743623
Zedler Dam	id=g:4743624
Zilker Park	id=g:4743625
Zilker Park Hike and Bike Trail	id=g:4743626
Zilker Park Historic District	id=g:4743627
Zilker School	id=g:4743628
Ziller House	id=g:4743629
Zimmer Creek	id=g:4743630
Zilker Elementary School	id=g:4743631
Zimmerhanzel Lake Dam	id=g:4743632
Zimmerle Airport	id=g:4743633
Zimmerscheidt Community Center	id=g:4743634
Zimmerscheidt-Leyendecker House	id=g:4743635
Zinke Creek	id=g:4743636
Zimmerhanzel Lake	id=g:4743637
Zion Apostolic Temple Church	id=g:4743638
Zion Cemetery	id=g:4743639
Zion Cemetery	id=g:4743640
Zion Cemetery	id=g:4743641
Zion Cemetery	id=g:4743642
Zion Cemetery	id=g:4743643
Zion Cemetery	id=g:4743644
Zion Cemetery	id=g:4743645
Zion Chapel	id=g:4743646
Zion Chapel	id=g:4743647
Zion Chapel Baptist Church	id=g:4743648
Zion Chapel Baptist Church	id=g:4743649
Zion Chapel Primitive Baptist Church	id=g:4743650
Zion Church	id=g:4743651
Zion Church	id=g:4743652
Zion Church	id=g:4743653
Zion Church	id=g:4743654
Zion Church	id=g:4743655
Zion Church	id=g:4743656
Zion Church	id=g:4743657
Zion Church	id=g:4743658
Zion Church	id=g:4743659
Zion Church	id=g:4743660
Zion Church	id=g:4743661
Zion Church	id=g:4743662
Zion Church	id=g:4743663
Zion Church	id=g:4743664
Zion Evangelical Lutheran Church	id=g:4743665
Zion Hill	id=g:4743666
Zion Hill Baptist Church	id=g:4743667
Zion Hill Baptist Church	id=g:4743668
Zion Hill Baptist Church	id=g:4743669
Zion Hill Baptist Church	id=g:4743670
Zion Hill Cemetery	id=g:4743671
Zion Hill Cemetery	id=g:4743672
Zion Hill Cemetery	id=g:4743673
Zion Hill Cemetery	id=g:4743674
Zion Hill Church	id=g:4743675
Zion Hill Church	id=g:4743676
Zion Hill Church	id=g:4743677
Zion Hill Church	id=g:4743678
Zion Hill Church	id=g:4743679
Zion Hill Church	id=g:4743680
Zion Hill Church	id=g:4743681
Zion Hill Church	id=g:4743682
Zion Hill Church	id=g:4743683
Zion Hill Church	id=g:4743684
Zion Hill Church	id=g:4743685
Zion Hill Church	id=g:4743686
