Wallbergbahn Talstation	id=g:6945144
Hintermauer Alm	id=g:6945145
Röthensteinsee	id=g:6945146
Plankensteinsee	id=g:6945147
Skihütte	id=g:6945148
Ahl Meerkatzen Hotel	id=g:6945292
Aussen Alster Hotel	id=g:6945293
City-Hotel Berlin Am Kurfuerstendamm	id=g:6945294
City Partner City Hotel Am Gendarmenmarkt	id=g:6945295
Europa City Hotel	id=g:6945297
Hotel Eurostars Grand Central	id=g:6945299
IFA Schöneck Hotel	id=g:6945301
T.I. Berlin Georghof	id=g:6945304
Amedia Hotel Hamburg	id=g:6945309
Hotel Augusta	id=g:6945322
Hotel Doria	id=g:6945333
Landhotel Martinshof	id=g:6945335
Lindemanns Hotel	id=g:6945336
Zleep Hotel Hamburg City	id=g:6945349
Hotel Unger	id=g:6945352
A&O München Hauptbahnhof	id=g:6945353
Angelo Designhotel Munich	id=g:6945357
Hotel Artim-Charlottenburg	id=g:6945359
Azimut Hotel Munchen City Ost	id=g:6945363
Express By Holiday Inn	id=g:6945407
Express by Holiday Inn Stuttgart Airport	id=g:6945409
Golden Tulip Düsseldorf-Erkrath	id=g:6945410
Golden Tulip Rüsselsheim Frankfurt Airport	id=g:6945412
Best Western Grand City Hotel Berlin Mitte	id=g:6945413
Hotei Hotelissimo Haberstock Swiss Quality Hotel	id=g:6945414
Hotel Haus Duden	id=g:6945416
Holiday Inn Hotel Bautzen	id=g:6945418
Holiday Inn Hotel Berlin City-East	id=g:6945419
Holiday Inn Hotel Berlin City Ctr Prenzl Allee	id=g:6945421
Holiday Inn Hotel Express Munich Airport	id=g:6945422
Holiday Inn Hotel Frankfurt-Neu-Isenburg	id=g:6945424
Holiday Inn Hotel Monchengladbach	id=g:6945425
Hotel Neue Krame	id=g:6945428
Hotel Ibis Dortmund City	id=g:6945432
Ibis Erfurt Ost	id=g:6945434
Hotel Leipzig Messe - Ibis Hotel Leipzig	id=g:6945441
Mercure Hotel Bad Homburg Friedrichsdorf	id=g:6945446
Mercure Hotel Vier Jahreszeiten	id=g:6945455
Mercure Neuss Hotel	id=g:6945460
Mercure Hotel Regensburg	id=g:6945462
Movenpick Hotel Hamburg	id=g:6945465
NH Hotel Berlin City West	id=g:6945466
Das Pelikan Hotel	id=g:6945478
Pullmann Dortmund	id=g:6945543
Rhein-Main Frankfurt	id=g:6945544
RM Hotel Lochmuehle	id=g:6945545
Seibel S Und Park	id=g:6945547
Sheraton Munchen Arabellapark Hotel	id=g:6945548
Hotel Tessin	id=g:6945551
Tulip Inn Bielefeld	id=g:6945552
Tulip Inn Flensburg	id=g:6945554
Tulip Inn Landsberg	id=g:6945555
V.I.P. Hotel	id=g:6945556
A & O Hotel and Hostel Mitte	id=g:6945563
A&O Hotel City West	id=g:6945564
A&O City Hauptbahnhof	id=g:6945568
AO Mitte Ostbahnhof	id=g:6945572
Achat Plaza Landart	id=g:6945590
Dorint Hotel Adlershof Berlin	id=g:6945594
ARCOTEL John F Berlin	id=g:6945605
Berlin Plaza Hotel Hotelbetriebs	id=g:6945615
Neu Benthen	id=g:6945691
Hotel Majestic GbR	id=g:6945940
NH DRESDEN	id=g:6945953
Savoy Hotel-Pension	id=g:6945960
Terminus Am Hauptbahnhof Geesthacht	id=g:6945968
Hotel Abendstern	id=g:6946077
Hotel acarte	id=g:6946078
Hotel Alpenpanorama	id=g:6946083
add on Hotel Residenz Burghausen	id=g:6946084
Hotel Alemannenhof	id=g:6946092
Hotel Am Moosfeld	id=g:6946094
Hotel Astor	id=g:6946107
Atlantic Juist	id=g:6946109
Hotel Baccara	id=g:6946110
Balladins Superior Hotel Bremen	id=g:6946111
Barlin Hotel Berlin	id=g:6946117
Bastion Hotel	id=g:6946119
baxpax Kreuzberg Hostel	id=g:6946124
baxpax downtown Hostel Hotel	id=g:6946126
Bayerischer Hof	id=g:6946127
Hotel Bayrischer Hof	id=g:6946130
Allach-Untermenzing	id=g:6946131
Weinhaus Beckers	id=g:6946133
