Hœrdt	id=g:3013225
Hœnheim	id=g:3013226
Hoëne	id=g:3013227
Rade de Hoëdic	id=g:3013228
Hoëdic	id=g:3013229
Hœdic	id=g:3013230
Hodicq	id=g:3013231
Hodent	id=g:3013232
Hodeng-Hodenger	id=g:3013233
Hodeng-au-Bosc	id=g:3013234
Hodeng	id=g:3013235
Hodenc-l'Evêque	id=g:3013236
Hodenc-en-Bray	id=g:3013237
Ruisseau de Hodeille	id=g:3013238
Cap du Hode	id=g:3013239
Hocquinghen	id=g:3013240
Hocquincourt	id=g:3013241
Hocquigny	id=g:3013242
Hocqueville	id=g:3013243
Hocquelus	id=g:3013244
Hocmont	id=g:3013245
Ruisseau Hocmard	id=g:3013246
Hochstett	id=g:3013247
Hochstatt	id=g:3013248
Hochfelden	id=g:3013249
Pointe du Hoc	id=g:3013250
Hivet	id=g:3013251
Hitte	id=g:3013252
Bois d'Hiscondisse	id=g:3013253
His	id=g:3013254
Hirtzfelden	id=g:3013255
Bois de Hirtzbach	id=g:3013256
Hirtzbach	id=g:3013257
Hirson	id=g:3013258
Hirsingue	id=g:3013259
Hirschland	id=g:3013260
Montagne d'Hirmente	id=g:3013261
Hiribéhere	id=g:3013262
Hirel	id=g:3013263
Karek-Hir	id=g:3013264
Carrec Hir	id=g:3013265
Carrec Hir	id=g:3013266
Hipsheim	id=g:3013267
Hinx	id=g:3013268
Hinsingen	id=g:3013269
Hinsbourg	id=g:3013270
Hinlé	id=g:3013271
Hinguer	id=g:3013272
Hinges	id=g:3013273
Hindlingen	id=g:3013274
Hindisheim	id=g:3013275
Hinckange	id=g:3013276
Hinacourt	id=g:3013277
Himeling	id=g:3013278
Hilvern	id=g:3013279
Hilvern	id=g:3013280
Hilsprich	id=g:3013281
Hilsenheim	id=g:3013282
Hillion	id=g:3013283
Hildy	id=g:3013284
Hilbesheim	id=g:3013285
Hilay	id=g:3013286
Hiis	id=g:3013287
Higuères-Souye	id=g:3013288
Hiéville	id=g:3013289
Hiesville	id=g:3013290
Hiesse	id=g:3013291
Ruisseau les Hies	id=g:3013292
Hiers-Brouage	id=g:3013293
Hiersac	id=g:3013294
Hiermont	id=g:3013295
Hierges	id=g:3013296
Hières-sur-Amby	id=g:3013297
Hières	id=g:3013298
Hière	id=g:3013299
Hière	id=g:3013300
Hierce	id=g:3013301
Hibarette	id=g:3013302
Hézecques	id=g:3013303
Forêt de Hez	id=g:3013304
Heyrieux	id=g:3013305
Heyre	id=g:3013306
Hévilliers	id=g:3013307
Hévécourt	id=g:3013308
Cap de la Hève	id=g:3013309
Heuzecourt	id=g:3013310
Pointe des Heuvières	id=g:3013311
Forêt de l'Heute	id=g:3013312
Heussern	id=g:3013313
Heussé	id=g:3013314
Heutrégiville	id=g:3013315
Heurtevent	id=g:3013316
Heurtevent	id=g:3013317
Heurtevent	id=g:3013318
Heurtebise	id=g:3013319
Heurteauville	id=g:3013320
Heuringhem	id=g:3013321
Heurgeville	id=g:3013322
Heuqueville	id=g:3013323
Heuqueville	id=g:3013324
Heunières	id=g:3013325
Heume-l'Église	id=g:3013326
Heuland	id=g:3013327
Heuilley-sur-Saône	id=g:3013328
Heuilley-le-Grand	id=g:3013329
Heuilley-Cotton	id=g:3013330
Heugueville-sur-Sienne	id=g:3013331
Heugon	id=g:3013332
Heugleville-sur-Scie	id=g:3013333
Heugas	id=g:3013334
Bois d'Heugacère	id=g:3013335
Heudreville-sur-Eure	id=g:3013336
Heudreville-en-Lieuvin	id=g:3013337
Heudicourt-sous-les-Côtes	id=g:3013338
Heudicourt	id=g:3013339
Heudicourt	id=g:3013340
Heudelimont	id=g:3013341
Heudebouville	id=g:3013342
Heucourt-Croquoison	id=g:3013343
Heuchin	id=g:3013344
Heubécourt-Haricourt	id=g:3013345
Pointe du Heu	id=g:3013346
Forêt du Heu	id=g:3013347
Ferme de Heu	id=g:3013348
Hettenschlag	id=g:3013349
Hettange-Grande	id=g:3013350
Hétomesnil	id=g:3013351
Hestrus	id=g:3013352
Hestrud	id=g:3013353
Hestroff	id=g:3013354
Hessenheim	id=g:3013355
Hesseling	id=g:3013356
