Bullhead Lake	id=g:5247157
Bullhead Lake	id=g:5247158
Bullhead Lake	id=g:5247159
Bullhead Lake	id=g:5247160
Bullhead Lake	id=g:5247161
Bullhead Lake	id=g:5247162
Bullhead Lake	id=g:5247163
Bullhead Lake	id=g:5247164
Bullhead Lake	id=g:5247165
Bullhead Lake	id=g:5247166
Bullhead Lake	id=g:5247167
Bullhead Lake	id=g:5247168
Bullhead Lake	id=g:5247169
Bullhead Lake	id=g:5247170
Bullhead Lake	id=g:5247171
Bullhead Pond	id=g:5247172
Bullhead Slu	id=g:5247173
Lake Bullhead	id=g:5247174
The Bullpen Bay	id=g:5247175
Bundy	id=g:5247176
Bundy Creek	id=g:5247177
Bullet Lake	id=g:5247178
Bungalow School (historical)	id=g:5247179
Bunker Bay	id=g:5247180
Bunker Hill	id=g:5247181
Bunker Hill	id=g:5247182
Bunker Hill	id=g:5247183
Bunker Hill	id=g:5247184
Bunker Hill School	id=g:5247185
Bunker Hill School (historical)	id=g:5247186
Bunker Lake	id=g:5247187
Bunnels Bluff	id=g:5247188
Bunyans Hat Island	id=g:5247189
Burbank Elementary School	id=g:5247190
Burbank Park	id=g:5247191
Burbank School	id=g:5247192
Burbank School (historical)	id=g:5247193
Burd Lake	id=g:5247194
Burdge Elementary School	id=g:5247195
Burdick Cemetery	id=g:5247196
Burdick Elementary School	id=g:5247197
Burdon Hill	id=g:5247198
Burgess Corners	id=g:5247199
Burgy Creek	id=g:5247200
Bundy Hollow	id=g:5247201
Burke Lutheran Church	id=g:5247202
Burke School (historical)	id=g:5247203
Burke Station School	id=g:5247204
Town of Burke	id=g:5247205
Burkett Mine	id=g:5247206
Burkhardt	id=g:5247207
Burkhardt Mill Pond 169.1	id=g:5247208
Burkhardt Station	id=g:5247209
Burkhart Creek	id=g:5247210
Burke	id=g:5247211
Burleigh Elementary School	id=g:5247212
Burlingame Lake	id=g:5247213
Burlington	id=g:5247214
Burlington 2WP311 Dam	id=g:5247215
Burlington Cemetery	id=g:5247216
Burlington City Hall	id=g:5247217
Burlington High School	id=g:5247218
Burlington Junior High School	id=g:5247219
Burlington Municipal Airport	id=g:5247220
Burlington Post Office	id=g:5247221
Burlington Public Library	id=g:5247222
Burlington Water Works	id=g:5247223
City of Burlington	id=g:5247224
Town of Burlington	id=g:5247225
Burlock Lake	id=g:5247226
Burman School (historical)	id=g:5247227
Burnett	id=g:5247228
Burnett Corners	id=g:5247229
Burnett County	id=g:5247230
Burnett County Airport	id=g:5247231
Burnett County Camp	id=g:5247232
Burnett County Fairground	id=g:5247233
Burnett Ditch	id=g:5247234
Burnett Flowage	id=g:5247235
Burnett General Hospital	id=g:5247236
Burnett General Hospital Heliport	id=g:5247237
Burnett Union Cemetery	id=g:5247238
Town of Burnett	id=g:5247239
Burney Lake	id=g:5247240
Burnham Canal	id=g:5247241
Burnham Creek	id=g:5247242
Burkhart School (historical)	id=g:5247243
Burnham Creek	id=g:5247244
Burnham Lake	id=g:5247245
Burnham Shopping Center	id=g:5247246
Lake Burnita	id=g:5247247
Burns	id=g:5247248
Burns Cemetery	id=g:5247249
Burns Cemetery	id=g:5247250
Burns Corners	id=g:5247251
Burns Cove	id=g:5247252
Burns Creek	id=g:5247253
Burnham Lake	id=g:5247254
Burns Creek	id=g:5247255
Burns Dam	id=g:5247256
Burns Lake	id=g:5247257
Burns Valley Church	id=g:5247258
Town of Burns	id=g:5247259
Burnside School (historical)	id=g:5247260
Town of Burnside	id=g:5247261
Burnt Bridge Campground	id=g:5247262
Burnt Point Rapids	id=g:5247263
Burnt Rollways 1909c361 Dam	id=g:5247264
Burnt Rollways Dam	id=g:5247265
Burnt Rollways Reservoir 129	id=g:5247266
Burnt Shanty Creek	id=g:5247267
Burns Creek	id=g:5247268
Burnt Wagon Lake	id=g:5247269
Burr Oak	id=g:5247270
Burr Oak School	id=g:5247271
Burr Oak School	id=g:5247272
Burr Oak School	id=g:5247273
Burr Oak School	id=g:5247274
Burr Oak School	id=g:5247275
Burr Oak Stock and Dairy Farm	id=g:5247276
Burr Oak Stock Farm	id=g:5247277
Burr Ridge	id=g:5247278
Burr Wesleyan Church	id=g:5247279
Burroughs Hall	id=g:5247280
John Burroughs Middle School	id=g:5247281
Burrows Lake	id=g:5247282
Burrows Park	id=g:5247283
Burton	id=g:5247284
Burton Bridge	id=g:5247285
Burton E Nelson Field	id=g:5247286
Burton Field	id=g:5247287
Burton School	id=g:5247288
Burton School (historical)	id=g:5247289
Burton School (historical)	id=g:5247290
Burzynski E 5088.1 Dam	id=g:5247291
Bush Cemetery	id=g:5247292
Bush Creek	id=g:5247293
Burnt Shanty Rapids	id=g:5247294
Bush Prairie School	id=g:5247295
Bushnell Creek	id=g:5247296
Bush Lake	id=g:5247297
Bushnell Park	id=g:5247298
Bushy Lake	id=g:5247299
Buskey Bay	id=g:5247300
Buss's Corners	id=g:5247301
Busseyville	id=g:5247302
Busseyville School	id=g:5247303
Busy Bee School (historical)	id=g:5247304
Busy School (historical)	id=g:5247305
Lake Buteau	id=g:5247306
Butler	id=g:5247307
Butler Cemetery	id=g:5247308
Butler Creek	id=g:5247309
Bushnell Lake	id=g:5247310
Butler Lake	id=g:5247311
Butler Lake and Flynn's Spring State Natural Area	id=g:5247312
Butler Middle School	id=g:5247313
Butler Post Office	id=g:5247314
Butler Public Library	id=g:5247315
Butler Rock	id=g:5247316
Butler Village Hall	id=g:5247317
Town of Butler	id=g:5247318
Village of Butler	id=g:5247319
Butman Corners	id=g:5247320
Butte Des Morts Elementary School	id=g:5247321
Butte des Morts	id=g:5247322
Lake Butte des Morts	id=g:5247323
Butterfield Cemetery	id=g:5247324
Butterfield School (historical)	id=g:5247325
Butterfly Lake	id=g:5247326
Butterfly Lake	id=g:5247327
Buttermilk Creek Park	id=g:5247328
Buttermilk Lake	id=g:5247329
Butternut	id=g:5247330
Butternut Creek	id=g:5247331
Butler Lake	id=g:5247332
Butternut Grove Farm	id=g:5247333
Butternut Grove School (historical)	id=g:5247334
Butternut High School	id=g:5247335
Butternut Hollow	id=g:5247336
Butternut Creek	id=g:5247337
Butternut Lake	id=g:5247338
Butternut Lake	id=g:5247339
Butternut Lake	id=g:5247340
Butternut Lane Farm	id=g:5247341
Butternut Park	id=g:5247342
Butternut Ridge Cemetery	id=g:5247343
Butternut School (historical)	id=g:5247344
Butternut School (historical)	id=g:5247345
Village of Butternut	id=g:5247346
Buttles School	id=g:5247347
Button Cemetery	id=g:5247348
Button Hollow	id=g:5247349
Butternut Island	id=g:5247350
Buttons Bay	id=g:5247351
Butts Corners	id=g:5247352
Butts Park	id=g:5247353
Butzke Lake	id=g:5247354
Buzzard Point	id=g:5247355
Buzzards Roost Airport	id=g:5247356
By Golly Creek	id=g:5247357
Button Marsh	id=g:5247358
Byhre Creek	id=g:5247359
Byrd Lake	id=g:5247360
Byrds Creek	id=g:5247361
Byrds Creek	id=g:5247362
Byrkits Landing	id=g:5247363
Byron	id=g:5247364
Byron Cemetery	id=g:5247365
Byron School (historical)	id=g:5247366
Town of Byron	id=g:5247367
Town of Byron	id=g:5247368
C B Bird House	id=g:5247369
C F Dunbar House	id=g:5247370
C H Wegner House	id=g:5247371
C J Rodman Center for the Arts	id=g:5247372
C Jeidy Farms Airport	id=g:5247373
CCC Pond	id=g:5247374
Cabin Lake	id=g:5247375
Cable	id=g:5247376
Cable Lake	id=g:5247377
Cable Lake	id=g:5247378
Cable Union Airport	id=g:5247379
Town of Cable	id=g:5247380
Cabot Point	id=g:5247381
Cacic Airport	id=g:5247382
Caddie Woodlawn Park	id=g:5247383
Caddy Vista Elementary School	id=g:5247384
Cadiz Center School	id=g:5247385
Town of Cadiz	id=g:5247386
Cadott	id=g:5247387
Cadott Flowage 351	id=g:5247388
Cadott High School	id=g:5247389
Village of Cadott	id=g:5247390
Cadotte Lake	id=g:5247391
Cadotte Lake	id=g:5247392
Cady Creek	id=g:5247393
Byrds Creek Stock Farm	id=g:5247394
Cady Creek School (historical)	id=g:5247395
Cady Creek School (historical)	id=g:5247396
Cady School (historical)	id=g:5247397
Cady and Lucas School (historical)	id=g:5247398
Town of Cady	id=g:5247399
Cady-Wilson School	id=g:5247400
Cahill Park	id=g:5247401
Cainville	id=g:5247402
Calamine	id=g:5247403
Calamus Cemetery	id=g:5247404
Calamus Creek	id=g:5247405
Cady Creek Church (historical)	id=g:5247406
Caldron Falls Dam	id=g:5247407
Caldron Falls Reservoir	id=g:5247408
Caldron Falls Reservoir 496	id=g:5247409
Caldron Falls School (historical)	id=g:5247410
Caldron Falls WP186 Dam	id=g:5247411
Caldwell	id=g:5247412
Caldwell Elementary School	id=g:5247413
Caldwell United Methodist Church	id=g:5247414
Caledonia	id=g:5247415
Caledonia Cemetery	id=g:5247416
Caledonia Cemetery	id=g:5247417
Caledonia Church	id=g:5247418
Caledonia Elementary School	id=g:5247419
Caledonia School (historical)	id=g:5247420
Caledonia Town Hall	id=g:5247421
Caledonia Wildlife Area	id=g:5247422
Town of Caledonia	id=g:5247423
Town of Caledonia (historical)	id=g:5247424
Town of Caledonia	id=g:5247425
Town of Caledonia	id=g:5247426
Caledonia-Mount Pleasant Park	id=g:5247427
Caley Lake	id=g:5247428
Caley Lake School (historical)	id=g:5247429
Calhoun	id=g:5247430
Calhoun Elementary School	id=g:5247431
Calhoun G7989 Dam	id=g:5247432
Calhoun Park	id=g:5247433
Calkins Lake	id=g:5247434
Calkins North Lake	id=g:5247435
Callahan Lake	id=g:5247436
Callahan Lake	id=g:5247437
Callahan Lake	id=g:5247438
Callahan Lake Dam	id=g:5247439
Callahan-Mud Lake State Wildlife Management Area	id=g:5247440
Callahans Farm Airport	id=g:5247441
Callon	id=g:5247442
Callsen School (historical)	id=g:5247443
Calumet County	id=g:5247444
Calumet County Courthouse	id=g:5247445
Calumet County Jail	id=g:5247446
Calumet Harbor	id=g:5247447
Calumet School	id=g:5247448
Calumet School (historical)	id=g:5247449
Calumet and Hecla Mine	id=g:5247450
Town of Calumet	id=g:5247451
Calumetville	id=g:5247452
Calvary	id=g:5247453
Calvary Assembly of God Church	id=g:5247454
Calvary Assembly of God Church	id=g:5247455
Calvary Assembly of God Church	id=g:5247456
Calvary Assembly of God Church	id=g:5247457
Calvary Baptist Christian School	id=g:5247458
Calvary Baptist Church	id=g:5247459
Calvary Baptist Church	id=g:5247460
Calvary Baptist Church	id=g:5247461
Calvary Baptist Church	id=g:5247462
Calvary Baptist Church	id=g:5247463
Calvary Baptist Church	id=g:5247464
Calvary Baptist Church	id=g:5247465
Calvary Baptist Church (historical)	id=g:5247466
Calvary Bible Church	id=g:5247467
Calvary Bible Church	id=g:5247468
Calvary Bible Church	id=g:5247469
Calvary Cemetery	id=g:5247470
Calvary Cemetery	id=g:5247471
Calvary Cemetery	id=g:5247472
Calvary Cemetery	id=g:5247473
Calvary Cemetery	id=g:5247474
Calvary Cemetery	id=g:5247475
Calvary Cemetery	id=g:5247476
Calvary Cemetery	id=g:5247477
Calvary Cemetery	id=g:5247478
Calvary Cemetery	id=g:5247479
Calvary Cemetery	id=g:5247480
Calvary Cemetery	id=g:5247481
Calvary Cemetery	id=g:5247482
Calvary Cemetery	id=g:5247483
Calvary Cemetery	id=g:5247484
Calvary Cemetery	id=g:5247485
Calvary Cemetery	id=g:5247486
Calvary Cemetery	id=g:5247487
Calvary Cemetery	id=g:5247488
Calvary Cemetery	id=g:5247489
Calvary Cemetery	id=g:5247490
Calvary Cemetery	id=g:5247491
Calvary Cemetery	id=g:5247492
Calvary Cemetery	id=g:5247493
Calvary Cemetery	id=g:5247494
Calvary Cemetery	id=g:5247495
Calvary Cemetery	id=g:5247496
Calvary Cemetery	id=g:5247497
Calvary Cemetery	id=g:5247498
Calvary Cemetery	id=g:5247499
Calvary Cemetery	id=g:5247500
Calvary Cemetery	id=g:5247501
Calvary Cemetery	id=g:5247502
Calvary Church	id=g:5247503
Calvary Congregational Church	id=g:5247504
Calvary English Lutheran Church (historical)	id=g:5247505
Calvary Evangelical Free Church	id=g:5247506
Calvary Evangelical Lutheran Church	id=g:5247507
Calvary Evangelical Lutheran Church	id=g:5247508
Calvary Evangelical Lutheran Grade School	id=g:5247509
Calvary Evangelical United Brethren Church	id=g:5247510
Calvary Life Academy	id=g:5247511
Calvary Lutheran Church	id=g:5247512
Calvary Lutheran Church	id=g:5247513
Calvary Lutheran Church	id=g:5247514
Calvary Lutheran Church	id=g:5247515
Calvary Lutheran Church	id=g:5247516
Calvary Lutheran School	id=g:5247517
Calvary Orthodox Presbyterian Church	id=g:5247518
Calvary Presbyterian Church	id=g:5247519
Calvary Tabernacle	id=g:5247520
Calvary Tabernacle Church	id=g:5247521
Calvary United Methodist Church	id=g:5247522
Calvert	id=g:5247523
Calvin Christian Reformed Church	id=g:5247524
Calvin Creek	id=g:5247525
Town of Calamus	id=g:5247526
Calvin Manson G-9509 Dam	id=g:5247527
Cambria	id=g:5247528
Cambria Cemetery	id=g:5247529
Cambria WP53 Dam	id=g:5247530
Village of Cambria	id=g:5247531
Cambria-Friesland High School	id=g:5247532
Cambridge	id=g:5247533
Cambridge Elementary School	id=g:5247534
Cambridge High School	id=g:5247535
Village of Cambridge	id=g:5247536
Camel Hump	id=g:5247537
Camelia Lake	id=g:5247538
Camelot Country Club	id=g:5247539
Camelot Mobile Home Park	id=g:5247540
Camelot Park	id=g:5247541
Camelot Square Shopping Center	id=g:5247542
Camels Bluff	id=g:5247543
Camels Creek	id=g:5247544
Calvin Day Cemetery	id=g:5247545
Camels Hump	id=g:5247546
Cameron	id=g:5247547
Cameron Creek	id=g:5247548
Camels Hump	id=g:5247549
Cameron Elementary School	id=g:5247550
