Helen Col	id=g:6211204
Paris	id=g:6211205
Split Peaks	id=g:6211206
Tom Thumb Col	id=g:6211207
Plata Col	id=g:6211208
The Thumbs	id=g:6211209
Athene Col	id=g:6211210
Electra	id=g:6211211
Odyssey Basin	id=g:6211212
Iliad Basin	id=g:6211213
Tantalus	id=g:6211214
Priam	id=g:6211215
Cassandra Col	id=g:6211216
Myrmidon	id=g:6211217
High Peak	id=g:6211218
Alma Col	id=g:6211219
Low Peak	id=g:6211220
Achilles	id=g:6211221
BLACK MOUNTAIN RANGE	id=g:6211222
Alma Spur	id=g:6211223
Exeter	id=g:6211224
Balaclava Basins	id=g:6211225
Alma	id=g:6211226
Balaclava Saddle	id=g:6211227
Graf Spee	id=g:6211228
Big Spur	id=g:6211229
Camp Basin	id=g:6211230
Rocky Ridge	id=g:6211231
TWO THUMB RANGE	id=g:6211232
Cowans Hill	id=g:6211233
Lake Tekapo	id=g:6211234
Mary Burn	id=g:6211235
Mount John	id=g:6211236
Mary Burn	id=g:6211237
Irishman Creek	id=g:6211238
Tekapo River	id=g:6211239
Fork Stream	id=g:6211240
Scott Pond	id=g:6211241
Edward Stream	id=g:6211242
Dead Mans Creek	id=g:6211243
Sawdon Stream	id=g:6211244
Ross Stream	id=g:6211245
Mackintosh Stream	id=g:6211246
Opihi River	id=g:6211247
Cloudy Peaks Stream	id=g:6211248
Cowan Stream	id=g:6211249
Firewood Stream	id=g:6211250
Stony Stream	id=g:6211251
Edward Stream	id=g:6211252
Roys Lagoon	id=g:6211253
Jimmeys Lagoon	id=g:6211254
Lake Tekapo	id=g:6211255
Metties Well	id=g:6211256
Swan Lagoon	id=g:6211257
Lake McGregor	id=g:6211258
Forks Lagoon	id=g:6211259
Irishman Creek	id=g:6211260
Fred's Tarn	id=g:6211261
Fork Stream	id=g:6211262
Boundary Tarns	id=g:6211263
Sunday Tarn	id=g:6211264
Cluster Tarns	id=g:6211265
Grebe Tarn	id=g:6211266
Glenmore Tarns	id=g:6211267
Hartley Tarn	id=g:6211268
Stony Tarn	id=g:6211269
Tui Tarn	id=g:6211270
Joseph Valley Wetland	id=g:6211271
Mount John Observatory	id=g:6211272
Patersons Terrace	id=g:6211273
Joseph Stream	id=g:6211274
Lake Murray	id=g:6211275
Pierce Pond	id=g:6211276
Landslip Creek	id=g:6211277
First Creek	id=g:6211278
Fraser Stream	id=g:6211279
Fork Stream	id=g:6211280
Cass River	id=g:6211281
Mistake River	id=g:6211282
