Takawkanut Chaung	id=g:1295035
Takawkan	id=g:1295036
Takawhta	id=g:1295037
Takawhka Kercher	id=g:1295038
Takawdobyako	id=g:1295039
Takawdo	id=g:1295040
Ta-kaw	id=g:1295041
Ta-kaw	id=g:1295042
Takara	id=g:1295043
Ta-kantang	id=g:1295044
Takang	id=g:1295045
Ta-ka-lè-hso	id=g:1295046
Takakehi	id=g:1295047
Ta-kai	id=g:1295048
Taju	id=g:1295049
Pulo Tajam	id=g:1295050
Taison	id=g:1295051
Tai-se	id=g:1295052
Tai-sao	id=g:1295053
Taing Wei	id=g:1295054
Taingtaya	id=g:1295055
Taingtaya	id=g:1295056
Tainglongin	id=g:1295057
Taingkwan	id=g:1295058
Tainggyo	id=g:1295059
Nam Tainggwin	id=g:1295060
Taingda	id=g:1295061
Taingbyaukkon	id=g:1295062
Taingbin Ywama	id=g:1295063
Taingbinywa	id=g:1295064
Taingbin In	id=g:1295065
Tai-na	id=g:1295066
Tailumgahtawng	id=g:1295067
Tailum	id=g:1295068
Tailum	id=g:1295069
Tailum	id=g:1295070
Tai-luan	id=g:1295071
Tailik Va	id=g:1295072
Taikzun	id=g:1295073
Taik-ywa	id=g:1295074
Taikwagyi	id=g:1295075
Taiktagaw	id=g:1295076
Taikri	id=g:1295077
Taikpwe	id=g:1295078
Taikpu	id=g:1295079
Taikma	id=g:1295080
Taik Kyun	id=g:1295081
Taikkyua	id=g:1295082
Taikkyigon	id=g:1295083
Taikkyigôn	id=g:1295084
Taikkyigôn	id=g:1295085
Taikkyi	id=g:1295086
Taikkyi	id=g:1295087
Taikkyi	id=g:1295088
Taikkyi	id=g:1295089
Taikat	id=g:1295090
Nam Taik	id=g:1295091
Tai-imnu	id=g:1295092
Taihte	id=g:1295093
Taihpa Ga	id=g:1295094
Tai-ho	id=g:1295095
Tai-hkö	id=g:1295096
Taiche Yu	id=g:1295097
Tai-chaung	id=g:1295098
Taiawhtu	id=g:1295099
Tai-ai-pin Zauk	id=g:1295100
Taia	id=g:1295101
Ta Hwè-hawn	id=g:1295102
Tahulaw	id=g:1295103
Tahti Mon	id=g:1295104
Ta Hta Wāng	id=g:1295105
Ta-hsopteng	id=g:1295106
Ta-hso-hso	id=g:1295107
Tahsiehchang	id=g:1295108
