Saint John's United Church of Christ	id=g:5135322
Saint Johns Episcopal Church	id=g:5135323
Saint Johns Episcopal Hospital Heliport	id=g:5135324
Saint Johns German Evangelical Lutheran Church	id=g:5135325
Interfaith Medical Center	id=g:5135326
Saint Johns Hospital (historical)	id=g:5135327
Saint John's Episcopal Hospital	id=g:5135328
Saint Johns Lutheran Church	id=g:5135329
Saint Johns Memorial Cemetery	id=g:5135330
Saint Johns Novitiate	id=g:5135331
Saint Johns Park	id=g:5135332
Saint Johns Pond	id=g:5135333
Saint Johns Preparatory School	id=g:5135334
Saint Johns Parochial School	id=g:5135335
Saint John's Parochial School (historical)	id=g:5135336
Saint Johns School	id=g:5135337
Saint John School (historical)	id=g:5135338
Saint Johns School	id=g:5135339
Saint Johns School	id=g:5135340
Saint Johns School	id=g:5135341
Saint Johns School	id=g:5135342
Saint Johns School	id=g:5135343
Saint Johns School	id=g:5135344
Saint Johns School	id=g:5135345
Saint Johns School	id=g:5135346
Saint Johns School	id=g:5135347
Saint Johns School	id=g:5135348
Saint Johns School	id=g:5135349
Our Lady of Providence Regional School	id=g:5135350
Saint Johns School	id=g:5135351
Saint Johns Seminary	id=g:5135352
Saint John's University Queens Campus	id=g:5135353
Saint Johns Villa Academy	id=g:5135354
Saint Johnsburg	id=g:5135355
Saint Johnsville	id=g:5135356
Saint Johnsville Reservoir	id=g:5135357
Town of Saint Johnsville	id=g:5135358
Saint Josaphats School	id=g:5135359
Saint Josen	id=g:5135360
Saint Joseph Cemetery	id=g:5135361
Saint Joseph Cemetery	id=g:5135362
Saint Joseph Cemetery	id=g:5135363
Saint Joseph Cemetery	id=g:5135364
Saint Joseph Cemetery	id=g:5135365
Saint Joseph Cemetery	id=g:5135366
Saint Joseph Cemetery	id=g:5135367
Saint Joseph Cemetery	id=g:5135368
Saint Joseph Chapel	id=g:5135369
Saint Joseph Church	id=g:5135370
Saint Joseph Home for Aged	id=g:5135371
Saint Joseph School	id=g:5135372
Saint Joseph the Worker School	id=g:5135373
Saint Joseph's Church	id=g:5135374
Saint Joseph's Church	id=g:5135375
Saint Joseph's Church	id=g:5135376
Saint Joseph's Church	id=g:5135377
Saint Joseph's Home	id=g:5135378
Saint Joseph's Hospital (historical)	id=g:5135379
Saint Joseph's Medical Center	id=g:5135380
Saint Joseph's School	id=g:5135381
Saint Josephats Monastery	id=g:5135382
Saint Josephats School	id=g:5135383
Saint Josephs	id=g:5135384
Saint Josephs Cathedral	id=g:5135385
Saint Josephs Cemetery	id=g:5135386
Saint Josephs Cemetery	id=g:5135387
Saint Josephs Cemetery	id=g:5135388
Saint Josephs Cemetery	id=g:5135389
Saint Josephs Cemetery	id=g:5135390
Saint Josephs Cemetery	id=g:5135391
Saint Josephs Cemetery	id=g:5135392
Saint Josephs Cemetery	id=g:5135393
Saint Josephs Cemetery	id=g:5135394
Saint Josephs Cemetery	id=g:5135395
Saint Josephs Cemetery	id=g:5135396
Saint Josephs Cemetery	id=g:5135397
Saint Josephs Cemetery	id=g:5135398
Saint Josephs Cemetery	id=g:5135399
Saint Josephs Cemetery	id=g:5135400
Saint Josephs Cemetery	id=g:5135401
Saint Josephs Cemetery	id=g:5135402
Saint Josephs Cemetery	id=g:5135403
Saint Josephs Cemetery	id=g:5135404
Saint Josephs Cemetery	id=g:5135405
Saint Josephs Cemetery	id=g:5135406
Saint Josephs Cemetery	id=g:5135407
Saint Josephs Cemetery	id=g:5135408
Saint Josephs Cemetery	id=g:5135409
Saint Josephs Cemetery	id=g:5135410
