Rutland Regional Medical Center	id=g:5240535
Rutland Regional Medical Center Health Science Library	id=g:5240536
Rutland High School	id=g:5240537
Rutland State Airport	id=g:5240538
City of Rutland	id=g:5240539
Town of Rutland	id=g:5240540
Ryan Mountain	id=g:5240541
Ryder Brook	id=g:5240542
Russell Cemetery	id=g:5240543
Ryder Pond Dam	id=g:5240544
Ryegate Corner	id=g:5240545
Ryegate Quarry	id=g:5240546
Town of Ryegate	id=g:5240547
S L Griffith Memorial Library	id=g:5240548
Sabin Cemetery	id=g:5240549
Sabin Pond	id=g:5240550
Sable Mountain	id=g:5240551
Sable Mountain	id=g:5240552
Sable Mountain	id=g:5240553
Sable Mountain Brook	id=g:5240554
Ryder Pond	id=g:5240555
Sacketts Brook	id=g:5240556
Sacketts Brook Stone Arch Bridge	id=g:5240557
Sacred Heart Cemetery	id=g:5240558
Sacred Heart School	id=g:5240559
Sacred Heart-Saint Francis Church	id=g:5240560
Sadawga Cemetery	id=g:5240561
Saddle Mountain	id=g:5240562
Saddle Pond	id=g:5240563
Saddleback Mountain	id=g:5240564
Safford Cemetery	id=g:5240565
Sage Hill	id=g:5240566
Said Dam	id=g:5240567
Said Pond	id=g:5240568
Saint Albans	id=g:5240569
Saint Albans Bay	id=g:5240570
Saint Albans Bay	id=g:5240571
Saint Albans Bay Cemetery	id=g:5240572
Saint Albans Bay State Park	id=g:5240573
Saint Albans Chamber of Commerce	id=g:5240574
Saint Albans City School	id=g:5240575
Saint Albans City Hall	id=g:5240576
Saint Albans Correctional Facility	id=g:5240577
Saint Albans Free Library	id=g:5240578
Saint Albans Hill	id=g:5240579
Saint Albans Historic District	id=g:5240580
Saint Albans Historical Museum	id=g:5240581
Saint Albans Municipal Forest	id=g:5240582
Saint Albans Point	id=g:5240583
Saint Albans Point Cemetery	id=g:5240584
Saint Albans Post Office	id=g:5240585
Saint Albans Reservoir	id=g:5240586
Saint Albans Reservoir Dam North	id=g:5240587
Saint Albans Reservoir Dam South	id=g:5240588
Saint Albans Reservoir North	id=g:5240589
Saint Albans Reservoir South	id=g:5240590
Saint Albans Road Cemetery	id=g:5240591
Saint Albans Shopping Center	id=g:5240592
Saint Albans Town Educational Center	id=g:5240593
Saint Albans Town Industrial Park	id=g:5240594
City of Saint Albans	id=g:5240595
Town of Saint Albans	id=g:5240596
Saint Alphonsus Cemetery	id=g:5240597
Saint Amadeus Cemetery	id=g:5240598
Saint Ambrose Parish Hall	id=g:5240599
Saint Andrews Episcopal Church	id=g:5240600
Saint Ann Church	id=g:5240601
Saint Annes Catholic Church	id=g:5240602
Saint Annes Shrine	id=g:5240603
Saint Anns Cemetery	id=g:5240604
Saint Anthony Church	id=g:5240605
Saint Anthonys Cemetery	id=g:5240606
Saint Anthonys Cemetery	id=g:5240607
Saint Augustine Cemetery	id=g:5240608
Saint Barnabas Church	id=g:5240609
Saint Bartholomews Episcopal Church	id=g:5240610
Saint Bernadette Church	id=g:5240611
Saint Bernards Cemetery	id=g:5240612
