Ulugalwitiya	id=g:7437159
Saint Agnes	id=g:7437160
Aluthakanda	id=g:7437161
Kondagalakanda	id=g:7437162
Munihinkanda	id=g:7437163
Thiruwanagalgodella	id=g:7437164
Isserakanda	id=g:7437165
Kosgulana	id=g:7437166
Bogahahena	id=g:7437167
Horegoda	id=g:7437168
Wewathenna	id=g:7437169
Karawwa East	id=g:7437170
Karawwa Colony	id=g:7437171
Walakada	id=g:7437172
Yalamediya	id=g:7437173
Kapugedara	id=g:7437174
Akkara Wissa	id=g:7437175
Wewatenna	id=g:7437176
Neluketiya	id=g:7437177
Katuhena	id=g:7437178
Uduwakanda	id=g:7437179
Bampara	id=g:7437180
Horamulla	id=g:7437181
Plendawatta	id=g:7437182
Akkara Wissa	id=g:7437183
Mahena	id=g:7437184
Galagangoda	id=g:7437185
Kelinkanda Colony	id=g:7437186
Dahalagala	id=g:7437187
Kallwatta	id=g:7437188
Hinpanwila	id=g:7437189
Hinpanwila	id=g:7437190
Kumburuhena	id=g:7437191
Palukgala	id=g:7437192
Kelinkandagama	id=g:7437193
Waradelgoda	id=g:7437194
Paragala	id=g:7437195
Pitakanda	id=g:7437196
Erakolakanda	id=g:7437197
Ihalakanda	id=g:7437198
Talapatgala	id=g:7437199
Karandagama	id=g:7437200
Aludeniya	id=g:7437201
Hettiwatta	id=g:7437202
Somland	id=g:7437203
Gunekanda	id=g:7437204
Gamagodakanda	id=g:7437205
Jambulagaswatte	id=g:7437206
Bogahahena	id=g:7437207
Gamagodakanda	id=g:7437208
Kandewatta	id=g:7437209
Galatura Group	id=g:7437210
Kombekanda	id=g:7437211
Giritenna	id=g:7437212
Nagahawela	id=g:7437213
Kavitikande	id=g:7437214
Gangabobatenna	id=g:7437215
Badamune Watta	id=g:7437216
Galatura Group	id=g:7437217
Dandura Ela	id=g:7437218
Peellagamahena	id=g:7437220
Kirigalkanda	id=g:7437221
Mandadeniya	id=g:7437222
Weliketiya	id=g:7437223
Gordkella	id=g:7437224
Narangashena	id=g:7437225
Thennahena	id=g:7437226
Haraniyawaka	id=g:7437227
Dodampe West	id=g:7437228
Kurugammodara	id=g:7437229
Kurugammodara	id=g:7437230
Gangarawa	id=g:7437231
Welimetimulla	id=g:7437232
Berawagala	id=g:7437233
Kuruwita Pahala	id=g:7437234
Jambugahahena	id=g:7437235
Urupelewwa	id=g:7437236
Kalukelegama	id=g:7437237
Talagahakanda	id=g:7437238
Talagahakanda	id=g:7437239
Nagoda	id=g:7437240
Palmgarden Group	id=g:7437241
Gorakaela	id=g:7437242
Dodampe East	id=g:7437243
Hirikumpura	id=g:7437244
Mangedara	id=g:7437245
Dodampe	id=g:7437246
Balagangodakanda	id=g:7437247
Millakade	id=g:7437248
Pelpola	id=g:7437249
Mahiragala	id=g:7437250
Pathagama	id=g:7437251
Kekunatoda	id=g:7437252
Dulgala	id=g:7437253
Udagedarakanda	id=g:7437254
Welgampola	id=g:7437255
Withanagama	id=g:7437256
Ihalakanda	id=g:7437257
Palawela East	id=g:7437258
Puwakwattahena	id=g:7437259
Batakade	id=g:7437260
Galahitikanda	id=g:7437261
Kekiriwaramandiya	id=g:7437262
Thoranagoda	id=g:7437263
Beraliyana	id=g:7437264
Preporuwa	id=g:7437265
Niriella North	id=g:7437266
Nagirikanda	id=g:7437267
On Ridge	id=g:7437268
Uduwathkanda	id=g:7437269
Kurulugala	id=g:7437270
Meemalkanda	id=g:7437271
Pussalakanda	id=g:7437272
Manakanda	id=g:7437273
Nawalahena	id=g:7437274
Atakalandawatta	id=g:7437275
Peellawatta	id=g:7437276
Gonapenidola	id=g:7437277
Kandawaldola	id=g:7437278
Achiriyahena	id=g:7437279
Kudumiriya	id=g:7437280
Nawalauyana	id=g:7437281
Tambugahahena	id=g:7437282
Kanegala	id=g:7437283
Wahamure	id=g:7437284
Yahalakalunna	id=g:7437285
Talagahakanda	id=g:7437286
Kahengama East	id=g:7437287
Kandahena	id=g:7437288
Malankanda	id=g:7437289
Midallanakanda	id=g:7437290
Weeragodakanda	id=g:7437291
Weeragoda Kanda	id=g:7437292
Athukoralagoda	id=g:7437293
Ratnapura New Town	id=g:7437294
Kospelawinna	id=g:7437295
Potgulkande	id=g:7437296
Rajasingama	id=g:7437297
Pothgulvihara	id=g:7437298
Winara Mawella	id=g:7437299
Podgala	id=g:7437300
Elapatha North	id=g:7437301
Uduwathana North	id=g:7437302
Amuwala	id=g:7437303
Amuwala East	id=g:7437304
