Deibert Cemetery	id=g:7224598
South Boardman Cemetery	id=g:7224599
Saint Mary Cemetery	id=g:7224600
Excelsior Town Hall Historical Marker	id=g:7224601
Rugg Pond Dam Historical Marker	id=g:7224602
Garfield Township Fire Department	id=g:7224603
Garfield Township Hall	id=g:7224604
Garfield Country Church	id=g:7224605
Forest Area High School	id=g:7224606
Munson Medical Center	id=g:7224607
Inland Township Hall	id=g:7224608
Northstar Mobile Home Park	id=g:7224609
Short Cut Ski Trail	id=g:7224610
Canyon Ski Trail	id=g:7224611
Wipeout Ski Trail	id=g:7224612
Loki Ski Trail	id=g:7224613
Interlochen Arts Avenue Ski Trail	id=g:7224614
Huggy Bear Hollow Ski Trail	id=g:7224615
Little Vincent Ski Trail	id=g:7224616
Abendroth's Ski Trail	id=g:7224617
Glacier Valley Glade Area Ski Trail	id=g:7224618
Giggles Ski Trail	id=g:7224619
Main Street Ski Trail	id=g:7224620
Nastar Course Ski Trail	id=g:7224621
Cheers Ski Trail	id=g:7224622
Super Park Ski Trail	id=g:7224623
Gorge Ski Trail	id=g:7224624
Buck Ski Trail	id=g:7224625
Lower Gorge Ski Trail	id=g:7224626
Teddy's Turn Ski Trail	id=g:7224627
Hoot Owl Ski Trail	id=g:7224628
Shelburg's Chute Ski Trail	id=g:7224629
Thor Chute Ski Trail	id=g:7224630
Nose Dive Ski Trail	id=g:7224631
Cut Off Ski Trail	id=g:7224632
Emmy Ski Trail	id=g:7224633
Nason's Ski Trail	id=g:7224634
Thompsonville Fire Hall	id=g:7224635
Thompsonville Village Hall	id=g:7224636
Michigan Legacy Art Park	id=g:7224637
First Congregational Church	id=g:7224638
Colfax Township Hall	id=g:7224639
Weldon Township Hall	id=g:7224640
Betsie Valley District Library	id=g:7224641
Woodside Wesleyan Church	id=g:7224642
Lake Ann Post Office	id=g:7224643
Advent Lutheran Church	id=g:7224644
Almira Township Hall	id=g:7224645
Almira Township Library	id=g:7224646
Lake Ann United Methodist Church	id=g:7224647
School Number 5 (historical)	id=g:7224648
School Number 7 (historical)	id=g:7224649
School Number 6 (historical)	id=g:7224650
School Number 2 (historical)	id=g:7224651
Stevens School (historical)	id=g:7224652
School Number 9 (historical)	id=g:7224653
School Number 8 (historical)	id=g:7224654
School Number 11 (historical)	id=g:7224655
School Number 5 (historical)	id=g:7224656
School Number 14 (historical)	id=g:7224657
School Number 16 (historical)	id=g:7224658
School Number 4 (historical)	id=g:7224659
School Number 9 (historical)	id=g:7224660
School Number 11 (historical)	id=g:7224661
School Number 3 (historical)	id=g:7224662
School Number 8 (historical)	id=g:7224663
School Number 8 (historical)	id=g:7224664
School Number 3 (historical)	id=g:7224665
School Number 4 (historical)	id=g:7224666
School Number 1 (historical)	id=g:7224667
School Number 1 (historical)	id=g:7224668
School Number 18 (historical)	id=g:7224669
School Number 2 (historical)	id=g:7224670
School Number 4 (historical)	id=g:7224671
School Number 5 (historical)	id=g:7224672
School Number 9 (historical)	id=g:7224673
School Number 11 (historical)	id=g:7224674
School Number 2 (historical)	id=g:7224675
School Number 5 (historical)	id=g:7224676
School Number 2 (historical)	id=g:7224677
School Number 6 (historical)	id=g:7224678
School Number 4 (historical)	id=g:7224679
School Number 7 (historical)	id=g:7224680
School Number 3 (historical)	id=g:7224681
School Number 6 (historical)	id=g:7224682
School Number 3 (historical)	id=g:7224683
School Number 7 (historical)	id=g:7224684
Honor Family Medicine Clinic	id=g:7224685
Honor Congregational Church	id=g:7224686
Honor Village Hall	id=g:7224687
Homestead Township Hall	id=g:7224688
Platte Township Hall	id=g:7224689
Lake Township Hall	id=g:7224690
Elberta Beach	id=g:7224691
Waterfront Park	id=g:7224692
Saint Ann Catholic Church	id=g:7224693
Frankfort Police Department	id=g:7224694
Frankfort City Hall	id=g:7224695
Congregational Summer Asssembly	id=g:7224696
Benzie County Medical Care	id=g:7224697
First Congregational Church	id=g:7224698
Seventh-Day Adventist Church	id=g:7224699
Crystal Lake Southern Baptist Church	id=g:7224700
Crystal Lake Clinic	id=g:7224701
Betsie Bay Medical Center	id=g:7224702
Frankfort Senior Care Home	id=g:7224703
Frankfort Trailer Park	id=g:7224704
Memorial Park	id=g:7224705
Elberta United Methodist Church	id=g:7224706
Beulahland Wesleyan Church	id=g:7224707
Cornerstone Assembly of God Church	id=g:7224708
Honor Congregation of Jehovah's Witnesses	id=g:7224709
Beulah Public Library	id=g:7224710
Beulah Fire Department	id=g:7224711
Beulah Police Department	id=g:7224712
Benzie County Sheriff's Office	id=g:7224713
Benzie County Government Center	id=g:7224714
Weldon Post Office (historical)	id=g:7224715
Watervale Post Office (historical)	id=g:7224716
Wallin Post Office (historical)	id=g:7224717
Turtle Lake Post Office (historical)	id=g:7224718
Success Post Office (historical)	id=g:7224719
Stormer Post Office (historical)	id=g:7224720
Platte Post Office (historical)	id=g:7224721
Oviatt Post Office (historical)	id=g:7224722
Osborn Post Office (historical)	id=g:7224723
Nessen City Post Office (historical)	id=g:7224724
Melva Post Office (historical)	id=g:7224725
Joyfield Post Office (historical)	id=g:7224726
Inland Post Office (historical)	id=g:7224727
Homestead Post Office (historical)	id=g:7224728
Grace Post Office (historical)	id=g:7224729
Gilmore Post Office (historical)	id=g:7224730
Edgewater Post Office (historical)	id=g:7224731
Cedar Run Post Office (historical)	id=g:7224732
Bendon Post Office (historical)	id=g:7224733
Aral Post Office (historical)	id=g:7224734
Almira Post Office (historical)	id=g:7224735
Agia Sophia Academy	id=g:7224736
Alberta Rider Elementary School	id=g:7224737
Our Savior Lutheran Church	id=g:7224738
Crystal Lake Clinic	id=g:7224739
Crystal Lake Mobile Home Park	id=g:7224740
Faith Baptist Church	id=g:7224741
Benzonia City Hall	id=g:7224742
Joyfield Township Hall	id=g:7224743
Aloha-Huber Park Elementary School	id=g:7224744
Thompsonville Cemetery	id=g:7224745
Colfax Township Cemetery	id=g:7224746
Marquette's Death Historical Marker	id=g:7224747
Car Ferries on Lake Michigan Historical Marker	id=g:7224748
Pacific Salmon Historical Marker	id=g:7224749
Benzonia Township Cemetery	id=g:7224750
Benzonia Village Park	id=g:7224751
Benzonia Public Library	id=g:7224752
Benzie Area Historical Museum	id=g:7224753
Benzonia Congregational Church Historical Marker	id=g:7224754
Banks Christian Academy	id=g:7224755
Bruce Cotton Historical Marker	id=g:7224756
