Chak Forty	id=g:1387085
Chak Forty-two-Two Hundred Eighteen	id=g:1387086
Chak Forty-four-Two Hundred Twenty-two	id=g:1387087
Chak Forty-one-Two Hundred Sixteen	id=g:1387088
Chak Thirty-two	id=g:1387089
Chak Twenty-six-One Hundred Eighty-six	id=g:1387090
Dhadrānwāla	id=g:1387091
Sāgarwāla	id=g:1387092
Chak Twenty-two-One Hundred Seventy-eight	id=g:1387093
Tala Qāsimwāla	id=g:1387094
Chak One Hundred Sixty-eight	id=g:1387095
Chak Twenty-one-One Hundred Seventy-six	id=g:1387096
Roda	id=g:1387097
Pakkhi Miān	id=g:1387098
Jurmi	id=g:1387099
Jhok Kālwāli	id=g:1387100
Old Chak Thirty-seven-Two Hundred Eight	id=g:1387101
Chak Thirty-four-Two Hundred Two	id=g:1387102
Rāna Wāhan	id=g:1387103
Pakhi Three R Distributary	id=g:1387104
Chak Thirty-five-Two Hundred Four	id=g:1387105
Chak Thirty-eight-Two Hundred Six	id=g:1387106
Bangāla One R Minor	id=g:1387107
New Chak Thirty-seven-Two Hundred Eight	id=g:1387108
Bangāla	id=g:1387109
Darkhāna	id=g:1387110
Ghurakka	id=g:1387111
Siālānwāla	id=g:1387112
Chitti	id=g:1387113
Shāh Ali	id=g:1387114
Chhab Two L Minor	id=g:1387115
Khangrānwāla	id=g:1387116
Basti Mohānphala	id=g:1387117
Bahāwal	id=g:1387118
Kamānd Four R Minor	id=g:1387119
Chak Eighty-Twelve L	id=g:1387120
Chak Twenty-seven	id=g:1387121
Teku Su Minor	id=g:1387122
Chak Three Hundred Twenty-Three	id=g:1387123
Khānewāl Wazīrābād Branch	id=g:1387124
Siawāl Minor	id=g:1387125
Davi Despure	id=g:1387126
Chak Two Hundred Ninety-Four	id=g:1387127
Chak One Hundred Fifty-Three	id=g:1387128
Chak One Hundred Forty-Nine	id=g:1387129
Chak One Hundred Fifty	id=g:1387130
Chak Two Hundred Ninety-Two	id=g:1387131
Dhabānwāli Distributary	id=g:1387132
Khikhi Distributary	id=g:1387133
Rajjāna Distributary	id=g:1387134
Chak Two Hundred Sixty-Three GB	id=g:1387135
Chak Two Hundred Eighty-Six	id=g:1387136
Chak Two Hundred Eighty-Seven GB	id=g:1387137
Chak Twenty-Eight	id=g:1387138
Chak Two Hundred Eighty-Six	id=g:1387139
Chak Two Hundred Sixty-Four GB	id=g:1387140
Pīr Mahal Distributary	id=g:1387141
Chak Three	id=g:1387142
Magneja Canal Lodge	id=g:1387143
Mārthānwāla	id=g:1387144
Nūrshāh	id=g:1387145
Bhaini Balochān	id=g:1387146
Chak Six Hundred Sixty-Five/Five	id=g:1387147
Chak Six Hundred Sixty/One	id=g:1387148
Inayāt Shāh	id=g:1387149
Bagguwāla	id=g:1387150
Āriwāla	id=g:1387151
Chak Two Hundred Sixty-Seven	id=g:1387152
Jhok Balochān	id=g:1387153
Chak Two Hundred Thirty-Six GB	id=g:1387154
Chak Five Hundred Thirty-Six	id=g:1387155
Chak Two Hundred Fifty-Five	id=g:1387156
Gugera Branch	id=g:1387157
Bhaun Distributary	id=g:1387158
Yakkar Minor	id=g:1387159
Chak Two Hundred Forty-Six	id=g:1387160
Maurusipur Canal Lodge	id=g:1387161
Mungi Distributary	id=g:1387162
Tarkhāni Distributary	id=g:1387163
Chak One Hundred Ninety-Two GB	id=g:1387164
Chak Two Hundred Ninety-One	id=g:1387165
Chak One Hundred Ninety-Three GB	id=g:1387166
Chak Five Hundred Eight	id=g:1387167
Minor Three	id=g:1387168
Jhok Kathiān	id=g:1387169
