Phumĭ Kiribăs kândal	id=g:1880868
Phumĭ Leuslŭp	id=g:1880869
Krŏng Preăh Seihânŭ	id=g:1899262
Khétt Bântéay Méan Cheăy	id=g:1899273
Kaôh Pring	id=g:1905192
Trâpeăng Smach Krau	id=g:1906921
Trâpeăng Prasat K’ŭk	id=g:1906922
Trâpeăng Ampil	id=g:1906924
Trâpeăng Smach	id=g:1906925
Trâpeăng Thnál	id=g:1906926
Phumĭ Bŏs	id=g:1906930
Phumĭ Pôngrô	id=g:1906931
Trâpeăng Chêng Mêng	id=g:1906932
Trâpeăng Thom	id=g:1906933
O Tŭng	id=g:1906934
Trâpeăng Rôhal	id=g:1906935
Trâpeăng Baray	id=g:1906936
O Anlŭng Trach	id=g:1906937
Trâpeăng Kru Ei	id=g:1906938
Trâpeăng Salém	id=g:1906939
O Bachhéay	id=g:1906940
Trâpeăng Rôhal Trach	id=g:1906941
Trâpeăng Bântéay Chhmar	id=g:1906942
Trâpeăng Lôbaôs	id=g:1906943
Trâpeăng Ta Tép	id=g:1906944
O Ta Sĕt	id=g:1906945
Bœ̆ng Baray	id=g:1906946
Phâla Naram	id=g:1906961
Phumĭ Pônsay Êtbong	id=g:1907335
Phumĭ Khlŏeng	id=g:1907336
Prêk Luŏng Kdŏl	id=g:1907347
Phnŭm Pra	id=g:1907403
O Trô nŭp	id=g:1907404
O Thom Ouk	id=g:1936465
Phnŭm Châmnœ̆p Rŭmduŏl	id=g:1941737
Phnŭm Ãnlŏy	id=g:1941738
Phnŭm Loŭk	id=g:1941739
Trâpeăng Thom	id=g:1941743
Trâpeăng Angkrông	id=g:1941750
Bœ̆ng Chéang	id=g:1941751
Phnŭm Ta Sok	id=g:1941923
Bœ̆ng Véal Prey	id=g:1941926
O Ta Krŭt	id=g:1941928
Phnŭm Chirâng	id=g:1941929
Phumĭ Srâlau Tông	id=g:1941931
Phumĭ Chângho	id=g:1941933
O Ka Kŏp	id=g:1941934
Phumĭ Monoas Kal	id=g:1941935
O Kämbŏt	id=g:1941936
O Khloŭk	id=g:1941937
O Phka Prâ mol	id=g:1941938
O Sot	id=g:1941939
Trâpeăng Mômŭng	id=g:1941940
O Peăng Sŏk	id=g:1941941
Phnŭm Kântŭp	id=g:1941943
Phnŭm Chheu	id=g:1941944
Phumĭ O Da	id=g:1941945
O Da	id=g:1941946
