Kecamatan Telukjambe	id=g:6593879
Kiarajaya	id=g:6593880
Kiarajaya Kidul	id=g:6593881
Cijengkol	id=g:6593882
Sukasari	id=g:6593883
Desa Tamansari	id=g:6593884
Rawaungu	id=g:6593885
Manggabesar Dua	id=g:6593886
Kebonkalapa	id=g:6593887
Kedungwaru	id=g:6593888
Waringin	id=g:6593889
Babakancikanju	id=g:6593890
Cikanjur	id=g:6593891
Cigempol	id=g:6593892
Ci Pamoyanan	id=g:6593893
Cibenda	id=g:6593894
Ci Kidangiati	id=g:6593895
Ci Baregbeg	id=g:6593896
Ci Jambe	id=g:6593897
Ciparay	id=g:6593898
Mekarmukti	id=g:6593899
Saluran Irigasi Tarum Tengah	id=g:6593900
Cinaga	id=g:6593901
Krajan	id=g:6593902
Lio	id=g:6593903
Parakanterus Satu	id=g:6593904
Pasirkarees	id=g:6593905
Ci Pinang	id=g:6593906
Kutanegara	id=g:6593907
Cigempol	id=g:6593908
Barisantarum Barat	id=g:6593909
Ragog	id=g:6593910
Cipule	id=g:6593911
Kompa	id=g:6593912
Krajan	id=g:6593913
Kaum	id=g:6593914
Cibogo	id=g:6593915
Cimareme	id=g:6593916
Cisada	id=g:6593917
Pasirhuni	id=g:6593918
Pasirrandu	id=g:6593919
Sumurbatu	id=g:6593920
Gadobangkong	id=g:6593921
Ci Gembol	id=g:6593922
Munjul	id=g:6593923
Cikandang	id=g:6593924
Pasiripis	id=g:6593925
Kalihurip	id=g:6593926
Situ	id=g:6593927
Pasirmuncang	id=g:6593928
Sawah	id=g:6593929
Pasirgbogor	id=g:6593930
Sindangsari	id=g:6593931
Jomin	id=g:6593932
Ci Bulakan	id=g:6593933
Ci Benda	id=g:6593934
Ci Subah	id=g:6593935
Ci Keruh	id=g:6593936
Karangjati	id=g:6593937
Sukapura	id=g:6593938
Liosari	id=g:6593939
Asem	id=g:6593940
Udugudug	id=g:6593941
Ci Konci	id=g:6593942
Karanganyar	id=g:6593943
Lengkasari	id=g:6593944
Jangga	id=g:6593945
Pasirluhur	id=g:6593946
Cisaga	id=g:6593947
Ci Karangjati	id=g:6593948
Cikaduk	id=g:6593949
Sukamulya	id=g:6593950
Citalahab	id=g:6593951
Pasirjengkol	id=g:6593952
Ci Cadasbodas	id=g:6593953
Ci Bunder	id=g:6593954
Cadasbodas	id=g:6593955
Sukasari	id=g:6593956
Cipapayan	id=g:6593957
Ci Sentek	id=g:6593958
Jungkur	id=g:6593959
Bendungan Ciawitemen	id=g:6593960
Ci Narogtog	id=g:6593961
Krapyak	id=g:6593962
Tajur	id=g:6593963
Cibunder	id=g:6593964
Tegallega	id=g:6593965
Ci Hiang	id=g:6593966
Talaga	id=g:6593967
Ci Gombong	id=g:6593968
Ci Sarua	id=g:6593969
Cisarua	id=g:6593970
Ci Kondang	id=g:6593971
Sodong	id=g:6593972
Pasirkarees	id=g:6593973
Ci Awitemen	id=g:6593974
Neglasari	id=g:6593975
Cisalak	id=g:6593976
Ci Salak	id=g:6593977
Ci Keruh	id=g:6593978
Ciputat	id=g:6593979
Ciawitali	id=g:6593980
Desa Mekarjaya	id=g:6593981
Desa Pucung	id=g:6593982
Desa Wancimekar	id=g:6593983
Desa Cikampek Utara	id=g:6593984
Desa Pangulah Utara	id=g:6593985
Desa Cikampek Barat	id=g:6593986
Desa Cikampek Kota	id=g:6593987
Desa Cikampek Selatan	id=g:6593988
Desa Cikampek Timur	id=g:6593989
Desa Sarimulya	id=g:6593990
Desa Jomin Barat	id=g:6593991
Desa Dawuan Timur	id=g:6593992
Desa Dawuan Tengah	id=g:6593993
Desa Dawuan Barat	id=g:6593994
Desa Purwasari	id=g:6593995
Desa Tamelang	id=g:6593996
Desa Sumurkondang	id=g:6593997
Desa Cimahi	id=g:6593998
Desa Curug	id=g:6593999
Desa Karanganyar	id=g:6594000
