Sambel Embalô	id=g:2370149
Vendu Sambel Cumba	id=g:2370150
Sambel Cocara	id=g:2370151
Sambel Berindim	id=g:2370152
Sambel Bérè	id=g:2370153
Sambel Bérè	id=g:2370154
Sambel Bérè	id=g:2370155
Rio Samba Xili	id=g:2370156
Rio Samba Uriel	id=g:2370157
Samba Sumani	id=g:2370158
Sambassi	id=g:2370159
Sambasò	id=g:2370160
Samba Silate	id=g:2370161
Samba Seidi	id=g:2370162
Samba Salé	id=g:2370163
Samba Sajo	id=g:2370164
Samba Sábali	id=g:2370165
Samba Nhamaracunda	id=g:2370166
Samba Nhaco	id=g:2370167
Sambanco	id=g:2370168
Rio Samba Mané	id=g:2370169
Sambalicunda	id=g:2370170
Rio Sambali	id=g:2370171
Sambalé	id=g:2370172
Rio Sambajuma	id=g:2370173
Rio de Samba Juli	id=g:2370174
Samba Juli	id=g:2370175
Samba Jau	id=g:2370176
Samba Jau	id=g:2370177
Sambajai	id=g:2370178
Samba Iobà	id=g:2370179
Rio Sambaiá	id=g:2370180
Samba Gorcò	id=g:2370181
Samba Gana	id=g:2370182
Sambafim	id=g:2370183
Rio Samba Daneio	id=g:2370184
Samba Daba	id=g:2370185
Sambacunda	id=g:2370186
Sambacunda	id=g:2370187
Sambacunda	id=g:2370188
Samba Cumbera	id=g:2370189
Samba Culo	id=g:2370190
Rio de Samba Churqui	id=g:2370191
Samba Churqui	id=g:2370192
Samba Chabi	id=g:2370193
Samba Chabi	id=g:2370194
Samba Candè	id=g:2370195
Samba Candé	id=g:2370196
Samba Candè	id=g:2370197
Sambabuia	id=g:2370198
Samba Ari	id=g:2370199
Samba Árabe	id=g:2370200
Samba	id=g:2370201
Samaro	id=g:2370202
Rio Samare	id=g:2370203
Samaracunda	id=g:2370204
Samane	id=g:2370205
Samandim	id=g:2370206
Rio Saman	id=g:2370207
Samadoro	id=g:2370208
Sama	id=g:2370209
Samã	id=g:2370210
Sama	id=g:2370211
Sama	id=g:2370212
Saludinca	id=g:2370213
Rápidos do Saltinho	id=g:2370214
Ponte do Saltinho	id=g:2370215
Rio Salminja	id=g:2370216
Saliquinhédim	id=g:2370217
Rio de Saliquinhé	id=g:2370219
Rio de Saliquinhé	id=g:2370220
Rio de Saliquinhé	id=g:2370221
Saliquinhé	id=g:2370222
Saliquinhé	id=g:2370223
Saliquinhé	id=g:2370224
Saliquinhé	id=g:2370225
Saliquinhé	id=g:2370226
Saliquinhé	id=g:2370227
Saliquinhé	id=g:2370228
Salifo	id=g:2370229
Sálià	id=g:2370230
Rio de Salaquêual	id=g:2370231
Salaquêual	id=g:2370232
