Lions Canyon	id=g:5366700
Lion Flat	id=g:5366701
Lions Canyon	id=g:5366702
Lions Club Park	id=g:5366703
Lions Community Center	id=g:5366704
Lions Den Campground	id=g:5366705
Lions Den Campground	id=g:5366706
Lions Field	id=g:5366707
Lions Head	id=g:5366708
Lions Head Ranch	id=g:5366709
Lions Head Rock	id=g:5366710
Lions Park	id=g:5366711
Lions Park	id=g:5366712
Lions Park	id=g:5366713
Lions Park	id=g:5366714
Lions Park	id=g:5366715
Lions Park	id=g:5366716
Lions Park	id=g:5366717
Lions Park	id=g:5366718
Lions Peak	id=g:5366719
Lipman Middle School	id=g:5366720
Lippincott Mine	id=g:5366721
Lippincott Mountain	id=g:5366722
Lira	id=g:5366723
Lisbon Elementary School	id=g:5366724
Lisbon School (historical)	id=g:5366725
Lisbon Winery	id=g:5366726
Lisko	id=g:5366727
Lisque Creek	id=g:5366728
Lions Club Park	id=g:5366729
List	id=g:5366730
Lithia Spring	id=g:5366731
Little Acorn Park	id=g:5366732
Little Alkali Lake	id=g:5366733
Little Amador Mine	id=g:5366734
Little Antelope Grade	id=g:5366735
Little Antelope Pack Station	id=g:5366736
Little Antelope Valley	id=g:5366737
Little Antelope Valley	id=g:5366738
Little Arrka Campground	id=g:5366739
Little Arthur Creek	id=g:5366740
Lisser Hall	id=g:5366741
Little Avenal Creek	id=g:5366742
Little Bald Mountain	id=g:5366743
Little Bald Rock	id=g:5366744
Little Baldy	id=g:5366745
Little Baldy	id=g:5366746
Little Baldy	id=g:5366747
Little Baldy	id=g:5366748
Little Baldy	id=g:5366749
Little Baldy Ridge	id=g:5366750
Little Baldy Saddle	id=g:5366751
Little Basin	id=g:5366752
Little Bear Canyon	id=g:5366753
Little Bald Mountain	id=g:5366754
Little Bear Canyon	id=g:5366755
Little Bear Creek	id=g:5366756
Little Bear Creek	id=g:5366757
Little Bear Creek	id=g:5366758
Little Bear Creek	id=g:5366759
Little Bear Creek	id=g:5366760
Little Bear Haven Creek	id=g:5366761
Little Bear Lake	id=g:5366762
Little Bear Lake	id=g:5366763
Little Bear Park	id=g:5366764
Little Bear Peak	id=g:5366765
Little Bear River	id=g:5366766
Little Bear Lake	id=g:5366767
Little Bear Spring	id=g:5366768
Little Bear Trap	id=g:5366769
Little Bear Wallow Creek	id=g:5366770
Little Bear Rock	id=g:5366771
Little Beaver Canyon	id=g:5366772
Little Bearpaw Meadow	id=g:5366773
Little Beaver Creek	id=g:5366774
Little Bell Mountain	id=g:5366775
Little Bitterwater Canyon	id=g:5366776
Little Bill Mine	id=g:5366777
Little Black Mountain	id=g:5366778
Little Black Mountain	id=g:5366779
Little Black Rock	id=g:5366780
Little Blackhawk Creek	id=g:5366781
Little Bitterwater Spring	id=g:5366782
Little Blair Valley	id=g:5366783
Little Blue Creek	id=g:5366784
Little Blackrock Spring	id=g:5366785
Little Blue Ridge	id=g:5366786
Little Borax Lake	id=g:5366787
Little Borego	id=g:5366788
Little Boulder Creek	id=g:5366789
Little Blue Dome	id=g:5366790
Little Boulder Creek	id=g:5366791
Little Boulder Creek	id=g:5366792
Little Boulder Grove	id=g:5366793
Little Briggs Creek	id=g:5366794
Little Bravo Lake	id=g:5366795
Little Brown Bear Creek	id=g:5366796
Little Buck Rock	id=g:5366797
Little Buckeye Creek	id=g:5366798
Little Buckeye Creek	id=g:5366799
Little Buckhorn Ranch	id=g:5366800
Little Bull Valley	id=g:5366801
Little Buckhorn Ranch (historical)	id=g:5366802
Little Burnett Creek	id=g:5366803
Little Burning Bush Church of God in Christ	id=g:5366804
Little Burros Creek	id=g:5366805
Little Burnt Peak	id=g:5366806
Little Butano Creek	id=g:5366807
Little Butte	id=g:5366808
Little Butte	id=g:5366809
Little Butte Creek	id=g:5366810
Little Butte	id=g:5366811
Little Butte Creek	id=g:5366812
Little Buttes	id=g:5366813
Little Buttonwillow Lake	id=g:5366814
Little Cahuilla Mountain	id=g:5366815
Little Caliente Canyon	id=g:5366816
Little Buttes Antique Airfield	id=g:5366817
Little California Mine	id=g:5366818
Little California Mine	id=g:5366819
Little Camp Spring	id=g:5366820
Little Campbell	id=g:5366821
Little Cannell Meadow	id=g:5366822
Little Canyon Creek	id=g:5366823
Little Caliente Spring	id=g:5366824
Little Canyon Creek	id=g:5366825
Little Case Creek	id=g:5366826
Little Cave Creek	id=g:5366827
Little Cayucos Creek	id=g:5366828
Little Cedar Canyon	id=g:5366829
Little Cedar Creek	id=g:5366830
Little Cedars Campground	id=g:5366831
Little Charlie Creek	id=g:5366832
Little Chapel Church of God and Christ	id=g:5366833
Little Chemise Knob	id=g:5366834
