Rånavik	id=g:841659
Pito	id=g:841660
Siggnäs Sund	id=g:841661
Rapusudden	id=g:841662
Garsböleholm	id=g:841663
Bergholm	id=g:841664
Notholm	id=g:841665
Ängsholm	id=g:841666
Tuoreenkarinaukko	id=g:841667
Siestinkari	id=g:841668
Rajakarinaukko	id=g:841669
Rajakari	id=g:841670
Isolamppi	id=g:841671
Riukuluoto	id=g:841672
Laitaluoto	id=g:841673
Nikuluoto	id=g:841674
Taipaluksenaukko	id=g:841675
Iso Vehkaluoto	id=g:841676
Ruotsalaistenaukko	id=g:841677
Pihlavaiset	id=g:841678
Halvvägsklobben	id=g:841679
Hänninaukko	id=g:841680
Päiväsalmi	id=g:841681
Salonkylä	id=g:841682
Iso-Anosin	id=g:841683
Laitsalmi	id=g:841684
Marttisluodonaukko	id=g:841685
Niulalahti	id=g:841686
Keusto	id=g:841687
Montola	id=g:841688
Okala	id=g:841689
Laitsalmi	id=g:841690
Nimetön	id=g:841691
Prunnila	id=g:841692
Kirveenrauma	id=g:841693
Kuristenlahti	id=g:841694
Renko	id=g:841695
Rengonaukko	id=g:841696
Hauspanta	id=g:841697
Kuristensalmi	id=g:841698
Iso-Kalku	id=g:841699
Iso-Tervi	id=g:841700
Vähä-Tervi	id=g:841701
Eerikvallanniemi	id=g:841702
Inre Sattmark	id=g:841703
Yttre Sattmark	id=g:841704
Långholmen	id=g:841705
Kuusi	id=g:841706
Pitkä	id=g:841707
Harva	id=g:841708
Eerikvalla	id=g:841709
Vuohiluoto	id=g:841710
Haapaluoto	id=g:841711
Kuusluoto	id=g:841712
Hinttinen	id=g:841713
Niemenkulma	id=g:841714
Iholuoto	id=g:841715
Tammsundet	id=g:841716
Härkilot	id=g:841717
Naula	id=g:841718
Latosaari	id=g:841719
Isosaari	id=g:841720
Niittusaari	id=g:841721
Karitluoto	id=g:841722
Uutiskuvanlahti	id=g:841723
Varvaholmen	id=g:841724
Ollilansaari	id=g:841725
Jukoluoto	id=g:841726
Harsholm	id=g:841727
Ryöväriholma	id=g:841728
Bredviken	id=g:841729
Kirjalansalmi	id=g:841730
Trollgärda	id=g:841731
