Nhanzanine	id=g:1101064
Chicaiábua	id=g:1101065
Hugo	id=g:1101066
Somborane	id=g:1101067
Silica	id=g:1101068
Santa Catarina	id=g:1101069
Notiça	id=g:1101070
Fabião	id=g:1101071
Fabião	id=g:1101072
Lago Chacana	id=g:1101073
Lago Aracane	id=g:1101074
Lago Nhangome	id=g:1101075
Lago Buarro	id=g:1101076
Lago Uamaguve	id=g:1101077
Timoteo	id=g:1101078
Lago Maqueguete	id=g:1101079
Lago Cunguine	id=g:1101080
Lago Chilau	id=g:1101081
Lago Malili	id=g:1101082
Lago Macanhene	id=g:1101083
Lago Totoque	id=g:1101084
Mavai	id=g:1101085
Uetela	id=g:1101086
Magol	id=g:1101087
Mosondai	id=g:1101088
Filipe	id=g:1101089
Cabo Mapanguelane	id=g:1101090
Lago Mauêve	id=g:1101091
Lago Munche	id=g:1101092
Lago Nhamahe	id=g:1101093
São Pedro	id=g:1101094
Lago Machezumbelo	id=g:1101095
Basobane	id=g:1101096
Cabo Majuta	id=g:1101097
Lago Nhamacuapa	id=g:1101098
Manuel	id=g:1101099
Lago Nhamecurri	id=g:1101100
Nhambuane	id=g:1101101
Lago Silanzuane	id=g:1101102
Machunguele	id=g:1101103
Lago Safunhe	id=g:1101104
Mafande	id=g:1101105
Lago Nhanvucane	id=g:1101106
Lago Dzalila	id=g:1101107
Lago Nhaticharruane	id=g:1101108
Maurungane	id=g:1101109
Lago Sili	id=g:1101110
Finiasse	id=g:1101111
Machotane	id=g:1101112
Sagrado Coração de Jesus	id=g:1101113
Lago Nhachicono	id=g:1101114
Negumbene	id=g:1101115
Chefe Nhamazane	id=g:1101116
Magamo	id=g:1101117
Cóua	id=g:1101118
Cat. Feiticista	id=g:1101119
Pirrine	id=g:1101120
Cat. L. Africana	id=g:1101121
Cat. Escandinava	id=g:1101122
Cristo Rei	id=g:1101123
Cat. Nazarena	id=g:1101124
Chefe Chicuangue	id=g:1101125
Santa Isabel	id=g:1101126
São Simbine	id=g:1101127
Lago Compene	id=g:1101128
Lago Cálaúle	id=g:1101129
Lago Chitive	id=g:1101130
Chetico	id=g:1101131
Sainda	id=g:1101132
Taime	id=g:1101133
Fernando	id=g:1101134
Gipaiane	id=g:1101135
Zefanias	id=g:1101136
Tomás	id=g:1101137
Lago Nhauzizive	id=g:1101138
Lago Liquenha	id=g:1101139
Lago Macalaco	id=g:1101140
Lago Mucambe	id=g:1101141
Uachisso	id=g:1101142
Penicela	id=g:1101143
Silva	id=g:1101144
Chefe Fulhau	id=g:1101145
Chefane	id=g:1101146
Lassita	id=g:1101147
Sando	id=g:1101148
Necela	id=g:1101149
Lago Nhamassobo	id=g:1101150
Lago Nhamande	id=g:1101151
Lago Puíte	id=g:1101152
Lago Chenjane	id=g:1101153
Lago Lítsere	id=g:1101154
Lago Malemboè	id=g:1101155
Praia Massano	id=g:1101156
Praia Correia	id=g:1101157
Chingóboe	id=g:1101158
Machava	id=g:1101159
Chimane	id=g:1101160
D. Nhaúhale	id=g:1101161
Macachula	id=g:1101162
Nossa Senhora Das Dores	id=g:1101163
Rafael	id=g:1101164
Lago Chombe	id=g:1101165
Lago Nhadamboè	id=g:1101166
J. Brasileiro	id=g:1101167
Punguene	id=g:1101168
Papo	id=g:1101169
Lago Chacule	id=g:1101170
Serração Cucumbi	id=g:1101171
Muandje	id=g:1101172
Lago Mangomani	id=g:1101173
Nhatinhala	id=g:1101174
Panda	id=g:1101175
Lago Sengani	id=g:1101176
Lago Mahacanani	id=g:1101177
Lago Maqueave	id=g:1101178
Chefe Maloca	id=g:1101179
Tenda	id=g:1101180
Filipe	id=g:1101181
Titosse	id=g:1101182
Famanda	id=g:1101183
Bernardino	id=g:1101184
Elias	id=g:1101185
Rafael	id=g:1101186
Betolane	id=g:1101187
J. Nascimento	id=g:1101188
Cabo Mabote	id=g:1101189
Venguele	id=g:1101190
Facela	id=g:1101191
Abobelane	id=g:1101192
Zacarias	id=g:1101193
Mabote	id=g:1101194
Sambula	id=g:1101195
Lago Chianga	id=g:1101196
Mabote	id=g:1101197
Lago Nhamacuti	id=g:1101198
Mabote	id=g:1101199
Lago Chidenga	id=g:1101200
Nachava	id=g:1101201
Filipe	id=g:1101202
Lago Mungungo	id=g:1101203
Pessa	id=g:1101204
Luis	id=g:1101205
Uanicelane	id=g:1101206
Naiete	id=g:1101207
Chibamo	id=g:1101208
Lago Nhamacoic	id=g:1101209
Lago Nhatimbuenhane	id=g:1101210
Lago Nhaunzobe	id=g:1101211
Lago Nhaviziva	id=g:1101212
Masseceleque	id=g:1101213
Macana	id=g:1101214
Alberto	id=g:1101215
Macachule	id=g:1101216
João	id=g:1101217
Finiche	id=g:1101218
Bese	id=g:1101219
Silva	id=g:1101220
Almeida	id=g:1101221
Jajane	id=g:1101222
Lago Nhazucucuche	id=g:1101223
Lago Nhangela	id=g:1101224
Lago Nhamacuche	id=g:1101225
Nheuane	id=g:1101226
Samuel	id=g:1101227
M. Macuácua	id=g:1101228
Panzabila	id=g:1101229
Chissurizane	id=g:1101230
Alexandre	id=g:1101231
Jossame	id=g:1101232
Simone	id=g:1101233
Samessone	id=g:1101234
Nhaussocote	id=g:1101235
Lago Nhatingulube	id=g:1101236
Lago Chetolele	id=g:1101237
V. Chavanguana	id=g:1101238
Lago Chitosso	id=g:1101239
Feijão	id=g:1101240
Lago Madadene	id=g:1101241
Massinguir	id=g:1101242
Saize	id=g:1101243
Utela	id=g:1101244
Chimotane	id=g:1101245
Lázaro	id=g:1101246
Massinquilane	id=g:1101247
Lago Inhafole	id=g:1101248
Sendela	id=g:1101249
Chizimane	id=g:1101250
Lago Nhatiome	id=g:1101251
Semende	id=g:1101252
Cabo Marrange	id=g:1101253
Naíte Maoíane	id=g:1101254
C. Muachiculo	id=g:1101255
Nova Milreu	id=g:1101256
Chefe Muachiculo	id=g:1101257
Alexandre	id=g:1101258
Chefe Mucupe	id=g:1101259
Eliasse	id=g:1101260
Uane	id=g:1101261
Alvaro Pene	id=g:1101262
Chefe Garramo	id=g:1101263
Linhane	id=g:1101264
Madangue	id=g:1101265
Gônguè	id=g:1101266
Santa Isabel	id=g:1101267
Met. Livre	id=g:1101268
Machatane	id=g:1101269
Eliasse	id=g:1101270
Cabo Guebele	id=g:1101271
Chefe Mexequene	id=g:1101272
Cabo Zilo	id=g:1101273
Nossa Senhora de Lurdes	id=g:1101274
São Francisco Nhaquarra	id=g:1101275
Tingane	id=g:1101276
Manuel	id=g:1101277
Cat. Anglicana	id=g:1101278
Chefe Chituane	id=g:1101279
Cabo Uputo	id=g:1101280
Lucas Macassa	id=g:1101281
Manhanhane	id=g:1101282
Joanisse	id=g:1101283
Paunda	id=g:1101284
Matchucane	id=g:1101285
Feijão	id=g:1101286
Paulo	id=g:1101287
Joane Levene	id=g:1101288
Inhatechambe	id=g:1101289
Z. Muchange	id=g:1101290
Nossa Senhora do Amparo	id=g:1101291
Nossa Senhora das Graças	id=g:1101292
Met. Livre	id=g:1101293
Chemanga	id=g:1101294
Benguene	id=g:1101295
Julião	id=g:1101296
Chefe Unguana	id=g:1101297
Cabo Muchirre	id=g:1101298
Ualece	id=g:1101299
Aldeia Naedane	id=g:1101300
Muambuine	id=g:1101301
R. Nhaguniga	id=g:1101302
Santíssima Trindade	id=g:1101303
Cabo Macarringa	id=g:1101304
Santa Clara de Muchirre	id=g:1101305
Met. Livre	id=g:1101306
Met. Livre	id=g:1101307
Met. Livre	id=g:1101308
J. Barbosa	id=g:1101309
Cabo Bambo-Cutchécua	id=g:1101310
Muhava	id=g:1101311
Chondzócue	id=g:1101312
Nhadoi	id=g:1101313
Chefe Massuca	id=g:1101314
Rungo Nhanala	id=g:1101315
Cuaba Alari	id=g:1101316
F. Sandique	id=g:1101317
Raimundo Madivala	id=g:1101318
Chefe Bongo	id=g:1101319
Ezequiel	id=g:1101320
Chuanzuane	id=g:1101321
Lago Mulalene	id=g:1101322
Cabo Cunane	id=g:1101323
Cristo Rei	id=g:1101324
Lago Chimungo	id=g:1101325
Nossa Senhora de Anunciação	id=g:1101326
Nossa Senhora de Fátima	id=g:1101327
Lago Nhamilango	id=g:1101328
Santos Mártires	id=g:1101329
Chefe Movinzula	id=g:1101330
Lago Nhamonzuani	id=g:1101331
Uacetela	id=g:1101332
Cabo Chifuio	id=g:1101333
Cabo Selença	id=g:1101334
Lago Maule	id=g:1101335
