Devils Flats	id=g:3573255
Delta Island	id=g:3573256
Deep Bay	id=g:3573257
Davis’ Hole	id=g:3573258
Darrell’s Island	id=g:3573259
Daniel’s Island	id=g:3573260
Daniel’s Head	id=g:3573261
Fort Cunningham	id=g:3573262
Cross Island	id=g:3573263
Cross Bay	id=g:3573264
Crawl Point	id=g:3573265
Crawl Hill	id=g:3573266
Crawl Flats	id=g:3573267
The Crawl	id=g:3573268
Cox’s Point	id=g:3573269
Cox’s Bay	id=g:3573270
Cow Ground Flat	id=g:3573271
Cove Point	id=g:3573272
Coot Pond	id=g:3573273
Cooper’s Island	id=g:3573274
Conyers’ Bay	id=g:3573275
Convict Bay	id=g:3573276
Coney Island	id=g:3573277
Commonland Point	id=g:3573278
Commissioner’s Point	id=g:3573279
Cock Rocks	id=g:3573280
Cockburn’s Cut	id=g:3573281
Cobbler’s Island	id=g:3573282
Clearwater Beach	id=g:3573283
Clarence Cove	id=g:3573284
Church Bay	id=g:3573285
Church Bay	id=g:3573286
Church Bay	id=g:3573287
Christian Bay	id=g:3573288
Chelston	id=g:3573289
Charles’ Fort	id=g:3573290
Chaplin Bay	id=g:3573291
The Camber	id=g:3573292
Chaddock Bar	id=g:3573293
Cedar Hill	id=g:3573294
Cavello Bay	id=g:3573295
Cave Island	id=g:3573296
The Causeway	id=g:3573297
Cathedral Rocks	id=g:3573298
Cataract Hill	id=g:3573299
Castle Roads	id=g:3573300
Castle Point	id=g:3573301
Castle Island	id=g:3573302
Castle Harbour	id=g:3573303
Cashew City	id=g:3573304
Canton Point	id=g:3573305
Canton Bay	id=g:3573306
Camden	id=g:3573307
Cambridge Beaches	id=g:3573308
Callaghan Bay	id=g:3573309
Cable Bay	id=g:3573310
Burt’s Island	id=g:3573311
Burton Bay	id=g:3573312
Burt’s Island	id=g:3573313
Burrows Hill	id=g:3573314
Burgess Point	id=g:3573315
Burgess Point	id=g:3573316
Burchall Cove	id=g:3573317
Buildings Bay	id=g:3573318
Buck Island	id=g:3573319
Brown’s Bay	id=g:3573320
Brooks Island	id=g:3573321
Bremen Cut	id=g:3573322
Brangman’s Fort	id=g:3573323
Brackish Pond Flats	id=g:3573324
Bowen’s Point	id=g:3573325
