Berlandsøyni	id=g:3241780
Berlandsholmane	id=g:3241781
Smalneset	id=g:3241782
Berlandssundet	id=g:3241783
Skarvskjeret	id=g:3241784
Storøyni	id=g:3241785
Synnøyni	id=g:3241786
Austre Storøygrunnen	id=g:3241787
Vestre Storøygrunnen	id=g:3241788
Skråmestøskallen	id=g:3241789
Guriholet	id=g:3241790
Langskjertaren	id=g:3241791
Nordre Arholmgrunnen	id=g:3241793
Klakkskjertaran	id=g:3241795
Store Klakkskjeret	id=g:3241797
Arholmgrunnen	id=g:3241798
Silskallen	id=g:3241799
Gåsbåen	id=g:3241801
Mefjordbåen	id=g:3241802
Nottaren	id=g:3241804
Steingrunnen	id=g:3241806
Leitbakken	id=g:3241808
Klubben	id=g:3241811
Fauskangerstraumen	id=g:3241813
Prestbergan	id=g:3241814
Sjurdviki	id=g:3241815
Bekkjeskjeret	id=g:3241817
Fiskeneset	id=g:3241818
Bekken	id=g:3241819
Molla	id=g:3241820
Langøyni	id=g:3241821
Langevågen	id=g:3241822
Vollen	id=g:3241824
Myrbærflui	id=g:3241825
Myrbærholmen	id=g:3241826
Myrbærskjeret	id=g:3241827
Storøyni	id=g:3241828
Kalven	id=g:3241829
Oksneset	id=g:3241830
Abbedisso	id=g:3241831
Låneværåsen	id=g:3241832
Tjuveberget	id=g:3241834
Randeskjeret	id=g:3241835
Dalen	id=g:3241837
Langøyni	id=g:3241838
Store Oksen	id=g:3241840
Litle Oksen	id=g:3241841
Okseflui	id=g:3241842
Gullbrandsosen	id=g:3241844
Gullbrandsøyni	id=g:3241846
Sætreviki	id=g:3241848
Sørespollen	id=g:3241849
Ytstøyni	id=g:3241851
Midtøyni	id=g:3241852
Hønsene	id=g:3241853
Lykleøyni	id=g:3241854
Håpoldo	id=g:3241856
Mjølkeviki	id=g:3241857
Herdleflui	id=g:3241858
Herdlesundet	id=g:3241859
Mariviki	id=g:3241861
Djupeskallen	id=g:3241863
Langeskallen	id=g:3241865
Gavlen	id=g:3241866
Gavleskallen	id=g:3241867
Prestviki	id=g:3241869
Urdneset	id=g:3241871
Lamøyni	id=g:3241872
Kallsøyni	id=g:3241874
Basholmen	id=g:3241876
Lamøysundet	id=g:3241877
Skarvøyni	id=g:3241878
Jakobsøyni	id=g:3241879
Ieskorpa	id=g:3241880
Kvitholmane	id=g:3241881
Sætreosen	id=g:3241882
Kvitholmflui	id=g:3241883
Strykjene	id=g:3241884
Herdleflaket	id=g:3241885
Videskallen	id=g:3241886
Søreflui	id=g:3241887
Nordreflui	id=g:3241888
Ringholmen	id=g:3241890
Litla Agnøyni	id=g:3241891
Stora Agnøyni	id=g:3241893
Prestholmen	id=g:3241896
Hundane	id=g:3241897
Søreskallen	id=g:3241899
Mefjordbåen	id=g:3241900
Kvernane	id=g:3241901
Kvalsosen	id=g:3241907
Søreskjeret	id=g:3241908
Illnovi	id=g:3241910
Tenen	id=g:3241912
Tenegrunnen	id=g:3241913
Storeodden	id=g:3241914
Litleodden	id=g:3241932
Terneskjeri	id=g:3241933
Langaskjeret	id=g:3241934
Vardholmen	id=g:3241935
Meksholmen	id=g:3241936
Hellesøyni	id=g:3241937
Flatøyni	id=g:3241938
Oddegrunnen	id=g:3241939
Skogsøytuva	id=g:3241940
Pollane	id=g:3241941
Flatholmen	id=g:3241942
Storeholmen	id=g:3241943
Njupsholmsundet	id=g:3241944
Njupen	id=g:3241945
Njupsviki	id=g:3241946
Laurdagsskallen	id=g:3241947
Grunneskallen	id=g:3241948
Storeskallen	id=g:3241949
Jonskallen	id=g:3241950
Jonskallegrunnen	id=g:3241951
Vardegrunnen	id=g:3241952
Søre Seiskallen	id=g:3241953
Kråka	id=g:3241955
Seiflui	id=g:3241957
Nordre Seiskallen	id=g:3241958
Eggjegrunnen	id=g:3241959
Børsklakken	id=g:3241960
Rossøyni	id=g:3241961
Einshamaren	id=g:3241962
Neset	id=g:3241963
Rossøybåane	id=g:3241964
Porsholmen	id=g:3241965
Langholmen	id=g:3241966
Knappeviki	id=g:3241967
Straumsneset	id=g:3241975
Rossnes	id=g:3241977
Kvernapollen	id=g:3241978
Nåli	id=g:3241979
Ovågen	id=g:3241980
Husneset	id=g:3241982
Sundet	id=g:3241983
Svanevågen	id=g:3241984
Ytre Båteviki	id=g:3241986
Indre Båteviki	id=g:3241988
Galten	id=g:3241990
Otuva	id=g:3241991
Geitneset	id=g:3241992
Krossneset	id=g:3241993
Krossnesflui	id=g:3241995
Søre Straumøysundet	id=g:3241996
Nordre Straumøysundet	id=g:3241997
Ringholmen	id=g:3241999
Krækjebærholmen	id=g:3242005
Sauøyni	id=g:3242006
Fureholmen	id=g:3242007
Tjeldstøsundet	id=g:3242008
Dåvøysundet	id=g:3242010
Eide	id=g:3242011
Husvatnet	id=g:3242013
Rotevatnet	id=g:3242014
Husvatnet	id=g:3242016
Rotevågsøyni	id=g:3242017
Dåvøyni	id=g:3242019
Heggøyni	id=g:3242020
Senholmen	id=g:3242021
Geitingen	id=g:3242022
Flatskjeret	id=g:3242023
Ingeborgskjeret	id=g:3242024
Joholmen	id=g:3242026
Hellesøyni	id=g:3242028
Vassgeitingen	id=g:3242029
Novi	id=g:3242030
Joflui	id=g:3242031
Brakeflui	id=g:3242032
Onglevadskjeret	id=g:3242033
Braken	id=g:3242034
Klakken	id=g:3242035
Torkjellen	id=g:3242036
Sømgrunnen	id=g:3242037
Rinden	id=g:3242038
Såto	id=g:3242039
Flesene	id=g:3242040
Såtefluene	id=g:3242042
Kvalen	id=g:3242044
Teistholmen	id=g:3242045
Selsøyni	id=g:3242046
Hjartøyni	id=g:3242047
Grisholmen	id=g:3242048
Heggøyvågen	id=g:3242049
Midtvågen	id=g:3242050
Dalsvatnet	id=g:3242051
Alveimssundet	id=g:3242052
Storevatnet	id=g:3242053
Rakevikskjeret	id=g:3242054
Lislegrøningen	id=g:3242055
Storegrøningen	id=g:3242056
Styremannsflui	id=g:3242057
Hallgjengskjeri	id=g:3242059
Tverflui	id=g:3242060
Stureholmen	id=g:3242061
Skarvholmen	id=g:3242062
Vessjoni	id=g:3242063
Nordre Kvalviki	id=g:3242064
Søre Kvalviki	id=g:3242065
Hattøyni	id=g:3242066
Nordre Sandvågen	id=g:3242067
Skjoldøyni	id=g:3242068
Måjøysteinen	id=g:3242069
Måjøyni	id=g:3242071
Vinstrestøi	id=g:3242073
Måjøyhamaren	id=g:3242079
Måjøyfluene	id=g:3242080
Sylvgrunnen	id=g:3242081
Olsgrunnen	id=g:3242082
Andersflui	id=g:3242083
Mikkelsbåskjeret	id=g:3242086
Sturebåen	id=g:3242093
Gulefluene	id=g:3242095
Langøyskjeret	id=g:3242097
Langøyni	id=g:3242100
Stabben	id=g:3242101
Katteskjeri	id=g:3242102
Langøysundet	id=g:3242103
Pennesøyni	id=g:3242104
Nordviki	id=g:3242105
Hovden	id=g:3242106
Skjoldspollen	id=g:3242107
Hatten	id=g:3242108
Vestre Sturevågen	id=g:3242110
Austre Sturevågen	id=g:3242111
Sjonarhaugen	id=g:3242141
Synneset	id=g:3242143
Hattesundet	id=g:3242151
Sturekylpa	id=g:3242152
Heimferdneset	id=g:3242157
Heimferdfluene	id=g:3242158
Sandvikflui	id=g:3242160
Søre Sandviki	id=g:3242161
Sandvikneset	id=g:3242162
Nordre Sandviki	id=g:3242163
Kvalflui	id=g:3242164
Stureskallen	id=g:3242165
Midtskallen	id=g:3242166
Søre Revet	id=g:3242167
Svenneskallen	id=g:3242168
Ådnesflui	id=g:3242173
Ådneset	id=g:3242174
Okseflui	id=g:3242176
Hopøyholmen	id=g:3242177
Kvernhusosen	id=g:3242180
Hjelmevatnet	id=g:3242182
Søre Selsvågen	id=g:3242185
Nordre Selsvågen	id=g:3242186
Skjåholmen	id=g:3242190
Grotholmen	id=g:3242191
Lamøyni	id=g:3242224
Vardneset	id=g:3242229
Svintræbukta	id=g:3242230
