Fateh Kohon Kaur	id=g:7103182
Khabrai Kaur	id=g:7103183
Machhi Kaur	id=g:7103184
Karūchak Kaur	id=g:7103185
Sapūra Kaur	id=g:7103186
Bibi Tanki Kaur	id=g:7103187
Saljāi Pat	id=g:7103188
Safed Sāri Kaur	id=g:7103189
Huki Kaur	id=g:7103190
Gazjīkūl Kaur	id=g:7103191
Hur Kaur	id=g:7103192
Shārepek Kaur	id=g:7103193
Palangi Kaur	id=g:7103194
Māzāgar Kaur	id=g:7103195
Toh Kaur	id=g:7103196
Lundo Shor Koh	id=g:7103197
Daūda Tāp Kaur	id=g:7103198
Tokar Kaur	id=g:7103199
Reki	id=g:7103200
Safed Galāchi Kaur	id=g:7103201
Lundi Shor Koh	id=g:7103202
Bibi Kaur	id=g:7103203
Sham Kaur	id=g:7103204
Daz Koh	id=g:7103205
Zarīni Tālāb	id=g:7103206
Tablīghi Chāh	id=g:7103207
Daze Kaur	id=g:7103208
Wade Kaur	id=g:7103209
Gari Kaur	id=g:7103210
Khān-i-Kaur	id=g:7103211
Khān-i-Kaur	id=g:7103212
Gazze Kaur	id=g:7103213
Gazīn Kaur	id=g:7103214
Khair Mīlak Kaur	id=g:7103215
Muhammad Nūr Chāh	id=g:7103216
Muhammad Nūr Digar	id=g:7103217
Dombāni Kaur	id=g:7103218
Kumbak Kaur	id=g:7103219
Anām Kaur	id=g:7103220
Makkad	id=g:7103221
Kumbak Gat	id=g:7103222
Gishtri Kad Kaur	id=g:7103223
Gird Koh	id=g:7103224
Sorain Chāh	id=g:7103225
Sorain Chāh	id=g:7103226
Gore Kaur	id=g:7103227
Diz Kaur	id=g:7103228
Diz Kaur	id=g:7103229
Kalag Redag	id=g:7103230
Radage Kaur	id=g:7103231
Pargosh Kaur	id=g:7103232
Shambdi Kaur	id=g:7103233
Sorain Kaur	id=g:7103234
Sorain	id=g:7103235
Sorain Kaur	id=g:7103236
Shambdi	id=g:7103237
Būlindān Kaur	id=g:7103238
Jore Kaur	id=g:7103239
Kalag Gor	id=g:7103240
Zāhre Koh	id=g:7103241
Patan Pesh Kaur	id=g:7103242
Hasni Koh	id=g:7103243
Muskāf Koh	id=g:7103244
Pādgaz Koh	id=g:7103245
Gore Kalag	id=g:7103246
Kumbāri Kaur	id=g:7103247
Sarnāg Kaur	id=g:7103248
Junizhe Koh	id=g:7103249
Dok Dān Koh	id=g:7103250
Pādgaze Kaur	id=g:7103251
Miān Shape Kaur	id=g:7103252
Anāri Kaur	id=g:7103253
Miān Kaur	id=g:7103254
Kalat Kaur	id=g:7103255
Māh Dine Koh	id=g:7103256
Siāh Dhati Koh	id=g:7103257
Lāgāl Koh	id=g:7103258
Nāli Kaur	id=g:7103259
Mitha Sing Kaur	id=g:7103260
Jūnizhe Kaur	id=g:7103261
Masilde Kaur	id=g:7103262
Kalag Lāg	id=g:7103263
Lāge Kaur	id=g:7103264
Kalag Hud Malik Koh	id=g:7103265
Haq Dād	id=g:7103266
Donki	id=g:7103267
Siāh Koh	id=g:7103268
Pab	id=g:7103269
Notizai	id=g:7103270
Baqāl Koh	id=g:7103271
Nausherwāni	id=g:7103272
Kurrak Koh	id=g:7103273
Molido Kaur	id=g:7103274
Not Band	id=g:7103275
Machhi Dik	id=g:7103276
Nīl Koh	id=g:7103277
Lar Band	id=g:7103278
Dotik	id=g:7103279
Kakhor	id=g:7103280
Akro Makān	id=g:7103326
Gurnawāro	id=g:7103327
Goth Hukamdād	id=g:7103328
Goth Sufan Jākhro	id=g:7103329
Goth Ajigar	id=g:7103330
Phang	id=g:7103331
Kūni Jabal	id=g:7103332
Kāthwāri	id=g:7103333
Kāpat	id=g:7103334
Bābarwāri Nāla	id=g:7103335
Gidargār Nāla	id=g:7103336
Khumanwāri	id=g:7103337
Metān	id=g:7103338
Kinānewāri	id=g:7103339
Sarīyānwāri	id=g:7103340
Surjan Jabal	id=g:7103341
Desoi	id=g:7103342
Hur Kaur	id=g:7103343
Kuk Kaur	id=g:7103344
Sheikh Hussainr Kili	id=g:7103345
Muhammed Hussaini Kili	id=g:7103346
Jamãl Zãi Kili	id=g:7103347
Lotmān Nāla	id=g:7103348
Matiāro	id=g:7103349
Merāpul	id=g:7103350
Karriri Nāla	id=g:7103351
Goth Faqīr Muhammad	id=g:7103352
Mūsa	id=g:7103353
Ānjri Makān	id=g:7103354
Bobar Makān	id=g:7103355
Gathān	id=g:7103356
Chhor Makān	id=g:7103357
Goth Chong	id=g:7103358
Goth Rahīm Dād	id=g:7103359
Bobar Nāla	id=g:7103360
Goth Sobho Chāng	id=g:7103361
Khākhar	id=g:7103362
Wāridāno	id=g:7103363
Bobar	id=g:7103364
Fattuji	id=g:7103365
Margho Kili	id=g:7103399
Loheranwāri	id=g:7103406
Tāngo	id=g:7103407
Mucha	id=g:7103408
Chhoriko	id=g:7103409
Sorhi	id=g:7103410
Bharwāro	id=g:7103411
Shūrwāri	id=g:7103412
Khāntro	id=g:7103413
Matiāro	id=g:7103414
Goth Hāji Shaikl	id=g:7103415
Aknāwāro	id=g:7103416
Aknāwāro	id=g:7103417
Patwāro	id=g:7103418
Kharyūn Nāla	id=g:7103419
Thorīko	id=g:7103420
Pongai	id=g:7103438
Ghulām Rasūl	id=g:7103439
Kili	id=g:7103440
Dhoki	id=g:7103441
Īssa Hotel	id=g:7103442
Dadde	id=g:7103443
Chhib Wari	id=g:7103444
Hāji Amir Khān	id=g:7103445
Kili Mir Hasan	id=g:7103446
Gurmai	id=g:7103447
Nāsrat	id=g:7103448
Ankāro Kaur	id=g:7103691
Sāiji Kaur	id=g:7103692
Kān	id=g:7104397
Saleh Muhammad Kili	id=g:7104897
Targai	id=g:7105249
Takiawāl	id=g:7105718
Muhammad Wāl	id=g:7105719
Khatūkarf	id=g:7105720
Jamot	id=g:7106226
Burra	id=g:7106227
Kutto	id=g:7106228
Khwāra	id=g:7106229
Pīr Sawāi	id=g:7106230
Angāria	id=g:7106231
Minjiāri Poh	id=g:7106486
Seri	id=g:7106487
Manur	id=g:7106488
Mahāndri Takla	id=g:7106489
Sangjāt	id=g:7106490
Bhūnja Katha	id=g:7106491
Rawariān	id=g:7106492
Chathe	id=g:7106493
Bachhimar	id=g:7106494
Bhuria Mohri	id=g:7106495
Mengal	id=g:7106496
Gajrowāro Pat	id=g:7106497
Jamot	id=g:7106498
Doki	id=g:7106521
Lāni	id=g:7106522
Ban Forest	id=g:7106523
Jhugiān Forest	id=g:7106524
Chir Ban	id=g:7106525
Sarān Forest	id=g:7106526
Bani Forest	id=g:7106527
Chak Namb	id=g:7106528
Pab	id=g:7106529
Mengal	id=g:7106530
Goth Pālāri	id=g:7107031
Goth Hāji Jāfar Kamān	id=g:7107209
Rai	id=g:7107210
Muhammad Sumār Khāskheli	id=g:7107211
Goth Hāji Jamāl Shāh Pathan	id=g:7107212
Ehsānullāh Jākhro	id=g:7107213
Khitto	id=g:7107214
Utrām Railway Station	id=g:7107215
Goth Pālāri	id=g:7107216
Goth Umar Jākhro	id=g:7107217
Goth Janābad	id=g:7107218
Goth Dilāwar Brāhui	id=g:7107219
Goth Nāhi	id=g:7107220
Goth Ali Jākhro	id=g:7107221
Pīr Bakhsh Mancho	id=g:7107222
Goth Ali Manchar	id=g:7107223
Hāshim Jākhro	id=g:7107224
Goth Kallu Brahui	id=g:7107225
Sindhar	id=g:7107226
Goth Shikhrān	id=g:7107227
Kohistān Number Three	id=g:7107228
New Chilia	id=g:7107229
Goth Ali Jākhro	id=g:7107230
Goth Hāji Faqīr	id=g:7107231
Jhol Māri	id=g:7107232
Goth Usmān Jākhro	id=g:7107233
Mindāna	id=g:7107234
Hāji Harūn Khāskheli	id=g:7107235
Sājan Jokhio	id=g:7107236
Ārab	id=g:7107237
Goth Hamza Khān	id=g:7107238
Hālat	id=g:7107239
Goth Dost Muhammad	id=g:7107240
Goth Ali Asghar	id=g:7107241
Goth Abdullāh	id=g:7107242
KDA Wāh	id=g:7107243
Goth Hāji Sūmar	id=g:7107244
Goth Ali Muhammad Dars	id=g:7107245
Goth Muhammad Hālo	id=g:7107246
Taiyab Sarki	id=g:7107247
Goth Hāji Malūk Palījo	id=g:7107248
Goth Nūr Muhammad Jākhro	id=g:7107249
Ramu Mallāh	id=g:7107250
Goth Usmān Lākho	id=g:7107251
Nāri Chhach Lower Minor	id=g:7107252
Nāri Chhach Minor	id=g:7107253
Sem Drain Number Two	id=g:7107254
Goth Pālāri	id=g:7107255
Sem Drain Number Three	id=g:7107256
Goth Māmu Samu	id=g:7107257
Goth Hasan Dafrāni	id=g:7107258
Rice Godown	id=g:7107259
Goth Alidād Brahūi	id=g:7107260
Maulvi Allāh Warāyo	id=g:7107261
Muhammad Hāshim Shaikh	id=g:7107262
Muhammad Hāshim Khaskheli	id=g:7107263
