Oknoname 015012 Reservoir	id=g:4544470
Oknoname 015013 Reservoir	id=g:4544471
Oknoname 015015 Dam	id=g:4544472
Oknoname 015015 Reservoir	id=g:4544473
Oknoname 015016 Dam	id=g:4544474
Oknoname 015016 Reservoir	id=g:4544475
Oknoname 015017 Dam	id=g:4544476
Oknoname 015017 Reservoir	id=g:4544477
Oknoname 015018 Dam	id=g:4544478
Oknoname 015019 Dam	id=g:4544479
Oknoname 015019 Reservoir	id=g:4544480
Oknoname 015020 Dam	id=g:4544481
Oknoname 015020 Reservoir	id=g:4544482
Oknoname 015021 Dam	id=g:4544483
Oknoname 015021 Reservoir	id=g:4544484
Oknoname 015022 Dam	id=g:4544485
Oknoname 015022 Reservoir	id=g:4544486
Oknoname 015023 Dam	id=g:4544487
Oknoname 015023 Reservoir	id=g:4544488
Oknoname 015024 Dam	id=g:4544489
Oknoname 015024 Reservoir	id=g:4544490
Oknoname 015025 Dam	id=g:4544491
Oknoname 015025 Reservoir	id=g:4544492
Oknoname 015026 Dam	id=g:4544493
Oknoname 015026 Reservoir	id=g:4544494
Oknoname 017001 Dam	id=g:4544495
Oknoname 017001 Reservoir	id=g:4544496
Oknoname 017002 Dam	id=g:4544497
Oknoname 017002 Reservoir	id=g:4544498
Oknoname 017003 Dam	id=g:4544499
Oknoname 017003 Reservoir	id=g:4544500
Oknoname 017004 Dam	id=g:4544501
Oknoname 017005 Dam	id=g:4544502
Oknoname 017006 Dam	id=g:4544503
Oknoname 017007 Dam	id=g:4544504
Oknoname 017008 Dam	id=g:4544505
Oknoname 017009 Dam	id=g:4544506
Oknoname 017200 Dam	id=g:4544507
Oknoname 017200 Reservoir	id=g:4544508
Oknoname 01901 Dam	id=g:4544509
Oknoname 01901 Reservoir	id=g:4544510
Oknoname 01902 Dam	id=g:4544511
Oknoname 01902 Reservoir	id=g:4544512
Oknoname 01903 Dam	id=g:4544513
Oknoname 01903 Reservoir	id=g:4544514
Oknoname 021001 Dam	id=g:4544515
Oknoname 021001 Reservoir	id=g:4544516
Oknoname 023001 Dam	id=g:4544517
Oknoname 023001 Reservoir	id=g:4544518
Oknoname 023002 Dam	id=g:4544519
Oknoname 023002 Reservoir	id=g:4544520
Oknoname 023003 Dam	id=g:4544521
Oknoname 023003 Reservoir	id=g:4544522
Oknoname 023004 Dam	id=g:4544523
Oknoname 023004 Reservoir	id=g:4544524
Oknoname 023005 Dam	id=g:4544525
Oknoname 023005 Reservoir	id=g:4544526
Oknoname 023006 Dam	id=g:4544527
Oknoname 023006 Reservoir	id=g:4544528
Oknoname 023007 Reservoir	id=g:4544529
Oknoname 023008 Dam	id=g:4544530
Oknoname 023008 Reservoir	id=g:4544531
Oknoname 02701 Dam	id=g:4544532
Oknoname 02701 Reservoir	id=g:4544533
Oknoname 02702 Dam	id=g:4544534
Oknoname 02702 Reservoir	id=g:4544535
Oknoname 02703 Dam	id=g:4544536
Oknoname 02703 Reservoir	id=g:4544537
Oknoname 02704 Dam	id=g:4544538
Oknoname 02704 Reservoir	id=g:4544539
Oknoname 02705 Dam	id=g:4544540
Oknoname 02705 Reservoir	id=g:4544541
Oknoname 02706 Dam	id=g:4544542
Oknoname 02706 Reservoir	id=g:4544543
Oknoname 02707 Dam	id=g:4544544
Oknoname 02707 Reservoir	id=g:4544545
Oknoname 027070 Dam	id=g:4544546
Oknoname 027070 Reservoir	id=g:4544547
Oknoname 027071 Dam	id=g:4544548
Oknoname 027071 Reservoir	id=g:4544549
Oknoname 02708 Dam	id=g:4544550
Oknoname 02708 Reservoir	id=g:4544551
Oknoname 02709 Dam	id=g:4544552
Oknoname 02709 Reservoir	id=g:4544553
Oknoname 02710 Dam	id=g:4544554
Oknoname 02710 Reservoir	id=g:4544555
Oknoname 02711 Dam	id=g:4544556
Oknoname 02711 Reservoir	id=g:4544557
Oknoname 02712 Dam	id=g:4544558
Oknoname 02712 Reservoir	id=g:4544559
Oknoname 02713 Dam	id=g:4544560
Oknoname 02713 Reservoir	id=g:4544561
Oknoname 02714 Reservoir	id=g:4544562
Oknoname 02715 Dam	id=g:4544563
Oknoname 02715 Reservoir	id=g:4544564
Oknoname 02716 Dam	id=g:4544565
Oknoname 02716 Reservoir	id=g:4544566
Oknoname 02717 Dam	id=g:4544567
Oknoname 02717 Reservoir	id=g:4544568
Oknoname 02718 Dam	id=g:4544569
Oknoname 02718 Reservoir	id=g:4544570
Oknoname 02719 Dam	id=g:4544571
Oknoname 02719 Reservoir	id=g:4544572
Oknoname 02720 Dam	id=g:4544573
Oknoname 02720 Reservoir	id=g:4544574
Oknoname 02721 Dam	id=g:4544575
Oknoname 02721 Reservoir	id=g:4544576
Oknoname 02722 Dam	id=g:4544577
Oknoname 02722 Reservoir	id=g:4544578
Oknoname 02723 Dam	id=g:4544579
Oknoname 02723 Reservoir	id=g:4544580
Oknoname 02724 Dam	id=g:4544581
Oknoname 02724 Reservoir	id=g:4544582
Oknoname 02725 Dam	id=g:4544583
Oknoname 02725 Reservoir	id=g:4544584
Oknoname 02726 Dam	id=g:4544585
Oknoname 02726 Reservoir	id=g:4544586
Oknoname 02727 Dam	id=g:4544587
Oknoname 02727 Reservoir	id=g:4544588
Oknoname 02728 Dam	id=g:4544589
Oknoname 02728 Reservoir	id=g:4544590
Oknoname 02729 Dam	id=g:4544591
Oknoname 02729 Reservoir	id=g:4544592
Oknoname 02730 Dam	id=g:4544593
Oknoname 02730 Reservoir	id=g:4544594
Oknoname 02731 Dam	id=g:4544595
Oknoname 02731 Reservoir	id=g:4544596
Oknoname 02732 Dam	id=g:4544597
Oknoname 02732 Reservoir	id=g:4544598
Oknoname 02733 Dam	id=g:4544599
Oknoname 02733 Reservoir	id=g:4544600
Oknoname 031001 Dam	id=g:4544601
Oknoname 031001 Reservoir	id=g:4544602
Oknoname 031002 Dam	id=g:4544603
Oknoname 031002 Reservoir	id=g:4544604
Oknoname 031003 Dam	id=g:4544605
Oknoname 031003 Reservoir	id=g:4544606
Oknoname 031004 Dam	id=g:4544607
Oknoname 031004 Reservoir	id=g:4544608
Oknoname 031004 Reservoir	id=g:4544609
Oknoname 031005 Dam	id=g:4544610
Oknoname 031005 Reservoir	id=g:4544611
Oknoname 031006 Dam	id=g:4544612
Oknoname 031006 Reservoir	id=g:4544613
Oknoname 031007 Dam	id=g:4544614
Oknoname 031007 Reservoir	id=g:4544615
Oknoname 031008 Dam	id=g:4544616
Oknoname 031008 Reservoir	id=g:4544617
Oknoname 031009 Dam	id=g:4544618
Oknoname 031009 Reservoir	id=g:4544619
