Fraction Mine	id=g:5653157
Frady Number 1 Dam	id=g:5653158
Frady Number 1 Dam	id=g:5653159
Frady Number 3 Dam	id=g:5653160
Fradys Reservoir Dam	id=g:5653161
Frame Mine	id=g:5653162
Frame Ranch	id=g:5653163
Frances Copper Mine	id=g:5653164
Frances Heights	id=g:5653165
Frances Heights School (historical)	id=g:5653166
Frances Mahon Deaconess Nursing Home	id=g:5653167
Lake Frances	id=g:5653168
Lake Frances	id=g:5653169
Francham Mountain	id=g:5653170
Francis	id=g:5653171
Francis (historical)	id=g:5653172
Francis Brothers Ranch	id=g:5653173
Francis Creek	id=g:5653174
Foxtail Lakes	id=g:5653175
Francis Creek	id=g:5653176
Francis H Mine	id=g:5653177
Francis Ranch	id=g:5653178
Francis Ranch	id=g:5653179
Francis Ranch	id=g:5653180
Francis School (historical)	id=g:5653181
Francis Walbert Ditch	id=g:5653182
Francois Creek	id=g:5653183
Francis Post Office (historical)	id=g:5653184
Frank Brattin Middle School	id=g:5653185
Frank Coulee	id=g:5653186
Frandsen Ranch	id=g:5653187
Frank Creek	id=g:5653188
Frank Creek	id=g:5653189
Frank Day Park	id=g:5653190
Frank Gilbert Coulee	id=g:5653191
Frank James Park	id=g:5653192
Frank Lake	id=g:5653193
Frank Lake Fishing Access Site	id=g:5653194
Frank McKeever Number 1 Dam	id=g:5653195
Frank McKeever Number 2 Dam	id=g:5653196
Frank Stuber Number 1 Dam	id=g:5653197
Frank Thompson Dam	id=g:5653198
Frank Wiley Field	id=g:5653199
Franklin	id=g:5653200
Franklin	id=g:5653201
Franklin Gulch	id=g:5653202
Frank Jenson Number 1 Dam	id=g:5653203
Franklin Hills	id=g:5653204
Franklin Mine	id=g:5653205
Franklin Mine	id=g:5653206
Franklin Number 1 Mine	id=g:5653207
Franklin Park	id=g:5653208
Franklin Post Office (historical)	id=g:5653209
Franklin School	id=g:5653210
Franklin School	id=g:5653211
Franklin School (historical)	id=g:5653212
Franklin School (historical)	id=g:5653213
Franklin School (historical)	id=g:5653214
Franklin Spring	id=g:5653215
Franks Creek	id=g:5653216
Franklin Hill	id=g:5653217
Franks Spring	id=g:5653218
Frannie Canal	id=g:5653219
Fransen Dam	id=g:5653220
Frary Spring	id=g:5653221
Fraser Creek	id=g:5653222
Franks Spring	id=g:5653223
Fraternal Cemetery	id=g:5653224
Fratt (historical)	id=g:5653225
La Fray Creek	id=g:5653226
Fraser School (historical)	id=g:5653227
Frazer Lake	id=g:5653228
Frazer Lake Dam East	id=g:5653229
Frazer Number 1 Dam	id=g:5653230
Frazer Post Office	id=g:5653231
Frazer Pumping Station	id=g:5653232
Frazer School	id=g:5653233
Frazier Creek	id=g:5653234
Frazer	id=g:5653235
Frazier Creek	id=g:5653236
Frazier Creek	id=g:5653237
Frazier Creek	id=g:5653238
Frazier Creek	id=g:5653239
Frazier Draw	id=g:5653240
Frazier Ranch	id=g:5653241
Mount Frazier	id=g:5653242
Freak Out Dam	id=g:5653243
Fred B Utter Ranch	id=g:5653244
Fred Bryant Ditch	id=g:5653245
Fred Burr Creek	id=g:5653246
Frazier Lake	id=g:5653247
Fred Burr Creek	id=g:5653248
Fred Burr Creek	id=g:5653249
Fred Burr Lake	id=g:5653250
Fred Burr Lake Dam	id=g:5653251
Fred Burr Lake Dam	id=g:5653252
Fred Burr Pass	id=g:5653253
Fred Burr Reservoir	id=g:5653254
Fred Burr Reservoir Dam	id=g:5653255
Fred Else	id=g:5653256
Fred M Ellis Memorial Campground	id=g:5653257
Fred Moodry Middle School	id=g:5653258
Fred Robinson Park	id=g:5653259
Fred Smith Dam	id=g:5653260
Fred W Graff Elementary School	id=g:5653261
Fred and George Creek	id=g:5653262
Fred Burr Lake	id=g:5653263
Freda Creek	id=g:5653264
Fred and George Creek Oil and Gas Field	id=g:5653265
Freddie Creek	id=g:5653266
Fredrick and Wind Mine	id=g:5653267
Fredrickson Coulee	id=g:5653268
Fredrickson (historical)	id=g:5653269
Free Christian Church	id=g:5653270
Free Coin - Redcloud Mill Mine	id=g:5653271
Free Coinage Mine	id=g:5653272
Free Creek	id=g:5653273
Freds Trailer Court	id=g:5653274
Free Enterprise Health Mine and Campground	id=g:5653275
Free Enterprise Mine	id=g:5653276
Free River Fishing Access Site	id=g:5653277
Free Silver Ditch	id=g:5653278
Freebury Coulee	id=g:5653279
Free Deal (historical)	id=g:5653280
Freedom Church Spiritual Community	id=g:5653281
Freedom Point Campground	id=g:5653282
Freedom School (historical)	id=g:5653283
Freedom Ski Trail	id=g:5653284
Freeland Creek	id=g:5653285
Freedom (historical)	id=g:5653286
Freeman Creek	id=g:5653287
Freeman Brothers Elevator (historical)	id=g:5653288
Freeman Creek	id=g:5653289
Freeman Pass	id=g:5653290
Freemans (historical)	id=g:5653291
Freemen Ranch	id=g:5653292
Frees Creek	id=g:5653293
Freeman Ridge	id=g:5653294
Freewater School (historical)	id=g:5653295
Freeze Out Coulee	id=g:5653296
