Pokaka Stream	id=g:6234196
Waimahora Stream	id=g:6234197
Rakauwhakahue Stream	id=g:6234198
Owawenga Stream	id=g:6234199
Paraheka Stream	id=g:6234200
Honikiwi	id=g:6234201
Orongo	id=g:6234202
Te Raumauku	id=g:6234203
Te Raumauku Caves	id=g:6234204
Waitomo Valley	id=g:6234205
Matakana	id=g:6234206
Kahotea	id=g:6234207
Te Keeti Pa	id=g:6234208
Ongarahu Pa	id=g:6234209
Otewa	id=g:6234210
Rangiatea	id=g:6234211
Mangaorongo	id=g:6234212
Awatane	id=g:6234213
Kiokio	id=g:6234214
Puketarata	id=g:6234215
Ruahine	id=g:6234216
Waikeria	id=g:6234217
Pukerimu	id=g:6234218
Puketoki	id=g:6234219
Korakonui	id=g:6234220
Manukarere Flat	id=g:6234221
Taurangakohu	id=g:6234222
Panetapu	id=g:6234223
Wharepuhunga	id=g:6234224
Mangatutu	id=g:6234225
Pamotumoto	id=g:6234226
Paewhenua	id=g:6234227
Waimahora	id=g:6234228
Toa Bridge	id=g:6234229
Rewarewa	id=g:6234230
Mangawhero	id=g:6234231
Tahaia	id=g:6234232
Whawharua	id=g:6234233
Hangatiki	id=g:6234234
Maniapoto Cave	id=g:6234235
Waitomo Caves	id=g:6234236
Kapongaru	id=g:6234237
Horotea Cliffs	id=g:6234238
Pohatuiri Pa	id=g:6234239
Oparure	id=g:6234240
Motiti Marae	id=g:6234241
Pukekerumiko	id=g:6234242
Te Whaukotuku	id=g:6234243
Te Kuiti	id=g:6234244
Mangatea	id=g:6234245
Pateoneone	id=g:6234246
Pukehokio	id=g:6234247
Tihimanuka	id=g:6234248
Tanehopuwai	id=g:6234249
Rangitoto	id=g:6234250
Kapuhipuhi	id=g:6234251
Pururu	id=g:6234252
Rangitoto	id=g:6234253
Te Kumi	id=g:6234254
Matahuki Stream	id=g:6234255
Ngahape	id=g:6234256
Hurimoana Pa	id=g:6234257
Patokatoka Pa	id=g:6234258
Piriaka Pa	id=g:6234259
Paitahi Pa	id=g:6234260
Aranui Cave	id=g:6234261
Ruakuri Cave	id=g:6234262
Waitomo Cave	id=g:6234263
Waitomo Stream	id=g:6234264
RANGITOTO RANGE	id=g:6234265
Tanehopuwai Stream	id=g:6234266
Puniu River	id=g:6234267
Ruataikawa Pa	id=g:6234268
Waipa River	id=g:6234269
Gibraltar Rock	id=g:6234270
Wahawerawera Stream	id=g:6234271
Waitangi Stream	id=g:6234272
Ngakokuku Stream	id=g:6234273
Mangaparo Stream	id=g:6234274
Tauanui Rapids	id=g:6234275
Mokau River	id=g:6234276
Mokau River	id=g:6234277
Mangapehi River	id=g:6234278
Mangaokewa Stream	id=g:6234279
Tunariki Stream	id=g:6234280
Ruakinui Stream	id=g:6234281
Kapaenui Stream	id=g:6234282
Umukawa Stream	id=g:6234283
Ongatiti Stream	id=g:6234284
Waipa River	id=g:6234285
Tunawaea Stream	id=g:6234286
Mata Stream	id=g:6234287
Owen Falls	id=g:6234288
Waiharakia Stream	id=g:6234289
Kaama Stream	id=g:6234290
Whenuatere Stream	id=g:6234291
Okahukura Stream	id=g:6234292
Okurawhanga Stream	id=g:6234293
Otamaroa Stream	id=g:6234294
Waipa River	id=g:6234295
Wharekiri Stream	id=g:6234296
Mapara Stream	id=g:6234297
Kaitaringa Stream	id=g:6234298
Rangikohua Stream	id=g:6234299
Mangapohutu Stream	id=g:6234300
Mangaakaaka Stream	id=g:6234301
Mokauiti Stream	id=g:6234302
Whareroa Stream	id=g:6234303
Mangawhata Stream	id=g:6234304
Mangaongaonga Stream	id=g:6234305
Mapiu Stream	id=g:6234306
Omaru Falls	id=g:6234307
Mapara Stream	id=g:6234308
Madonna Falls	id=g:6234309
Mangaiti Stream	id=g:6234310
Paritikona Stream	id=g:6234311
Hikurangi Falls	id=g:6234312
Mokau River	id=g:6234313
Kopuauriuri Stream	id=g:6234314
Paritikona Stream	id=g:6234315
Mangapehi Stream	id=g:6234316
Puputaha Stream	id=g:6234317
Waewaepitau Stream	id=g:6234318
Mangahoanga Stream	id=g:6234319
Mapara Stream	id=g:6234320
Herekawe Stream	id=g:6234321
Mangaaruhe Stream	id=g:6234322
Orongomapoho Stream	id=g:6234323
Orauhora Stream	id=g:6234324
Waimiha Stream	id=g:6234325
Waiatara Stream	id=g:6234326
Oruangungu Stream	id=g:6234327
Pokaikai Stream	id=g:6234328
Koromiko Stream	id=g:6234329
Waikoromiko Stream	id=g:6234330
Waipari Stream	id=g:6234331
Pikiatua Stream	id=g:6234332
Huioteko Stream	id=g:6234333
Pirere Stream	id=g:6234334
Waikaka Stream	id=g:6234335
Opokonui Stream	id=g:6234336
Mangataua Stream	id=g:6234337
Mangateka Stream	id=g:6234338
Mokauiti Stream	id=g:6234339
Otamati Stream	id=g:6234340
Paraketu Stream	id=g:6234341
Mapara Stream	id=g:6234342
Waihuka Stream	id=g:6234343
Takiri Stream	id=g:6234344
Kohuna Stream	id=g:6234345
Ohinemoa Stream	id=g:6234346
Mangataringa Stream	id=g:6234347
Ongarue River	id=g:6234348
Maramataha River	id=g:6234349
Waiongaonga Stream	id=g:6234350
Waimiha Stream	id=g:6234351
Pourunui Stream	id=g:6234352
Kahupo Stream	id=g:6234353
