Bonsaï Hotel Avignon	id=g:6495771
Hotel Riviera	id=g:6495774
La Villa	id=g:6495777
Hotel Balladins Confort Pouilly En Auxois	id=g:6495804
Bonsaï Hotel Nancy	id=g:6495808
Hotel Kandahar	id=g:6495812
Bonsaï Hôtel Caen	id=g:6495817
Citea Divonne les Bains	id=g:6495843
Terminus du Forez	id=g:6495857
Residence Val Dancelle	id=g:6495865
Citea Nice Acropolis	id=g:6495868
Residence Maeva Les Rives de Jonzac	id=g:6495896
Hotel De l'Ocean	id=g:6495914
Hotel Alcyon	id=g:6495917
Campanile Chambery	id=g:6495943
Palmyra Golf Hotel	id=g:6495946
Kyriad Avignon Sud La Cristole	id=g:6495950
L'agapa	id=g:6495954
Village Pierre et Vacances Cap Morgat	id=g:6495971
Hôtel Bosquet	id=g:6496026
Premiere Classe Henin Beaumont - Noyelles Godault	id=g:6496030
Hotel De La Paix	id=g:6496063
Appart'city Toulouse Hippodrome	id=g:6496068
Le Domaine d'Ar Peoch	id=g:6496084
L'Imperial Palace	id=g:6496100
Cavaliere Sur Plage	id=g:6496102
Les Collines Iduki	id=g:6496134
Hotel Alcyon	id=g:6496148
Meteor saint Goustan	id=g:6496162
Hotel de Londres	id=g:6496170
Le Saint Aubert	id=g:6496173
Hotel Aux Trois Portes	id=g:6496212
Hotel Alizés	id=g:6496218
Appart'city Bordeaux Merignac	id=g:6496232
Hôtel Le Pré Galoffre	id=g:6496271
Hotel Gradlon	id=g:6496308
Campanile le Blanc Mesnil	id=g:6496309
Hotel de la Mer	id=g:6496323
Citea Vanves Gare	id=g:6496326
Le Grand Hotel	id=g:6496329
Hôtel Tenor	id=g:6496352
Village Pierre et Vacances Cap Azur	id=g:6496365
Alba	id=g:6496384
Golf Hotel de Valescure	id=g:6496430
Brit'Hotel Bosquet	id=g:6496435
Park Hotel Bellevue	id=g:6496459
Ac Gijon	id=g:6496471
Citea Lyon	id=g:6496603
Hotel Marial	id=g:6496605
Citea Les Lilas d'Espagne	id=g:6496645
Brit Hotel Tours Sud	id=g:6496646
Hotel La Citadelle	id=g:6496657
Citea Tour Eiffel	id=g:6496677
PV City Residence Bercy	id=g:6496692
Grand Hotel du Nord	id=g:6496694
Résidence LVR Les Balcons du Soleil	id=g:6496728
Apartments LVR Neige et Loisirs	id=g:6496732
Hotel Jehan de Beauce	id=g:6496743
Brit'Hotel Le Transat	id=g:6496749
Le Grand Hotel Abbatiale	id=g:6496773
Hotel Astrid	id=g:6496848
Radisson SAS Resort, Arc 1950	id=g:6496872
Résidence LVR La Grande Cordée	id=g:6496889
Le Parc Hôtel	id=g:6496913
Brit'Hotel Le Kerann	id=g:6496933
