Kaehŭng	id=g:6880067
Taraei-gol	id=g:6880068
Sanp’o	id=g:6880069
Sanggaemyŏng	id=g:6880070
Okchŏn	id=g:6880071
Kunghang-ni	id=g:6880072
Soji-jae	id=g:6880073
Tun’gi-dong	id=g:6880074
Maehak-tong	id=g:6880075
Pong-san	id=g:6880076
Songsansaettam	id=g:6880077
Kusu	id=g:6880078
Kŭmgwang	id=g:6880079
Ŏin-dong	id=g:6880080
Kugong-nyŏng	id=g:6880081
Ch’ŏngae-jae	id=g:6880082
Tangsan-mal	id=g:6880083
Karhyang-ch’on	id=g:6880084
Sin’gi-ch’on	id=g:6880085
Koje-ji	id=g:6880086
Suyu-dong	id=g:6880087
Kwaeam-dong	id=g:6880088
Sonhang-dong	id=g:6880089
On’gok-tong	id=g:6880090
Hagaemyŏng	id=g:6880091
Sanyang-dong	id=g:6880092
Chŏpch’ŏk	id=g:6880093
Kŭmgye-dong	id=g:6880094
Nogŭmji-jae	id=g:6880095
Sanggunghang	id=g:6880096
Yongjŏn	id=g:6880097
Nohyŏn	id=g:6880098
Sŏkchŏng	id=g:6880099
Kangch’ŏn	id=g:6880100
Kama-gol	id=g:6880101
Kŭmgangsaettam	id=g:6880102
Sanp’o-ri	id=g:6880103
Chungch’ol-li	id=g:6880104
Sujae-dong	id=g:6880105
Sansu-dong	id=g:6880106
Kobi-dong	id=g:6880107
Tong-ch’on	id=g:6880108
Siru-bong	id=g:6880109
Sŏngbul-sa	id=g:6880110
Samt’ae-dong	id=g:6880111
Sinsŏl-tong	id=g:6880112
Kal-gol	id=g:6880113
Simigi	id=g:6880114
Changjaet’ŏ	id=g:6880115
Sŏnangjae	id=g:6880116
Samch’ŭng-sŏkt’ap	id=g:6880117
Kodŭmch’i-jae	id=g:6880118
Karisil	id=g:6880119
Chungmoe	id=g:6880120
T’appul	id=g:6880121
Araet’appul	id=g:6880122
Nongsal-li	id=g:6880123
Hong-gol	id=g:6880124
Mangyang	id=g:6880125
Wŏnnongsan	id=g:6880126
Nŭmt’ŏ	id=g:6880127
Tok-kol	id=g:6880128
Ou-jŏng	id=g:6880129
Chungnim-ni	id=g:6880130
P’yoch’ung-sa	id=g:6880131
Wansudae	id=g:6880132
Oryu-dong	id=g:6880133
Chungnim	id=g:6880134
Hwa-dong	id=g:6880135
Yuryŏng	id=g:6880136
Unp’yŏng	id=g:6880137
Kuam	id=g:6880138
Kokcha-dong	id=g:6880139
Ch’undang-jŏng	id=g:6880140
Hoenam-nyŏng	id=g:6880141
Sŏngbuk	id=g:6880142
Wippogwang	id=g:6880143
Hoenam	id=g:6880144
Hoam	id=g:6880145
Oksan	id=g:6880146
P’al-bong	id=g:6880147
Kipŭn’-gol	id=g:6880148
Witch’angsŏn	id=g:6880149
Araetch’angsŏn	id=g:6880150
Taejŏng-ni	id=g:6880151
Moam-jŏng	id=g:6880152
Wŏn’gak-sa	id=g:6880153
Malmok-kogae	id=g:6880154
Yongsumak	id=g:6880155
Kangsŏndae	id=g:6880156
Mahang	id=g:6880157
Yŏk-tong	id=g:6880158
Ŏch’ŏn	id=g:6880159
Hwangsan	id=g:6880160
Tangsal-li	id=g:6880161
Porŭm-gogae	id=g:6880162
Mojŏn	id=g:6880163
Yŏngp’ung	id=g:6880164
Sŏk-tong	id=g:6880165
Yŏn’gyo-ri	id=g:6880166
Naeo-ri	id=g:6880167
Koindol	id=g:6880168
Sado-dong	id=g:6880169
Oeo	id=g:6880170
Makki	id=g:6880171
Saema	id=g:6880172
Saet’ŏ	id=g:6880173
Migidŭl	id=g:6880174
Songjŏng	id=g:6880175
Sangdop’yŏng	id=g:6880176
Sŏnggi	id=g:6880177
Namsal-li	id=g:6880178
Hŭi-dong	id=g:6880179
Kaeulma	id=g:6880180
Pogwang	id=g:6880181
Sirhak-kol	id=g:6880182
Kŏgi	id=g:6880183
Oejangp’o	id=g:6880184
Yangam	id=g:6880185
Wŏlchŏn	id=g:6880186
Kongjidam	id=g:6880187
Masil	id=g:6880188
Sŏbyŏn	id=g:6880189
Ch’uryang-ni	id=g:6880190
