Åby Kirke	id=g:6940258
Musikhuset Aarhus	id=g:6940259
Hovedbiblioteket	id=g:6940260
Politistation	id=g:6940261
Salling Stormagasin	id=g:6940262
NRGI Stadion	id=g:6940263
Væddeløbsbanen	id=g:6940264
Tivoli Friheden	id=g:6940265
Langkærparken	id=g:6940266
ARoS Museum	id=g:6940268
Prismet	id=g:6940269
Lystbådehavn	id=g:6940271
Marselisborg Marina	id=g:6940272
Moesgård	id=g:6940273
Egå Marina	id=g:6940274
Sletterhage Fyr	id=g:6940275
Skt. Pauls Kirke	id=g:6940276
Katolsk Vor Frue Kirke	id=g:6940277
Skt. Lukas Kirke	id=g:6940278
Langenæs	id=g:6940279
Vestervang	id=g:6940280
Århus Sygehus Skejby	id=g:6940281
Statsbiblioteket	id=g:6940282
Katolsk-Apostolsk Kirke	id=g:6940283
Jægergården	id=g:6940284
Gellerup Skov	id=g:6940368
Postterminal	id=g:6940369
Moesgård Museum	id=g:6940370
Skovmøllen Restaurant	id=g:6940371
Søsterhøj TV Tower	id=g:6940372
Århus Sygehus Marselisborg Hospital	id=g:6940373
Bymuseet Århus	id=g:6940403
Rutebilstation	id=g:6940404
Svømmehallen	id=g:6940405
Aarhus Teater	id=g:6940406
Erhvervsarkivet	id=g:6940407
Ole Rømer Observatoriet	id=g:6940408
Skt. Nicolaus Kilde	id=g:6940409
Mosaisk Jødisk Kirkegård	id=g:6940410
Tinghuset Arrest	id=g:6940411
Skt. Oluf Kirkegård (nedlagt)	id=g:6940412
Skansen	id=g:6940413
Magasin du Nord	id=g:6940414
Bruun's Galleri	id=g:6940415
Thors Mølle	id=g:6940417
Sjette Frederiks Kro	id=g:6940418
Viby Kirke	id=g:6940419
Holme Kirke	id=g:6940420
Giber Å	id=g:6940421
Århus Golf Club	id=g:6940422
Brabrand Kirke	id=g:6940423
Den Permanente Badeanstalt	id=g:6940424
Ballehage	id=g:6940425
Skt. Johannes kirke	id=g:6940492
Kunstcenter Silkeborg Bad	id=g:6940493
Silkeborg Centralsygehus	id=g:6940494
Hasle kirke	id=g:6940495
Botanisk Have	id=g:6940496
Væksthuset	id=g:6940497
Fornæs Fyr	id=g:6940498
Statsfængsel Østjylland	id=g:6940499
Sæby Kirke	id=g:6941420
Hallenslev Kirke	id=g:6941421
Sæbygård	id=g:6941422
Gørlev Kirke	id=g:6941423
Store Fuglede Kirke	id=g:6941424
Bakkendrup Kirke	id=g:6941425
Reersø Kirke	id=g:6941454
Kirke Helsinge Kirke	id=g:6941455
Vester Løve Kirke	id=g:6941456
Finderup Kirke	id=g:6941457
Gierslev Kirke	id=g:6941458
Solbjerg Kirke	id=g:6941459
Ørslev Kirke	id=g:6941460
Nordrup Kirke	id=g:6941461
Skellebjerg Kirke	id=g:6941462
Ruds Vedby Kirke	id=g:6941463
Reerslev Kirke	id=g:6941464
Buerup Kirke	id=g:6941465
Holmstrup Kirke	id=g:6941466
Jorløse Kirke	id=g:6941467
Lille Fuglede Kirke	id=g:6941468
Svallerup Kirke	id=g:6941469
Ubby Kirke	id=g:6941470
Viskinge Kirke	id=g:6941471
Værslev Kirke	id=g:6941472
Rørby Kirke	id=g:6941473
Årby Kirke	id=g:6941474
Kalundborg Kirke	id=g:6941475
Raklev Kirke	id=g:6941476
Røsnæs Kirke	id=g:6941477
Tømmerup Kirke	id=g:6941478
Bregninge Kirke	id=g:6941479
Aunsø Kirke	id=g:6941480
Bjergsted Kirke	id=g:6941481
Føllenslev Kirke	id=g:6941482
Særslev Kirke	id=g:6941483
Havrebjerg Kirke	id=g:6941484
Drøsselbjerg Kirke	id=g:6941485
Svinemose	id=g:6941486
Amalienborg Palace	id=g:6942769
Marmorkirken	id=g:6942772
Statue of Michael Drewsen	id=g:6947444
Hjejlen, worlds oldest operating paddle steamer	id=g:6947445
Silkeborg Church	id=g:6947446
Lunden	id=g:6947447
Railroad Station	id=g:6947448
Water Fountains on the lake	id=g:6947450
Silkeborg Museum, home of Tollundmanden	id=g:6947451
Silkeborg Football Stadium	id=g:6947452
Lyngsoe Lake	id=g:6947453
AQUA Freshwater Aquarium	id=g:6947454
Recycling Station	id=g:6947455
Silkeborg Lock	id=g:6947459
Oernespringvandet	id=g:6947469
Flughafen Kopenhagen-Kastrup	id=g:6949456
Roskilde lufthavn	id=g:6949457
Forlaget Rosenkilde Bahnhof	id=g:6949458
Kopenhagen Hauptbahnhof	id=g:6949459
Brønshøj-Husum	id=g:6949460
Indre By	id=g:6949461
Valby	id=g:6949462
Vesterbro/Kongens Enghave	id=g:6949463
Amager Strandpark	id=g:6949464
Arken	id=g:6949465
Dreifaltigkeitskirche	id=g:6949466
Dänische Königliche Bibliothek	id=g:6949467
Dänisches Nationalmuseum	id=g:6949468
Frederikskirche	id=g:6949469
Kleine Meerjungfrau	id=g:6949471
Knippelsbro	id=g:6949472
Konzerthaus Kopenhagen	id=g:6949473
Königliche Oper	id=g:6949474
Königlicher Neuer Markt	id=g:6949475
Königliches Theater	id=g:6949476
Museum für Kunst und Design	id=g:6949477
Ny Carlsberg Glyptotek	id=g:6949478
Runde Turm	id=g:6949479
Schloss Charlottenborg	id=g:6949480
St.-Petri-Kirche	id=g:6949481
Staatliches Kunstmuseum Kopenhagen	id=g:6949482
Zoo Kopenhagen	id=g:6949483
Nordsømuseet	id=g:6955813
Thyborøn-Harboør Kommune	id=g:6957707
Stavtrup	id=g:6957708
Sønder Køge	id=g:6957709
Solbjerggård	id=g:6957710
Mundelstrup Stationsby	id=g:6957711
Kirstinesminde	id=g:6957712
Hvidebæk Kommune	id=g:6957713
Højbjerg	id=g:6957714
Høng Kommune	id=g:6957715
Helsinge Kommune	id=g:6957716
Gørlev Kommune	id=g:6957717
Dianalund Kommune	id=g:6957718
Æbeløgård	id=g:6957719
Østerågård	id=g:6957962
Esbjerg Ferry Terminal	id=g:7116098
Vibekevang	id=g:7118077
Sorö Station	id=g:7279575
Sorö Storkro	id=g:7279576
Bøjden Strand Feriepark	id=g:7280689
Copenhagen Camping	id=g:7280692
Bogense Strand Camping	id=g:7280693
Aabo Camping Vandland	id=g:7280697
Camp Hverringe	id=g:7280699
Dronningmølle Strand Camping	id=g:7280701
Bryrup Aqua Camping	id=g:7280703
Tommerup TV Mast	id=g:7282032
Hadsten TV Mast	id=g:7282033
Hove TV Mast	id=g:7282034
Jyderup TV Mast	id=g:7282035
Nibe TV Mast	id=g:7282036
Røde Kro TV Mast	id=g:7282037
Videbæk TV Mast	id=g:7282038
Vordingborg TV Mast	id=g:7282039
Hedensted TV Mast	id=g:7282040
Viborg-Sparkær TV Mast	id=g:7282041
Rø TV Mast	id=g:7282042
Varde-Nordenskov  TV Mast	id=g:7282043
Kalundborg Radio Mast	id=g:7282044
Kalundborg Longwave Antenna, Tower South	id=g:7282045
Kalundborg Longwave Antenna, Tower North	id=g:7282046
HVDC Kontek - Bjaeverskov HVDC Static Inverter Plant	id=g:7282407
HVDC Kontiskan - Vester Hassing Static Inverter Plant	id=g:7282446
HVDC Cross-Skagerak - Tjele Static Inverter Plant	id=g:7282470
HVDC Tjaereborg-Enge - Enge Static Inverter Plant	id=g:7282535
HVDC Tjaereborg-Enge - Tjaereborg Static Inverter Plant	id=g:7282536
Fraugde Substation	id=g:7282577
HVDC Kontiskan - Lyngsa Cable Terminal	id=g:7283593
HVDC Kontiskan - Tusholm Cable Terminal	id=g:7283594
HVDC Kontiskan - Österby Cable Terminal	id=g:7283595
HVDC Cross-Skagerak - Vester Ostrup Overhead Electrode Line Terminal	id=g:7283653
HVDC Cross-Skagerak - Aggesund Crossing, Tower South	id=g:7283654
HVDC Cross-Skagerak - Aggesund Crossing, Tower North	id=g:7283655
HVDC Cross-Skagerak - Vester Torup Cable Terminal	id=g:7283657
Esbjerg Power Plant	id=g:7284064
Fynsværket	id=g:7284065
Rangstrup TV Mast	id=g:7284066
Sønder Højrup  TV Mast	id=g:7284067
Asnæsværket	id=g:7284068
Næstved TV Mast	id=g:7284069
Frejlev TV Mast	id=g:7284070
Mejrup TV Mast	id=g:7284071
Gladsaxe TV Mast	id=g:7284073
Tinghøj TV Tower	id=g:7284074
Limfjorden Powerline Crossing 2, Tower North	id=g:7284075
Limfjorden Powerline Crossing 1, Tower North	id=g:7284076
Limfjorden Powerline Crossing 2, Tower South	id=g:7284078
Limfjorden Powerline Crossing 1, Tower South	id=g:7284079
Vejle TV Tower	id=g:7284080
Lillebælt Powerline Crossing 2, Tower North	id=g:7284081
Lillebælt Powerline Crossing 1, Tower North	id=g:7284082
Lillebælt Powerline Crossing 2, Tower South	id=g:7284083
Lillebælt Powerline Crossing 1, Tower South	id=g:7284084
Plug N Play Sportspark	id=g:7290110
Solbjerg Plads	id=g:7290113
Læsø	id=g:7290267
Testgården	id=g:7302490
Taarnhøjgaard	id=g:7302491
Taarnhøj	id=g:7302492
Aalborg Sømandshjem	id=g:7302577
CABINN Hotel Odense	id=g:7302584
CABINN Hotel Esbjerg	id=g:7302585
Quality Hotel Faaborg Fjord	id=g:7302589
Hotel Front	id=g:7302590
Hotel Golden Tulip	id=g:7302591
Radisson SAS Scandinavia Hotel	id=g:7302593
Hotel Scheelsminde Aalborg ApS	id=g:7302594
Host Skt. Petri A/S	id=g:7302595
Furesoebad	id=g:7302949
Antoinette	id=g:7303343
Bellevue	id=g:7303344
Bjerge Nordstrand	id=g:7303345
Charlottenlund Søbad	id=g:7303346
Copencabana	id=g:7303347
Flyvesandet	id=g:7303348
Hestehovedet	id=g:7303349
Havnebadet ved Islands Brygge	id=g:7303350
Smørmosen	id=g:7303351
Store Magleby Church	id=g:7303369
Kobmagergade	id=g:7304099
Horns Rev	id=g:7409220
Horns Rev To	id=g:7409224
Pointe Zicac	id=g:3575561
Woodford Hill River	id=g:3575562
Woodford Hill Estate	id=g:3575563
Woodford Hill Bay	id=g:3575564
Woodford Hill	id=g:3575565
Woodbridge Bay	id=g:3575566
West Cabrit	id=g:3575567
Wesley	id=g:3575568
Watt Mountain	id=g:3575569
Wall House	id=g:3575570
Walkers Rest Bay	id=g:3575571
Wakaman Pointe	id=g:3575572
Vieille Case	id=g:3575573
Morne Turner	id=g:3575574
Trois Pitons River	id=g:3575575
Morne Trois Pitons	id=g:3575576
Trafalgar Falls	id=g:3575577
Trafalgar	id=g:3575578
Pointe Tourterelles	id=g:3575579
Toulaman River	id=g:3575580
Toucari River	id=g:3575581
Toucari Bay	id=g:3575582
Toucari	id=g:3575583
Torité River	id=g:3575584
Tobino	id=g:3575585
Thibaud River	id=g:3575586
Thibaud	id=g:3575587
The Cross	id=g:3575588
Tête Morne	id=g:3575589
Tarou River	id=g:3575590
Tarou Point	id=g:3575591
Tarou Cliffs	id=g:3575592
Tarou	id=g:3575593
Tanetane	id=g:3575594
Pointe Tanama	id=g:3575595
Taberi River	id=g:3575596
Sylvania Estate	id=g:3575597
Sulphur Spring	id=g:3575598
River Subaya	id=g:3575599
Stowe	id=g:3575600
Soufrière Bay	id=g:3575601
Soufrière	id=g:3575602
Sophia Bay	id=g:3575603
Sineku	id=g:3575604
Sibouli	id=g:3575605
Scotts Head Village	id=g:3575606
Scotts Head	id=g:3575607
Savane River	id=g:3575608
River Sarisari	id=g:3575609
Sandwich Bay	id=g:3575610
Salisbury River	id=g:3575611
Salisbury	id=g:3575612
Salibia Isles	id=g:3575613
Salibia	id=g:3575614
Salée River	id=g:3575615
Saint Sauveur River	id=g:3575616
Saint Sauveur	id=g:3575617
Saint Peter	id=g:3575618
Saint Paul	id=g:3575619
Saint Patrick	id=g:3575620
Saint Mark	id=g:3575621
Saint Luke	id=g:3575622
Saint Joseph River	id=g:3575623
Saint Joseph	id=g:3575624
Saint Joseph	id=g:3575625
Saint John	id=g:3575626
Point Saint Jean	id=g:3575627
Saint George	id=g:3575628
Pointe Sainte Claire	id=g:3575629
Saint David	id=g:3575630
Saint Cyr	id=g:3575631
Saint Andrew	id=g:3575632
Rough Bay	id=g:3575633
Roseau River	id=g:3575634
Roseau	id=g:3575635
Rosalie River	id=g:3575636
Rosalie Point	id=g:3575637
Rosalie Bay	id=g:3575638
Rosalie	id=g:3575639
Pointe Ronde	id=g:3575640
Roger	id=g:3575641
Rivière Ciriques	id=g:3575642
Riversdale	id=g:3575643
Richmond Bay	id=g:3575644
Pointe Retireau	id=g:3575645
Pointe Reposoir	id=g:3575646
Raymond Bay	id=g:3575647
River Quanery	id=g:3575648
Anse Quanery	id=g:3575649
Pringles Bay	id=g:3575650
Prince Rupert Bluff Point	id=g:3575651
Prince Rupert Bay	id=g:3575652
Potters Ville	id=g:3575653
Portsmouth	id=g:3575654
Porte-La-Fin	id=g:3575655
Pont Cassé	id=g:3575656
Point Mulâtre River	id=g:3575657
Point Mulâtre	id=g:3575658
Pointe Mulâtre Bay	id=g:3575659
Pointe Michel	id=g:3575660
Morne Plat Pays	id=g:3575661
Plaisance Bay	id=g:3575662
Pichelin	id=g:3575663
Picard River	id=g:3575664
Petit L’Ilet	id=g:3575665
Petite Soufrière Bay	id=g:3575666
Petite Soufrière	id=g:3575667
Petite Savane Point	id=g:3575668
Petite Savane Bay	id=g:3575669
Petite Savane	id=g:3575670
Petit Coulibri Estate	id=g:3575671
Petit Baptiste Bay	id=g:3575672
Penton River	id=g:3575673
Peineville	id=g:3575674
Pointe à Peine	id=g:3575675
Morne Patates	id=g:3575676
Panto Hole Bay	id=g:3575677
Morne Paix Bouche	id=g:3575678
Paix Bouche	id=g:3575679
Pagua River	id=g:3575680
Pagua Pointe	id=g:3575681
Pagua Bay	id=g:3575682
River Ouayaneri	id=g:3575683
North River	id=g:3575684
Northern Forest Reserve	id=g:3575685
L’anse Noire	id=g:3575686
Noble	id=g:3575687
New Venture Estate	id=g:3575688
Newfoundland	id=g:3575689
Morne Negres Marrons	id=g:3575690
National Park	id=g:3575691
Pointe Mulâtre	id=g:3575692
Anse Mulâtre	id=g:3575693
Mosquito Mountain	id=g:3575694
Morpo	id=g:3575695
Morne Turner Ridge	id=g:3575696
Morne Soleil	id=g:3575697
Morne Raquette	id=g:3575698
Morne Prosper	id=g:3575699
Morne Jaune	id=g:3575700
Morne Brandy Ridge	id=g:3575701
Morne Aux Frégates	id=g:3575702
Moore Park Estate	id=g:3575703
Monkey Hill	id=g:3575704
Middle Bay	id=g:3575705
Point Michel	id=g:3575706
Micham River	id=g:3575707
Mero River	id=g:3575708
Méro	id=g:3575709
Melville Hall River	id=g:3575710
Melville Hall Estate	id=g:3575711
Melville Hall Airfield	id=g:3575712
Mayette Spring	id=g:3575713
Mayambe Estate	id=g:3575714
Mastle	id=g:3575715
Massacre River	id=g:3575716
Massacre	id=g:3575717
Martinique Passage	id=g:3575718
Marigot Bay	id=g:3575719
Marigot Bay	id=g:3575720
Marigot	id=g:3575721
Maréchal River	id=g:3575722
Marceau Bay	id=g:3575723
Mang Peak	id=g:3575724
Mango Hole Bay	id=g:3575725
Mamelabou River	id=g:3575726
Malabuka River	id=g:3575727
Anse Maho	id=g:3575728
Mahaut River	id=g:3575729
Mahaut River	id=g:3575730
Mahaut River	id=g:3575731
Pointe Mahaut	id=g:3575732
Mahaut	id=g:3575733
Madjini	id=g:3575734
Macoucheri River	id=g:3575735
Morne Macaque	id=g:3575736
Loubiere	id=g:3575737
Loubiere	id=g:3575738
Londonderry Bay	id=g:3575739
L’Ilet	id=g:3575740
L’Ilet	id=g:3575741
Anse à Liane	id=g:3575742
Morne Les Resources	id=g:3575743
Le Grand Maison	id=g:3575744
Layou River	id=g:3575745
Layou	id=g:3575746
Laudat	id=g:3575747
La Taille Bay	id=g:3575748
La Source	id=g:3575749
Pointe La Soie	id=g:3575750
La Ronde River	id=g:3575751
Larieu	id=g:3575752
La Pointe	id=g:3575753
La Pointe	id=g:3575754
La Plaine	id=g:3575755
Lamothe Bay	id=g:3575756
Lamoins River	id=g:3575757
Là Haut	id=g:3575758
Lagoon River	id=g:3575759
Lagon River	id=g:3575760
Lagon	id=g:3575761
Kinellan Estate	id=g:3575762
Kasayu Point	id=g:3575763
Jenny Point	id=g:3575764
Point Jaquet	id=g:3575765
Morne Jalousie	id=g:3575766
Pointe Jaco	id=g:3575767
River Jack	id=g:3575768
Indian River	id=g:3575769
Hillsborough Estate	id=g:3575770
Hillsborough Bay	id=g:3575771
Hermitage Bay	id=g:3575772
Hatton Garden Estate	id=g:3575773
Hampstead River	id=g:3575774
Hampstead Ridge	id=g:3575775
Hampstead	id=g:3575776
Guillet	id=g:3575777
Pointe Guignard	id=g:3575778
Gueule Lion Point	id=g:3575779
Pointe Gros Rochers	id=g:3575780
Gros L’Ilet	id=g:3575781
Grand Savanna	id=g:3575782
Grand Marigot Bay	id=g:3575783
Grand Fond	id=g:3575784
Grande Soufrière Hills	id=g:3575785
Grand Bay	id=g:3575786
Grand Baptiste Bay	id=g:3575787
Grabière Point	id=g:3575788
Governor Estate	id=g:3575789
Morne Gouverneur	id=g:3575790
Goodwill	id=g:3575791
Good Hope River	id=g:3575792
Good Hope	id=g:3575793
Gommier	id=g:3575794
Pointe Gombo	id=g:3575795
Glassé Point	id=g:3575796
Glanvillia	id=g:3575797
Giraudet	id=g:3575798
Pointe Giraud	id=g:3575799
River Gillon	id=g:3575800
Pointe Georgie	id=g:3575801
Geneva River	id=g:3575802
Geneva	id=g:3575803
Gaulette	id=g:3575804
Galion	id=g:3575805
Anse Gabriel	id=g:3575806
Fresh Water Lake	id=g:3575807
Morne Fraser	id=g:3575808
Anse Francais	id=g:3575809
Pointe des Fous	id=g:3575810
Foundland	id=g:3575811
Pointe du Fort	id=g:3575812
Pointe Fonsen	id=g:3575813
Fond Saint Jean	id=g:3575814
Fond Figues River	id=g:3575815
Fond Cani	id=g:3575816
Fabre Hill	id=g:3575817
Espagnole River	id=g:3575818
Morne Espagnol	id=g:3575819
Eden River	id=g:3575820
East Cabrit	id=g:3575821
Dubuc Point	id=g:3575822
Dubuc	id=g:3575823
Dublanc River	id=g:3575824
Dublanc	id=g:3575825
Douglas Point	id=g:3575826
Douglas Bay	id=g:3575827
Douce River	id=g:3575828
Dos D’Âne	id=g:3575829
Dominica	id=g:3575830
Dominica	id=g:3575831
Morne Diablotins	id=g:3575832
Morne aux Diables	id=g:3575833
Deux Jardins	id=g:3575834
Morne Destinée	id=g:3575835
Valley of Desolation	id=g:3575836
Pointe Des Herbes	id=g:3575837
Demitrie River	id=g:3575838
Demitrie	id=g:3575839
Morne aux Delices	id=g:3575840
Délices	id=g:3575841
Delaford River	id=g:3575842
Pointe Daniel	id=g:3575843
Morne Daniel	id=g:3575844
Crompton Point	id=g:3575845
Crayfish River	id=g:3575846
Crayfish River	id=g:3575847
Anse Crainte	id=g:3575848
Pointe Crabier	id=g:3575849
Morne Couronne	id=g:3575850
Coulibistri River	id=g:3575851
Coulibistri	id=g:3575852
Anse Coubari	id=g:3575853
