Phumĭ Sâmraông	id=g:1825116
Phumĭ Sâmraông	id=g:1825117
Phumĭ Sâmraông	id=g:1825118
Phumĭ Sâmraông	id=g:1825119
Phumĭ Sâmraông	id=g:1825120
Phumĭ Sâmraông	id=g:1825121
Phumĭ Sâmraông	id=g:1825122
Phumĭ Sâmraông	id=g:1825123
Phumĭ Sâmraông	id=g:1825124
Phumĭ Sâmraông	id=g:1825125
Phumĭ Sâmraông	id=g:1825126
Phumĭ Sâmrâng	id=g:1825127
Phumĭ Sâmrai Sbov	id=g:1825128
Phumĭ Sâmrab	id=g:1825129
Phumĭ Sampŏu Lun	id=g:1825130
Phumĭ Sâmpoŭch	id=g:1825131
Phumĭ Sâmpôr	id=g:1825132
Phumĭ Sâmpôr	id=g:1825133
Phumĭ Sâmpôr	id=g:1825134
Phumĭ Sâmpôr	id=g:1825135
Phumĭ Sâmpônhéa	id=g:1825136
Phumĭ Sâmpông Chey	id=g:1825137
Phumĭ Sâmphi	id=g:1825138
Phumĭ Sâmpéar	id=g:1825139
Phumĭ Sâmpan	id=g:1825140
Phumĭ Sâmpan	id=g:1825141
Phumĭ Sâmpan	id=g:1825142
Phumĭ Samôkki	id=g:1825143
Phumĭ Sâm Nhai	id=g:1825144
Phumĭ Sâmneuy	id=g:1825145
Phumĭ Sâmnang Băk	id=g:1825146
Phumĭ Sâmnak	id=g:1825147
Phumĭ Sâmnăk	id=g:1825148
Phumĭ Sâmlot	id=g:1825149
Phumĭ Sâmlei	id=g:1825150
Phumĭ Sâmlănh Tapri	id=g:1825151
Phumĭ Sâmlănh	id=g:1825152
Phumĭ Sâmlanh	id=g:1825153
Phumĭ Samĭt	id=g:1825154
Phumĭ Saming	id=g:1825155
Phumĭ Sâmdei	id=g:1825156
Phumĭ Sâmdei	id=g:1825157
Phumĭ Sâmdéch Poăn	id=g:1825158
Phumĭ Sâmdéch	id=g:1825159
Phumĭ Sâmbuŏr Méas (1)	id=g:1825160
