Bego Āmba Mīka’ēl Bēte Kristīyan	id=g:342529
Bēgo	id=g:342530
Begna	id=g:342531
Begir Wenz	id=g:342532
Begidē	id=g:342533
Bēgī	id=g:342534
Begeza Shet’	id=g:342535
Begē Shet’	id=g:342536
Begejo	id=g:342537
Begbisha Bota	id=g:342538
Beg Berdē	id=g:342539
Begaraba Shet’	id=g:342540
Begalo Terara	id=g:342541
Begalo	id=g:342542
Bedo Gīyorgīs Bēte Kristīyan	id=g:342543
Bedo	id=g:342544
Bedo	id=g:342545
Bedo	id=g:342546
Bedīna Mene Buna	id=g:342547
Bedī	id=g:342548
Bedī	id=g:342549
Bedēso	id=g:342550
Bedēso	id=g:342551
Bedēsa YeJelba Āstenē	id=g:342552
Bedēsa Shet’	id=g:342553
Bedēsa Shet’	id=g:342554
Bedēsa Ch’aka	id=g:342555
Bedēsa	id=g:342556
Bedēsa	id=g:342557
Bedēsa	id=g:342558
Bedēsa	id=g:342559
Bedeno Maryam Bēte Kristīyan	id=g:342560
Bedeno	id=g:342561
Bedeno	id=g:342562
Bedeno	id=g:342563
Bedenē	id=g:342564
Bedena Shet’	id=g:342565
Bedena Leko	id=g:342566
Bedelē	id=g:342567
Bedē Gebabē Mīka’ēl Bēte Kristīyan	id=g:342568
Bededu Shet’	id=g:342569
Bededurēsa	id=g:342570
Bedebej Ābo Bēte Kristīyan	id=g:342571
Bedebej	id=g:342572
Bēdē	id=g:342573
Bedē	id=g:342574
Bedda	id=g:342575
Bedayē	id=g:342576
Bedatu Shet’	id=g:342577
Bedat’īno Tekle Haymanot Bēte Kristīyan	id=g:342578
Bedat’īno	id=g:342579
Bedat’īna Āmba	id=g:342580
Bedas Shet’	id=g:342581
Beda Sīrē Terara	id=g:342582
Beda Sīrē	id=g:342583
Beda Hāyk’	id=g:342584
Bedadī	id=g:342585
Bedada Tola	id=g:342586
Bedada Gebri’ēl Bēte Kristīyan	id=g:342587
Tulu Bedada	id=g:342588
Bedada	id=g:342589
Bedada	id=g:342590
Beda	id=g:342591
Beda	id=g:342592
Beda	id=g:342593
Becho Bota	id=g:342594
Becho	id=g:342595
Becho	id=g:342596
Becho	id=g:342597
Bech’ī	id=g:342598
Bech’ī	id=g:342599
Bech’et Shet’	id=g:342600
Bech’et	id=g:342601
Bech’esa Shet’	id=g:342602
Bech’elī Medhanē ‘Alem Bēte Kristīyan	id=g:342603
Bech’ek’ī	id=g:342604
Bech’ek’ī	id=g:342605
Bech’ek’ī	id=g:342606
Bech’ek’ē Terara	id=g:342607
Bech’ek’ē	id=g:342608
Bech’ek’a	id=g:342609
Becchi	id=g:342610
Bebelī Kubē	id=g:342611
Bebela	id=g:342612
Bebela	id=g:342613
Bebehabo	id=g:342614
Be’āndē Bota	id=g:342615
Be’ādu Bota	id=g:342616
Bazura Maryam Bēte Kristīyan	id=g:342617
Bazura	id=g:342618
Bazber	id=g:342619
Baza Shet’	id=g:342620
Baymot	id=g:342621
Baylonī Shet’	id=g:342622
Baylogē	id=g:342623
Baylīlī Bota	id=g:342624
Baylamt’u Terara	id=g:342625
Baykeda Maryam Bēte Kristīyan	id=g:342626
Bayisa	id=g:342627
Baych’a	id=g:342628
Baya	id=g:342629
Bawzan Kīdane Mihret Bēte Kristīyan	id=g:342630
Bawzan	id=g:342631
Bawish Shet’	id=g:342632
