Eglinton River West Branch	id=g:6203498
Eglinton River West Branch	id=g:6203499
Eglinton River East Branch	id=g:6203500
Eglinton River East Branch	id=g:6203501
Melita Stream	id=g:6203502
Melita Falls	id=g:6203503
Duck Creek	id=g:6203504
Plato Creek	id=g:6203505
Smithy Creek	id=g:6203506
Greenstone River	id=g:6203507
Kiosk Creek	id=g:6203508
Wesney Creek	id=g:6203509
Mararoa River	id=g:6203510
Windon Burn	id=g:6203511
Annear Creek	id=g:6203512
Black Creek	id=g:6203513
FRANKLIN MOUNTAINS	id=g:6203514
Mount McDougall	id=g:6203515
Mount Kane	id=g:6203516
Long Gully	id=g:6203517
Barrier Peak	id=g:6203518
Castle Mount	id=g:6203519
Mount Fisher	id=g:6203520
Mount Mackenzie	id=g:6203521
Mount Pillans	id=g:6203522
Mount Hart	id=g:6203523
Aiguille Rouge	id=g:6203524
Mount Wilmur	id=g:6203525
Mount Balloon	id=g:6203526
WICK MOUNTAINS	id=g:6203527
Feldspar Point	id=g:6203528
Foliage Head	id=g:6203529
Rata Point	id=g:6203530
Mount Eglinton	id=g:6203531
Largs Peak	id=g:6203532
Skelmorlie Peak	id=g:6203533
Disappearing Peaks	id=g:6203534
Mount Anau	id=g:6203535
Triangle Peak	id=g:6203536
Triton Peak	id=g:6203537
EARL MOUNTAINS	id=g:6203538
Melita Peak	id=g:6203539
Eglinton Flat	id=g:6203540
Knobs Flat	id=g:6203541
Deer Flat	id=g:6203542
LIVINGSTONE MOUNTAINS	id=g:6203543
LIVINGSTONE MOUNTAINS	id=g:6203544
Cascade Creek	id=g:6203545
AILSA MOUNTAINS	id=g:6203546
Caples Track	id=g:6203547
Jean Batten Peak	id=g:6203548
Moffat Peak	id=g:6203549
Greenstone Track	id=g:6203550
Greenstone Track	id=g:6203551
Windy Point	id=g:6203552
Consolation Peak	id=g:6203553
Flat Top Peak	id=g:6203554
Pyramid Peak	id=g:6203555
Ngatimamoe Peak	id=g:6203556
Mount Charlton	id=g:6203557
Mount Suter	id=g:6203558
Mount Park	id=g:6203559
