Wae Rengkas	id=g:7058725
Wae Lenteng	id=g:7058726
Wae Kondo	id=g:7058727
Wae Rentang	id=g:7058728
Wae Ndeong	id=g:7058729
Wae Ka	id=g:7058730
Wae Palo	id=g:7058731
Wae Lake	id=g:7058732
Wae Lura	id=g:7058733
Wae Seleng	id=g:7058734
Wae Renu	id=g:7058735
Wae Mpoe	id=g:7058736
Wae Tonggor	id=g:7058737
Wae Pau	id=g:7058738
Wae Kari	id=g:7058739
Wae Ireng	id=g:7058740
Wae Kunce	id=g:7058741
Wae Rajong	id=g:7058742
Wae Rua	id=g:7058743
Wae Lega	id=g:7058744
Wae Rogo	id=g:7058745
Wae Nio	id=g:7058746
Air Terjun Waerogo	id=g:7058747
Wae Mungkung	id=g:7058748
Wae Kengkeng	id=g:7058749
Wae Kampas	id=g:7058750
Wae Ras	id=g:7058751
Wae Ruca	id=g:7058752
Wae Kecep	id=g:7058753
Pelo	id=g:7058754
Desa Pangga	id=g:7058755
Karot	id=g:7058756
Kecamatan Pembantu Ruteng	id=g:7058757
Kecamatan Ruteng	id=g:7058758
Desa Buar	id=g:7058759
Desa Tengkulese	id=g:7058760
Desa Beorahong	id=g:7058761
Kelurahan Waebelang	id=g:7058762
Desa Pongmurung	id=g:7058763
Desa Ponglao	id=g:7058764
Desa Cumbi	id=g:7058765
Desa Bentengkuwu	id=g:7058766
Desa Kakor	id=g:7058767
Desa Gololangkok	id=g:7058768
Desa Bangkaajang	id=g:7058769
Desa Lenda	id=g:7058770
Desa Bere	id=g:7058771
Desa Liangbua	id=g:7058772
Desa Ranggi	id=g:7058773
Desa Lalong	id=g:7058774
Kelurahan Wali	id=g:7058775
Kelurahan Golodukal	id=g:7058776
Kelurahan Lawir	id=g:7058777
Kelurahan Mbaumuku	id=g:7058778
Kelurahan Pitak	id=g:7058779
Desa Satarkeling	id=g:7058780
Desa Waemulu	id=g:7058781
Kelurahan Pagal	id=g:7058782
Desa Nenu	id=g:7058783
Desa Poco	id=g:7058784
Desa Ndehes	id=g:7058785
Kelurahan Karot	id=g:7058786
Desa Bangkajong	id=g:7058787
Kelurahan Carep	id=g:7058788
Rongkam	id=g:7058789
Wontong	id=g:7058790
Nanu	id=g:7058791
Tia	id=g:7058792
Purang	id=g:7058793
Tebo	id=g:7058794
Bonar Satu	id=g:7058795
Bonar Dua	id=g:7058796
Pasa	id=g:7058797
Munggis	id=g:7058798
Bobong	id=g:7058799
Rua	id=g:7058800
Dekok	id=g:7058801
Golopau	id=g:7058802
Waeaur	id=g:7058803
Nggorong	id=g:7058804
Purek	id=g:7058805
Rahong	id=g:7058806
Tando	id=g:7058807
Ndung	id=g:7058808
Cara	id=g:7058809
Waebelang	id=g:7058810
Cancar	id=g:7058811
Weol	id=g:7058812
Pongnoang	id=g:7058813
Waemoro	id=g:7058814
Cucang	id=g:7058815
Rai	id=g:7058816
Randong	id=g:7058817
Golonderu	id=g:7058818
Lapa	id=g:7058819
Kusu	id=g:7058820
Ngkor	id=g:7058821
Pempang	id=g:7058822
Wari	id=g:7058823
Redong	id=g:7058824
Ndehes	id=g:7058825
Ntala	id=g:7058826
Pane	id=g:7058827
Lenteng	id=g:7058828
Rangges	id=g:7058829
Beokina	id=g:7058830
Mbora	id=g:7058831
Pering	id=g:7058832
Todo	id=g:7058833
Wasewengke	id=g:7058834
Rii	id=g:7058835
Lalang	id=g:7058836
Cehet	id=g:7058837
Waso	id=g:7058838
Garang	id=g:7058839
Waembeleng	id=g:7058840
Bangkarpodok	id=g:7058841
Lumu	id=g:7058842
Gurung	id=g:7058843
Langkas	id=g:7058844
Muak	id=g:7058845
Wangkung	id=g:7058846
Wenus	id=g:7058847
Kerajang	id=g:7058848
Ngantok	id=g:7058849
Dalo	id=g:7058850
Cumbi	id=g:7058851
Wakat	id=g:7058852
Paanglao	id=g:7058853
Libut	id=g:7058854
Garang	id=g:7058855
Lada	id=g:7058856
Laru	id=g:7058857
Kelumpang	id=g:7058858
Poka	id=g:7058859
Ajang	id=g:7058860
Golopau	id=g:7058861
Wangko	id=g:7058862
Tahang	id=g:7058863
Kotok	id=g:7058864
Kondong	id=g:7058865
Copu	id=g:7058866
Golokolang	id=g:7058867
Tongke	id=g:7058868
Waekang	id=g:7058869
Kakor	id=g:7058870
Lait	id=g:7058871
Lemus	id=g:7058872
Racang	id=g:7058873
Kolong	id=g:7058874
Golonao	id=g:7058875
Purang	id=g:7058876
Kuwu	id=g:7058877
Karot	id=g:7058878
Nunuk	id=g:7058879
Laci	id=g:7058880
Cireng	id=g:7058881
Unterlango	id=g:7058882
Mera	id=g:7058883
Golokoe	id=g:7058884
Namut	id=g:7058885
Lagar	id=g:7058886
Sama	id=g:7058887
Rentung	id=g:7058888
Golemunde	id=g:7058889
Roho	id=g:7058890
Nanga	id=g:7058891
Bere	id=g:7058892
Pau	id=g:7058893
Golomanuk	id=g:7058894
Langke	id=g:7058895
Teras	id=g:7058896
Meti Dua	id=g:7058897
Meti Satu	id=g:7058898
Nengkem	id=g:7058899
Hacar	id=g:7058900
Tado	id=g:7058901
Lalong	id=g:7058902
Golokondeng	id=g:7058903
Watuwiring	id=g:7058904
Bangkatuke	id=g:7058905
Perumahanlangkasdamai	id=g:7058906
Bahong	id=g:7058907
Nanu	id=g:7058908
Cubu	id=g:7058909
Kawak	id=g:7058910
Lenda	id=g:7058911
Teni	id=g:7058912
Watupaku	id=g:7058913
Golokoe	id=g:7058914
Cipi	id=g:7058915
Golowou	id=g:7058916
Akel	id=g:7058917
Beangiung	id=g:7058918
Rampasasa	id=g:7058919
Damu	id=g:7058920
Ranggi	id=g:7058921
Golowatu	id=g:7058922
Rua Satu	id=g:7058923
Rua Dua	id=g:7058924
Satar	id=g:7058925
Kenda	id=g:7058926
Raka	id=g:7058927
Macing	id=g:7058928
Waepeca	id=g:7058929
Golopau	id=g:7058930
Cocosangge	id=g:7058931
Kaweng	id=g:7058932
Bilas	id=g:7058933
Mena	id=g:7058934
Tuke	id=g:7058935
Wali	id=g:7058936
Redong	id=g:7058937
Ka	id=g:7058938
Tega	id=g:7058939
Compangruteng	id=g:7058940
Dongang	id=g:7058941
Golodukal	id=g:7058942
Ruteng	id=g:7058943
Pakar	id=g:7058944
Pau	id=g:7058945
Leda	id=g:7058946
Lempe	id=g:7058947
Wasorajong	id=g:7058948
Golocimpar	id=g:7058949
Meni	id=g:7058950
Nontol	id=g:7058951
Terep	id=g:7058952
Poka	id=g:7058953
Koko	id=g:7058954
Welong	id=g:7058955
Ting	id=g:7058956
Waeroce	id=g:7058957
Tiongtoko	id=g:7058958
Sondeng	id=g:7058959
Karot	id=g:7058960
Paang	id=g:7058961
Pering	id=g:7058962
Curu	id=g:7058963
Tadong	id=g:7058964
Woang	id=g:7058965
Lorongreo	id=g:7058966
Kuwu	id=g:7058967
Pitak	id=g:7058968
Kotatengah	id=g:7058969
Hombel	id=g:7058970
Waebuka	id=g:7058971
Lawir	id=g:7058972
Mbaumuku	id=g:7058973
Tenda	id=g:7058974
Mongansidi	id=g:7058975
Watu Satu	id=g:7058976
Watu	id=g:7058977
Nekang	id=g:7058978
Tenda Dua	id=g:7058979
Watu Dua	id=g:7058980
Watu Tiga	id=g:7058981
Rowang	id=g:7058982
Waepau	id=g:7058983
Peso	id=g:7058984
Bealeba	id=g:7058985
Pagal	id=g:7058986
Haor	id=g:7058987
Sesa	id=g:7058988
Bung	id=g:7058989
Kalo	id=g:7058990
Wenta	id=g:7058991
Rejeng	id=g:7058992
Poco	id=g:7058993
Puarwase	id=g:7058994
Waka	id=g:7058995
Pela	id=g:7058996
Ngeri	id=g:7058997
Lada	id=g:7058998
Werek	id=g:7058999
Resem	id=g:7059000
Watualo	id=g:7059001
Perumahanbandara	id=g:7059002
Cimpar	id=g:7059003
Kumba	id=g:7059004
Carep	id=g:7059005
Langgoujungpandang	id=g:7059006
Langgo	id=g:7059007
Tenda Satu	id=g:7059008
Laci	id=g:7059009
Paang	id=g:7059010
Teruk	id=g:7059011
Tengkutok	id=g:7059012
Lalang	id=g:7059013
Bengkang	id=g:7059014
Rambe	id=g:7059015
Langos	id=g:7059016
Wetok	id=g:7059017
Wohe	id=g:7059018
Nggori	id=g:7059019
Norang	id=g:7059020
Wade	id=g:7059021
Mando	id=g:7059022
Pinggang	id=g:7059023
Golo Lipar	id=g:7059024
Golo Lale	id=g:7059025
Golo Pogol	id=g:7059026
Golo Tango	id=g:7059027
Golo Cepang	id=g:7059028
Golo Ponto	id=g:7059029
Golo Bangka	id=g:7059030
Golo Tando	id=g:7059031
Golo Ndung	id=g:7059032
Golo Langkas	id=g:7059033
Golo Lerang	id=g:7059034
Golo Langkok	id=g:7059035
Golo Benteng	id=g:7059036
Golo Tengkumetang	id=g:7059037
Golo Dedeng	id=g:7059038
Golo Lingkolala	id=g:7059039
Golo Lingkonanu	id=g:7059040
Golo Tendarukang	id=g:7059041
Golo Wade	id=g:7059042
Golo Munde	id=g:7059043
