Spey River	id=g:6241915
Taheke Stream	id=g:6241916
Gouland Creek	id=g:6241917
Gorge Creek	id=g:6241918
Saddle Creek	id=g:6241919
Sams Creek Middle Branch	id=g:6241920
Drummond Flat	id=g:6241921
Apple Tree Flat	id=g:6241922
Cobb Dam	id=g:6241923
Bushline Hut	id=g:6241924
Iron Hill	id=g:6241925
Mount Lockett	id=g:6241926
Mount Benson	id=g:6241927
Chaffey Hut	id=g:6241928
LOCKETT RANGE	id=g:6241929
Riordans Hut	id=g:6241930
Porthouse Flat	id=g:6241931
Waingaro Forks Hut	id=g:6241932
Mount Ranolf	id=g:6241933
Mount Prospect	id=g:6241934
Mount Cobb	id=g:6241935
Mount Gibbs	id=g:6241936
Xenicus Peak	id=g:6241937
Cobb Hut	id=g:6241938
Fenella Hut	id=g:6241939
Waingaro Peak	id=g:6241940
Aorere Peak	id=g:6241941
Kakapo Peak	id=g:6241942
Lonely Lake Hut	id=g:6241943
Drunken Sailors	id=g:6241944
Anatoki Peak	id=g:6241945
Dragons Teeth	id=g:6241946
Devil River Peak	id=g:6241947
Anatoki Hut	id=g:6241948
Yuletide Peak	id=g:6241949
Mount Douglas	id=g:6241950
Trident	id=g:6241951
Needles Eye	id=g:6241952
Green Saddle	id=g:6241953
Arena Creek	id=g:6241954
Gladiator Peak	id=g:6241955
COLOSSEUM RIDGE	id=g:6241956
Calphurnia Peak	id=g:6241957
Jack Creek	id=g:6241958
Ambrose Creek	id=g:6241959
Caesar Knob	id=g:6241960
Slate River Peak	id=g:6241961
Paradise Peak	id=g:6241962
Mount Christmas	id=g:6241963
Serpentine Creek	id=g:6241964
HARDY RIDGE	id=g:6241965
Kill Devil Creek	id=g:6241966
Mount Hardy	id=g:6241967
Kiwi Creek	id=g:6241968
Brown Cow	id=g:6241969
The Minaret	id=g:6241970
Red Peak	id=g:6241971
Brown Knob	id=g:6241972
The Pulpit	id=g:6241973
Boulder River	id=g:6241974
Beathams Clearing	id=g:6241975
Cow Saddle	id=g:6241976
Mount Olympus	id=g:6241977
Clark Peak	id=g:6241978
Lead Hills	id=g:6241979
HAUPIRI RANGE	id=g:6241980
The Devils Dip Saddle	id=g:6241981
Pupu Power House Route	id=g:6241982
Pupu Power House	id=g:6241983
Brown Hut	id=g:6241984
Shakespeare Track	id=g:6241985
Aorere River	id=g:6241986
Shakespeare Flat	id=g:6241987
Brown Hill	id=g:6241988
Heaphy Track	id=g:6241989
Lookout Point	id=g:6241990
Mount Perry	id=g:6241991
Perry Saddle Hut	id=g:6241992
Perry Saddle	id=g:6241993
Gouland Downs Hut	id=g:6241994
Mount Domett	id=g:6241995
DOMETT RANGE	id=g:6241996
Mount Gouland	id=g:6241997
Mount Inaccessible	id=g:6241998
Flanagan Creek	id=g:6241999
Burnt Hill	id=g:6242000
Aorere Saddle	id=g:6242001
MARSHALL RANGE	id=g:6242002
Percy Peak	id=g:6242003
Mount White	id=g:6242004
Hawkes Knob	id=g:6242005
Three Pointer	id=g:6242006
Heaphy Track	id=g:6242007
Saxon Hut	id=g:6242008
Weka Creek	id=g:6242009
Gouland Downs	id=g:6242010
Tubman Hill	id=g:6242011
TUBMAN RANGE	id=g:6242012
TASMAN MOUNTAINS	id=g:6242013
Amohia Peak	id=g:6242014
DOMETT RANGE	id=g:6242015
Centre Mountain	id=g:6242016
GOULAND RANGE	id=g:6242017
Kaka Saddle	id=g:6242018
GOULAND RANGE	id=g:6242019
The Needle	id=g:6242020
Adelaide Tarn	id=g:6242021
Adelaide Tarn Hut	id=g:6242022
Karamea River	id=g:6242023
Karamea River	id=g:6242024
Karamea River	id=g:6242025
Moonstone Lake	id=g:6242026
Lunik Creek	id=g:6242027
Star Creek	id=g:6242028
Comet Creek	id=g:6242029
Satellite Creek	id=g:6242030
Apogee Creek	id=g:6242031
Apollo Creek	id=g:6242032
Mars Creek	id=g:6242033
Thor Creek	id=g:6242034
Atlas Creek	id=g:6242035
Perigee Creek	id=g:6242036
Orbit Creek	id=g:6242037
Kendall Creek	id=g:6242038
Gridiron Creek	id=g:6242039
Hodge Creek	id=g:6242040
Mercury Creek	id=g:6242041
Sputnik Creek	id=g:6242042
Venus Creek	id=g:6242043
Jupiter Creek	id=g:6242044
Saturn Creek	id=g:6242045
Silvermine Creek	id=g:6242046
Leslie River	id=g:6242047
Bullock Creek	id=g:6242048
