Velāyat-e Samangān	id=g:1127766
Samangān	id=g:1127767
Āybak	id=g:1127768
Samandar	id=g:1127769
Chāh-e Samanduk	id=g:1127770
Chāh-e Samanduk	id=g:1127771
Samand Khān Kārēz	id=g:1127772
Samand Chay	id=g:1127773
Samandaī	id=g:1127774
Samandow	id=g:1127775
Samandar Nāwêrān	id=g:1127776
Samandar	id=g:1127777
Samanakneshāh	id=g:1127778
Shamamōlzaī	id=g:1127779
Shamāl Khōnah	id=g:1127780
Shamālī Spērah Ghar	id=g:1127781
Samalan	id=g:1127782
Samālām Ghar	id=g:1127783
Samalām Band	id=g:1127784
Samakay	id=g:1127785
Samak	id=g:1127786
Samakhayi-Zagand	id=g:1127787
Gora Samakhadasht	id=g:1127788
Şamad Khēl	id=g:1127789
Şamad Khān Kêlay	id=g:1127790
Şamad Kêlay	id=g:1127791
Şamadī	id=g:1127792
Nahr-e Samad	id=g:1127793
Shāmah	id=g:1127794
Kōh-e Sam	id=g:1127795
Salzarak	id=g:1127796
Sowlātū	id=g:1127797
Raygistān-e Sālū	id=g:1127798
Saltug	id=g:1127799
Saltiq Now	id=g:1127800
Saltiq Khvord	id=g:1127801
Saltiq Kalān	id=g:1127802
Sālō Khēl	id=g:1127803
Şālō Jān Kêlay	id=g:1127804
Sālō Nāwêrān	id=g:1127805
Sālō Kêlay	id=g:1127806
Salmīn-e Soflá	id=g:1127807
Salmīn-e ‘Olyā	id=g:1127808
Shēlah-e Salmīn	id=g:1127809
Salmah	id=g:1127810
Sālmazān	id=g:1127811
Salmān Khēl	id=g:1127812
Salmālīk	id=g:1127813
Band-e Salmā	id=g:1127814
Sālizī	id=g:1127815
Sālizī	id=g:1127816
Sālizī	id=g:1127817
Shālizārah	id=g:1127818
Sālisūn Rōd	id=g:1127819
Shalipatra	id=g:1127820
